,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,37,32,77,30,多雲。降雨機率 10%。溫度攝氏32度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度77%。,2,西北風,28,仁武區
1,2023-07-25 21:00:00,07,35,30,80,29,陰。降雨機率 10%。溫度攝氏30度。悶熱。西南風 平均風速<= 1級(每秒1公尺)。相對濕度80%。,1,西南風,27,仁武區
2,2023-07-26 00:00:00,04,36,30,86,29,多雲。降雨機率 20%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,偏北風,27,仁武區
3,2023-07-26 03:00:00,04,34,29,85,28,多雲。降雨機率 20%。溫度攝氏29度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度85%。,3,東北風,26,仁武區
4,2023-07-26 06:00:00,04,32,28,83,27,多雲。降雨機率 20%。溫度攝氏28度。舒適。偏北風 平均風速1-2級(每秒3公尺)。相對濕度83%。,3,偏北風,25,仁武區
5,2023-07-26 09:00:00,07,36,31,72,29,陰。降雨機率 20%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度72%。,3,偏北風,26,仁武區
6,2023-07-26 12:00:00,08,38,34,66,30,短暫陣雨。降雨機率 60%。溫度攝氏34度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度66%。,3,西北風,26,仁武區
7,2023-07-26 15:00:00,08,39,34,73,31,短暫陣雨。降雨機率 60%。溫度攝氏34度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度73%。,3,偏北風,28,仁武區
8,2023-07-26 18:00:00,08,36,32,79,30,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度79%。,4,西南風,27,仁武區
9,2023-07-26 21:00:00,08,34,30,82,28,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度82%。,2,偏北風,27,仁武區
10,2023-07-27 00:00:00,14,35,29,85,28,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度85%。,3,西南風,27,仁武區
11,2023-07-27 03:00:00,14,33,29,87,28,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度87%。,3,東北風,26,仁武區
12,2023-07-27 06:00:00,14,32,28,89,27,陣雨。降雨機率 100%。溫度攝氏28度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度89%。,2,東北風,26,仁武區
13,2023-07-27 09:00:00,14,35,29,93,28,陣雨。降雨機率 100%。溫度攝氏29度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度93%。,4,東北風,28,仁武區
14,2023-07-27 12:00:00,14,34,30,84,28,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度84%。,6,偏東風,27,仁武區
15,2023-07-27 15:00:00,14,31,30,72,27,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東南風 平均風速4-5級(每秒10公尺)。相對濕度72%。,10,東南風,24,仁武區
16,2023-07-27 18:00:00,14,28,29,79,27,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東南風 平均風速>= 6級(每秒15公尺)。相對濕度79%。,>= 11,東南風,25,仁武區
