,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,37,31,85,29,多雲。降雨機率 10%。溫度攝氏31度。悶熱。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度85%。,1,偏南風,28,內門區
1,2023-07-25 21:00:00,07,33,28,93,27,陰。降雨機率 10%。溫度攝氏28度。悶熱。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度93%。,1,偏東風,27,內門區
2,2023-07-26 00:00:00,04,32,27,95,27,多雲。降雨機率 20%。溫度攝氏27度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度95%。,2,偏北風,26,內門區
3,2023-07-26 03:00:00,04,31,26,93,26,多雲。降雨機率 20%。溫度攝氏26度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度93%。,2,偏北風,25,內門區
4,2023-07-26 06:00:00,04,30,26,91,25,多雲。降雨機率 20%。溫度攝氏26度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度91%。,1,東北風,24,內門區
5,2023-07-26 09:00:00,04,38,32,80,30,多雲。降雨機率 20%。溫度攝氏32度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度80%。,2,東北風,28,內門區
6,2023-07-26 12:00:00,08,39,34,65,30,短暫陣雨。降雨機率 60%。溫度攝氏34度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度65%。,2,偏北風,27,內門區
7,2023-07-26 15:00:00,08,39,33,70,30,短暫陣雨。降雨機率 60%。溫度攝氏33度。悶熱。東南風 平均風速1-2級(每秒2公尺)。相對濕度70%。,2,東南風,27,內門區
8,2023-07-26 18:00:00,08,36,30,92,29,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏南風 平均風速1-2級(每秒3公尺)。相對濕度92%。,3,偏南風,29,內門區
9,2023-07-26 21:00:00,08,32,28,94,27,短暫陣雨。降雨機率 70%。溫度攝氏28度。悶熱。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度94%。,1,偏南風,27,內門區
10,2023-07-27 00:00:00,14,32,27,94,26,陣雨。降雨機率 80%。溫度攝氏27度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度94%。,2,偏北風,26,內門區
11,2023-07-27 03:00:00,14,31,26,94,26,陣雨。降雨機率 80%。溫度攝氏26度。舒適。東北風 平均風速2-3級(每秒4公尺)。相對濕度94%。,4,東北風,25,內門區
12,2023-07-27 06:00:00,14,29,26,95,25,陣雨。降雨機率 100%。溫度攝氏26度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度95%。,2,東北風,25,內門區
13,2023-07-27 09:00:00,14,36,30,87,29,陣雨。降雨機率 100%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度87%。,3,偏北風,28,內門區
14,2023-07-27 12:00:00,14,37,32,80,30,陣雨。降雨機率 90%。溫度攝氏32度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度80%。,3,東北風,28,內門區
15,2023-07-27 15:00:00,14,37,31,88,30,陣雨。降雨機率 90%。溫度攝氏31度。悶熱。偏北風 平均風速2-3級(每秒5公尺)。相對濕度88%。,5,偏北風,29,內門區
16,2023-07-27 18:00:00,14,32,29,96,28,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度96%。,6,偏東風,28,內門區
17,2023-07-27 21:00:00,14,29,27,92,26,陣雨。降雨機率 90%。溫度攝氏27度。舒適。偏南風 平均風速4-5級(每秒8公尺)。相對濕度92%。,8,偏南風,25,內門區
18,2023-07-28 00:00:00,08,26,26,91,26,短暫陣雨。降雨機率 80%。溫度攝氏26度。舒適。偏南風 平均風速4-5級(每秒8公尺)。相對濕度91%。,8,偏南風,25,內門區
19,2023-07-28 03:00:00,08,26,26,92,25,短暫陣雨。降雨機率 80%。溫度攝氏26度。舒適。偏南風 平均風速2-3級(每秒5公尺)。相對濕度92%。,5,偏南風,24,內門區
20,2023-07-28 06:00:00,08,27,25,91,25,短暫陣雨。降雨機率 70%。溫度攝氏25度。舒適。偏南風 平均風速4-5級(每秒8公尺)。相對濕度91%。,8,偏南風,24,內門區
21,2023-07-28 09:00:00,08,31,30,84,29,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏南風 平均風速4-5級(每秒8公尺)。相對濕度84%。,8,偏南風,27,內門區
22,2023-07-28 12:00:00,08,33,32,72,29,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。偏南風 平均風速3-4級(每秒7公尺)。相對濕度72%。,7,偏南風,26,內門區
23,2023-07-28 15:00:00,08,33,31,70,28,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。偏南風 平均風速2-3級(每秒5公尺)。相對濕度70%。,5,偏南風,25,內門區
24,2023-07-28 18:00:00,08,31,29,81,27,短暫陣雨。降雨機率 30%。溫度攝氏29度。悶熱。偏南風 平均風速2-3級(每秒5公尺)。相對濕度81%。,5,偏南風,25,內門區
