,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,36,32,77,29,多雲。降雨機率 10%。溫度攝氏32度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度77%。,3,西北風,27,前金區
1,2023-07-25 21:00:00,07,35,30,78,28,陰。降雨機率 10%。溫度攝氏30度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度78%。,2,西南風,26,前金區
2,2023-07-26 00:00:00,07,35,30,80,28,陰。降雨機率 20%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度80%。,2,偏北風,26,前金區
3,2023-07-26 03:00:00,04,34,29,81,28,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度81%。,3,偏北風,26,前金區
4,2023-07-26 06:00:00,04,33,29,80,27,多雲。降雨機率 20%。溫度攝氏29度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度80%。,3,東北風,25,前金區
5,2023-07-26 09:00:00,04,36,31,71,29,多雲。降雨機率 20%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度71%。,3,偏北風,25,前金區
6,2023-07-26 12:00:00,08,37,33,66,29,短暫陣雨。降雨機率 60%。溫度攝氏33度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度66%。,3,西北風,26,前金區
7,2023-07-26 15:00:00,08,38,33,70,30,短暫陣雨。降雨機率 60%。溫度攝氏33度。悶熱。偏北風 平均風速2-3級(每秒4公尺)。相對濕度70%。,4,偏北風,27,前金區
8,2023-07-26 18:00:00,08,35,31,78,29,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。偏西風 平均風速2-3級(每秒4公尺)。相對濕度78%。,4,偏西風,27,前金區
9,2023-07-26 21:00:00,08,33,30,78,28,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度78%。,2,西北風,26,前金區
10,2023-07-27 00:00:00,14,34,30,79,28,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏東風 平均風速2-3級(每秒4公尺)。相對濕度79%。,4,偏東風,26,前金區
11,2023-07-27 03:00:00,14,33,29,82,28,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度82%。,4,東北風,26,前金區
12,2023-07-27 06:00:00,14,32,29,84,27,陣雨。降雨機率 100%。溫度攝氏29度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度84%。,3,東北風,26,前金區
13,2023-07-27 09:00:00,14,34,30,82,28,陣雨。降雨機率 100%。溫度攝氏30度。悶熱。東北風 平均風速2-3級(每秒5公尺)。相對濕度82%。,5,東北風,26,前金區
14,2023-07-27 12:00:00,14,32,30,71,28,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度71%。,9,偏東風,24,前金區
15,2023-07-27 15:00:00,14,30,30,73,28,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東南風 平均風速>= 6級(每秒13公尺)。相對濕度73%。,>= 11,東南風,25,前金區
16,2023-07-27 18:00:00,14,28,29,81,28,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東南風 平均風速>= 6級(每秒20公尺)。相對濕度81%。,>= 11,東南風,26,前金區
17,2023-07-27 21:00:00,14,27,29,78,27,陣雨。降雨機率 90%。溫度攝氏29度。舒適。東南風 平均風速>= 6級(每秒18公尺)。相對濕度78%。,>= 11,東南風,24,前金區
18,2023-07-28 00:00:00,08,27,28,81,27,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒15公尺)。相對濕度81%。,>= 11,東南風,25,前金區
19,2023-07-28 03:00:00,08,26,28,81,27,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒12公尺)。相對濕度81%。,>= 11,東南風,25,前金區
20,2023-07-28 06:00:00,08,26,28,81,26,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒14公尺)。相對濕度81%。,>= 11,東南風,24,前金區
21,2023-07-28 09:00:00,08,29,30,83,28,短暫陣雨。降雨機率 80%。溫度攝氏30度。悶熱。東南風 平均風速>= 6級(每秒13公尺)。相對濕度83%。,>= 11,東南風,27,前金區
22,2023-07-28 12:00:00,08,31,32,77,29,短暫陣雨。降雨機率 60%。溫度攝氏32度。悶熱。東南風 平均風速>= 6級(每秒11公尺)。相對濕度77%。,>= 11,東南風,27,前金區
23,2023-07-28 15:00:00,08,30,31,70,29,短暫陣雨。降雨機率 60%。溫度攝氏31度。悶熱。東南風 平均風速4-5級(每秒10公尺)。相對濕度70%。,10,東南風,25,前金區
24,2023-07-28 18:00:00,08,30,30,77,28,短暫陣雨。降雨機率 60%。溫度攝氏30度。悶熱。偏南風 平均風速4-5級(每秒10公尺)。相對濕度77%。,10,偏南風,26,前金區
25,2023-07-28 21:00:00,08,29,30,76,27,短暫陣雨。降雨機率 60%。溫度攝氏30度。悶熱。偏南風 平均風速4-5級(每秒10公尺)。相對濕度76%。,10,偏南風,25,前金區
26,2023-07-29 00:00:00,08,28,29,75,27,短暫陣雨。降雨機率 60%。溫度攝氏29度。悶熱。偏南風 平均風速>= 6級(每秒11公尺)。相對濕度75%。,>= 11,偏南風,24,前金區
27,2023-07-29 03:00:00,08,27,29,73,27,短暫陣雨。降雨機率 60%。溫度攝氏29度。舒適。偏南風 平均風速4-5級(每秒9公尺)。相對濕度73%。,9,偏南風,24,前金區
