,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,34,31,76,29,多雲。降雨機率 10%。溫度攝氏31度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度76%。,2,西北風,26,前鎮區
1,2023-07-25 21:00:00,07,34,30,78,28,陰。降雨機率 10%。溫度攝氏30度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度78%。,2,西南風,25,前鎮區
2,2023-07-26 00:00:00,07,34,29,80,28,陰。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度80%。,2,偏北風,26,前鎮區
3,2023-07-26 03:00:00,04,33,29,82,27,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度82%。,3,偏北風,25,前鎮區
4,2023-07-26 06:00:00,04,32,28,80,27,多雲。降雨機率 20%。溫度攝氏28度。舒適。偏北風 平均風速1-2級(每秒3公尺)。相對濕度80%。,3,偏北風,25,前鎮區
5,2023-07-26 09:00:00,04,35,31,70,28,多雲。降雨機率 20%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度70%。,3,偏北風,25,前鎮區
6,2023-07-26 12:00:00,08,37,32,66,29,短暫陣雨。降雨機率 60%。溫度攝氏32度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度66%。,3,西北風,25,前鎮區
7,2023-07-26 15:00:00,08,37,32,71,29,短暫陣雨。降雨機率 60%。溫度攝氏32度。悶熱。偏北風 平均風速2-3級(每秒4公尺)。相對濕度71%。,4,偏北風,26,前鎮區
8,2023-07-26 18:00:00,08,34,31,78,28,短暫陣雨。降雨機率 80%。溫度攝氏31度。悶熱。偏西風 平均風速2-3級(每秒4公尺)。相對濕度78%。,4,偏西風,26,前鎮區
9,2023-07-26 21:00:00,08,33,29,79,28,短暫陣雨。降雨機率 80%。溫度攝氏29度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度79%。,2,西北風,25,前鎮區
10,2023-07-27 00:00:00,14,33,29,80,27,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。偏東風 平均風速2-3級(每秒4公尺)。相對濕度80%。,4,偏東風,25,前鎮區
11,2023-07-27 03:00:00,14,32,29,81,27,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度81%。,3,偏北風,25,前鎮區
12,2023-07-27 06:00:00,14,32,28,83,27,陣雨。降雨機率 100%。溫度攝氏28度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度83%。,3,東北風,25,前鎮區
13,2023-07-27 09:00:00,14,33,29,81,27,陣雨。降雨機率 100%。溫度攝氏29度。悶熱。東北風 平均風速2-3級(每秒5公尺)。相對濕度81%。,5,東北風,25,前鎮區
14,2023-07-27 12:00:00,14,31,30,67,27,陣雨。降雨機率 90%。溫度攝氏30度。舒適。偏東風 平均風速4-5級(每秒10公尺)。相對濕度67%。,10,偏東風,23,前鎮區
15,2023-07-27 15:00:00,14,29,30,74,27,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東南風 平均風速>= 6級(每秒13公尺)。相對濕度74%。,>= 11,東南風,24,前鎮區
16,2023-07-27 18:00:00,14,27,29,81,27,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東南風 平均風速>= 6級(每秒20公尺)。相對濕度81%。,>= 11,東南風,25,前鎮區
