,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,36,31,74,29,多雲。降雨機率 10%。溫度攝氏31度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度74%。,2,西北風,26,大寮區
1,2023-07-25 21:00:00,07,34,30,79,28,陰。降雨機率 10%。溫度攝氏30度。悶熱。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度79%。,1,偏南風,26,大寮區
2,2023-07-26 00:00:00,07,35,29,87,28,陰。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度87%。,2,偏北風,27,大寮區
3,2023-07-26 03:00:00,04,33,28,90,27,多雲。降雨機率 20%。溫度攝氏28度。悶熱。偏東風 平均風速1-2級(每秒3公尺)。相對濕度90%。,3,偏東風,26,大寮區
4,2023-07-26 06:00:00,07,31,28,85,26,陰。降雨機率 60%。溫度攝氏28度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,偏北風,25,大寮區
5,2023-07-26 09:00:00,08,35,30,71,28,短暫陣雨。降雨機率 60%。溫度攝氏30度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度71%。,3,東北風,25,大寮區
6,2023-07-26 12:00:00,08,37,33,67,29,短暫陣雨。降雨機率 70%。溫度攝氏33度。悶熱。偏東風 平均風速1-2級(每秒3公尺)。相對濕度67%。,3,偏東風,26,大寮區
7,2023-07-26 15:00:00,08,38,33,81,31,短暫陣雨。降雨機率 70%。溫度攝氏33度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度81%。,3,西南風,29,大寮區
8,2023-07-26 18:00:00,08,36,31,87,29,短暫陣雨。降雨機率 80%。溫度攝氏31度。悶熱。偏西風 平均風速1-2級(每秒3公尺)。相對濕度87%。,3,偏西風,28,大寮區
9,2023-07-26 21:00:00,08,33,29,86,28,短暫陣雨。降雨機率 80%。溫度攝氏29度。悶熱。偏西風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,偏西風,26,大寮區
10,2023-07-27 00:00:00,14,33,29,89,28,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度89%。,3,西北風,27,大寮區
