,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,07,37,32,75,29,陰。降雨機率 20%。溫度攝氏32度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度75%。,2,偏北風,27,大樹區
1,2023-07-25 21:00:00,07,35,30,84,28,陰。降雨機率 20%。溫度攝氏30度。悶熱。東南風 平均風速<= 1級(每秒1公尺)。相對濕度84%。,1,東南風,27,大樹區
2,2023-07-26 00:00:00,04,35,29,91,28,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度91%。,2,偏北風,27,大樹區
3,2023-07-26 03:00:00,04,33,28,91,27,多雲。降雨機率 20%。溫度攝氏28度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度91%。,3,偏北風,26,大樹區
4,2023-07-26 06:00:00,07,31,27,85,26,陰。降雨機率 60%。溫度攝氏27度。舒適。西北風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,西北風,25,大樹區
5,2023-07-26 09:00:00,08,35,31,73,28,短暫陣雨。降雨機率 60%。溫度攝氏31度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度73%。,3,東北風,25,大樹區
6,2023-07-26 12:00:00,08,38,33,70,30,短暫陣雨。降雨機率 70%。溫度攝氏33度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度70%。,3,偏北風,27,大樹區
7,2023-07-26 15:00:00,08,39,33,84,31,短暫陣雨。降雨機率 70%。溫度攝氏33度。易中暑。東南風 平均風速1-2級(每秒3公尺)。相對濕度84%。,3,東南風,30,大樹區
8,2023-07-26 18:00:00,08,36,31,86,29,短暫陣雨。降雨機率 80%。溫度攝氏31度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度86%。,3,西南風,28,大樹區
9,2023-07-26 21:00:00,08,34,29,91,28,短暫陣雨。降雨機率 80%。溫度攝氏29度。悶熱。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度91%。,1,偏北風,27,大樹區
10,2023-07-27 00:00:00,14,34,28,92,28,陣雨。降雨機率 90%。溫度攝氏28度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度92%。,3,西南風,27,大樹區
11,2023-07-27 03:00:00,14,32,28,92,27,陣雨。降雨機率 90%。溫度攝氏28度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度92%。,2,偏北風,26,大樹區
12,2023-07-27 06:00:00,14,32,27,94,27,陣雨。降雨機率 90%。溫度攝氏27度。舒適。偏北風 平均風速1-2級(每秒3公尺)。相對濕度94%。,3,偏北風,26,大樹區
13,2023-07-27 09:00:00,14,34,29,95,28,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度95%。,4,東北風,28,大樹區
14,2023-07-27 12:00:00,14,34,30,89,29,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東北風 平均風速2-3級(每秒5公尺)。相對濕度89%。,5,東北風,28,大樹區
15,2023-07-27 15:00:00,14,33,30,86,28,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東南風 平均風速4-5級(每秒8公尺)。相對濕度86%。,8,東南風,27,大樹區
16,2023-07-27 18:00:00,14,29,29,82,27,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東南風 平均風速>= 6級(每秒11公尺)。相對濕度82%。,>= 11,東南風,25,大樹區
17,2023-07-27 21:00:00,14,25,28,67,25,陣雨。降雨機率 90%。溫度攝氏28度。舒適。東南風 平均風速4-5級(每秒9公尺)。相對濕度67%。,9,東南風,21,大樹區
18,2023-07-28 00:00:00,08,26,27,71,25,短暫陣雨。降雨機率 90%。溫度攝氏27度。舒適。偏南風 平均風速4-5級(每秒9公尺)。相對濕度71%。,9,偏南風,22,大樹區
19,2023-07-28 03:00:00,08,26,27,78,25,短暫陣雨。降雨機率 90%。溫度攝氏27度。舒適。偏南風 平均風速4-5級(每秒8公尺)。相對濕度78%。,8,偏南風,23,大樹區
20,2023-07-28 06:00:00,08,27,27,87,26,短暫陣雨。降雨機率 70%。溫度攝氏27度。舒適。東南風 平均風速4-5級(每秒9公尺)。相對濕度87%。,9,東南風,24,大樹區
21,2023-07-28 09:00:00,08,30,30,87,28,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏南風 平均風速4-5級(每秒9公尺)。相對濕度87%。,9,偏南風,27,大樹區
22,2023-07-28 12:00:00,08,33,32,81,30,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。偏南風 平均風速3-4級(每秒7公尺)。相對濕度81%。,7,偏南風,28,大樹區
23,2023-07-28 15:00:00,08,33,32,72,29,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。偏南風 平均風速3-4級(每秒6公尺)。相對濕度72%。,6,偏南風,26,大樹區
24,2023-07-28 18:00:00,08,32,30,72,27,短暫陣雨。降雨機率 30%。溫度攝氏30度。悶熱。偏南風 平均風速3-4級(每秒7公尺)。相對濕度72%。,7,偏南風,24,大樹區
25,2023-07-28 21:00:00,08,28,29,60,25,短暫陣雨。降雨機率 30%。溫度攝氏29度。舒適。偏南風 平均風速3-4級(每秒7公尺)。相對濕度60%。,7,偏南風,20,大樹區
26,2023-07-29 00:00:00,08,27,28,59,25,短暫陣雨。降雨機率 40%。溫度攝氏28度。舒適。偏南風 平均風速3-4級(每秒7公尺)。相對濕度59%。,7,偏南風,19,大樹區
27,2023-07-29 03:00:00,08,26,27,62,25,短暫陣雨。降雨機率 40%。溫度攝氏27度。舒適。偏南風 平均風速2-3級(每秒5公尺)。相對濕度62%。,5,偏南風,20,大樹區
28,2023-07-29 06:00:00,08,28,27,68,25,短暫陣雨。降雨機率 30%。溫度攝氏27度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度68%。,1,偏南風,20,大樹區
29,2023-07-29 09:00:00,08,36,31,73,28,短暫陣雨。降雨機率 30%。溫度攝氏31度。悶熱。東南風 平均風速1-2級(每秒2公尺)。相對濕度73%。,2,東南風,26,大樹區
30,2023-07-29 12:00:00,08,41,34,76,31,短暫陣雨。降雨機率 30%。溫度攝氏34度。易中暑。偏東風 平均風速1-2級(每秒2公尺)。相對濕度76%。,2,偏東風,29,大樹區
31,2023-07-29 15:00:00,08,40,34,79,31,短暫陣雨。降雨機率 30%。溫度攝氏34度。易中暑。東北風 平均風速1-2級(每秒2公尺)。相對濕度79%。,2,東北風,30,大樹區
