,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,07,37,32,75,30,陰。降雨機率 10%。溫度攝氏32度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度75%。,2,西北風,27,大社區
1,2023-07-25 21:00:00,07,35,30,80,28,陰。降雨機率 10%。溫度攝氏30度。悶熱。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度80%。,1,偏南風,26,大社區
2,2023-07-26 00:00:00,04,35,29,86,28,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,偏北風,27,大社區
3,2023-07-26 03:00:00,04,33,28,85,27,多雲。降雨機率 20%。溫度攝氏28度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度85%。,3,東北風,26,大社區
4,2023-07-26 06:00:00,04,31,28,83,26,多雲。降雨機率 20%。溫度攝氏28度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度83%。,3,東北風,25,大社區
5,2023-07-26 09:00:00,07,35,31,71,28,陰。降雨機率 20%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度71%。,3,偏北風,25,大社區
6,2023-07-26 12:00:00,08,38,33,65,30,短暫陣雨。降雨機率 60%。溫度攝氏33度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度65%。,3,西北風,26,大社區
7,2023-07-26 15:00:00,08,39,33,71,30,短暫陣雨。降雨機率 60%。溫度攝氏33度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度71%。,3,西北風,27,大社區
8,2023-07-26 18:00:00,08,36,31,78,29,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度78%。,4,西南風,27,大社區
9,2023-07-26 21:00:00,08,33,29,82,28,短暫陣雨。降雨機率 70%。溫度攝氏29度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度82%。,2,西北風,26,大社區
10,2023-07-27 00:00:00,14,34,29,86,28,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度86%。,3,西南風,26,大社區
11,2023-07-27 03:00:00,14,32,28,87,27,陣雨。降雨機率 90%。溫度攝氏28度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度87%。,3,東北風,26,大社區
12,2023-07-27 06:00:00,14,31,27,89,26,陣雨。降雨機率 100%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度89%。,2,東北風,25,大社區
13,2023-07-27 09:00:00,14,34,29,92,28,陣雨。降雨機率 100%。溫度攝氏29度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度92%。,4,東北風,27,大社區
14,2023-07-27 12:00:00,14,34,30,84,28,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度84%。,6,偏東風,27,大社區
15,2023-07-27 15:00:00,14,32,30,73,28,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東南風 平均風速4-5級(每秒9公尺)。相對濕度73%。,9,東南風,25,大社區
16,2023-07-27 18:00:00,14,28,29,79,27,陣雨。降雨機率 80%。溫度攝氏29度。悶熱。東南風 平均風速>= 6級(每秒14公尺)。相對濕度79%。,>= 11,東南風,25,大社區
17,2023-07-27 21:00:00,14,26,28,75,26,陣雨。降雨機率 80%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒12公尺)。相對濕度75%。,>= 11,東南風,23,大社區
18,2023-07-28 00:00:00,08,25,28,78,26,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。東南風 平均風速4-5級(每秒10公尺)。相對濕度78%。,10,東南風,23,大社區
19,2023-07-28 03:00:00,08,26,27,83,26,短暫陣雨。降雨機率 80%。溫度攝氏27度。舒適。東南風 平均風速4-5級(每秒8公尺)。相對濕度83%。,8,東南風,24,大社區
20,2023-07-28 06:00:00,08,26,27,86,26,短暫陣雨。降雨機率 70%。溫度攝氏27度。舒適。東南風 平均風速>= 6級(每秒11公尺)。相對濕度86%。,>= 11,東南風,24,大社區
