,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,34,31,75,28,多雲。降雨機率 10%。溫度攝氏31度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度75%。,3,西北風,26,小港區
1,2023-07-25 21:00:00,07,33,29,77,28,陰。降雨機率 10%。溫度攝氏29度。悶熱。西南風 平均風速<= 1級(每秒1公尺)。相對濕度77%。,1,西南風,25,小港區
2,2023-07-26 00:00:00,07,34,29,82,27,陰。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度82%。,3,偏北風,26,小港區
3,2023-07-26 03:00:00,04,32,28,84,27,多雲。降雨機率 20%。溫度攝氏28度。悶熱。偏北風 平均風速2-3級(每秒4公尺)。相對濕度84%。,4,偏北風,25,小港區
4,2023-07-26 06:00:00,07,31,28,81,26,陰。降雨機率 20%。溫度攝氏28度。舒適。偏北風 平均風速1-2級(每秒3公尺)。相對濕度81%。,3,偏北風,24,小港區
5,2023-07-26 09:00:00,04,34,31,70,28,多雲。降雨機率 20%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度70%。,3,偏北風,24,小港區
6,2023-07-26 12:00:00,08,36,32,66,29,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。西北風 平均風速2-3級(每秒4公尺)。相對濕度66%。,4,西北風,25,小港區
7,2023-07-26 15:00:00,08,37,32,72,30,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。西北風 平均風速2-3級(每秒4公尺)。相對濕度72%。,4,西北風,27,小港區
8,2023-07-26 18:00:00,08,34,30,79,28,短暫陣雨。降雨機率 80%。溫度攝氏30度。悶熱。偏西風 平均風速2-3級(每秒4公尺)。相對濕度79%。,4,偏西風,26,小港區
9,2023-07-26 21:00:00,08,32,29,80,28,短暫陣雨。降雨機率 80%。溫度攝氏29度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度80%。,3,西北風,25,小港區
10,2023-07-27 00:00:00,14,33,29,82,27,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。偏東風 平均風速2-3級(每秒5公尺)。相對濕度82%。,5,偏東風,25,小港區
11,2023-07-27 03:00:00,14,31,28,83,27,陣雨。降雨機率 90%。溫度攝氏28度。舒適。偏北風 平均風速1-2級(每秒3公尺)。相對濕度83%。,3,偏北風,25,小港區
12,2023-07-27 06:00:00,14,31,28,83,26,陣雨。降雨機率 100%。溫度攝氏28度。舒適。東北風 平均風速2-3級(每秒4公尺)。相對濕度83%。,4,東北風,24,小港區
13,2023-07-27 09:00:00,14,32,29,81,27,陣雨。降雨機率 100%。溫度攝氏29度。悶熱。東北風 平均風速3-4級(每秒6公尺)。相對濕度81%。,6,東北風,25,小港區
14,2023-07-27 12:00:00,14,31,30,69,27,陣雨。降雨機率 90%。溫度攝氏30度。舒適。偏東風 平均風速>= 6級(每秒11公尺)。相對濕度69%。,>= 11,偏東風,23,小港區
15,2023-07-27 15:00:00,14,28,30,76,27,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東南風 平均風速>= 6級(每秒14公尺)。相對濕度76%。,>= 11,東南風,25,小港區
