,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,07,37,32,76,30,陰。降雨機率 10%。溫度攝氏32度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度76%。,2,西北風,27,岡山區
1,2023-07-25 21:00:00,07,35,30,79,28,陰。降雨機率 10%。溫度攝氏30度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度79%。,2,偏南風,26,岡山區
2,2023-07-26 00:00:00,04,35,30,86,29,多雲。降雨機率 20%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,偏北風,27,岡山區
3,2023-07-26 03:00:00,04,34,29,85,28,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,偏北風,26,岡山區
4,2023-07-26 06:00:00,04,33,28,84,27,多雲。降雨機率 20%。溫度攝氏28度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度84%。,3,東北風,26,岡山區
5,2023-07-26 09:00:00,04,37,32,73,29,多雲。降雨機率 20%。溫度攝氏32度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度73%。,3,偏北風,27,岡山區
6,2023-07-26 12:00:00,04,39,34,64,30,多雲。降雨機率 20%。溫度攝氏34度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度64%。,2,西北風,26,岡山區
7,2023-07-26 15:00:00,04,39,34,67,30,多雲。降雨機率 20%。溫度攝氏34度。悶熱。偏西風 平均風速1-2級(每秒3公尺)。相對濕度67%。,3,偏西風,27,岡山區
8,2023-07-26 18:00:00,04,37,32,78,30,多雲。降雨機率 60%。溫度攝氏32度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度78%。,4,西南風,28,岡山區
9,2023-07-26 21:00:00,08,34,30,81,28,短暫陣雨。降雨機率 60%。溫度攝氏30度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度81%。,2,西南風,27,岡山區
10,2023-07-27 00:00:00,14,35,30,85,28,陣雨。降雨機率 80%。溫度攝氏30度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,偏南風,27,岡山區
11,2023-07-27 03:00:00,14,34,29,87,28,陣雨。降雨機率 80%。溫度攝氏29度。悶熱。偏東風 平均風速2-3級(每秒4公尺)。相對濕度87%。,4,偏東風,26,岡山區
12,2023-07-27 06:00:00,14,31,28,89,27,陣雨。降雨機率 90%。溫度攝氏28度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度89%。,3,東北風,26,岡山區
13,2023-07-27 09:00:00,14,34,30,90,29,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度90%。,4,東北風,28,岡山區
14,2023-07-27 12:00:00,14,34,31,82,29,陣雨。降雨機率 90%。溫度攝氏31度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度82%。,6,偏東風,27,岡山區
15,2023-07-27 15:00:00,14,32,30,71,28,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東南風 平均風速>= 6級(每秒11公尺)。相對濕度71%。,>= 11,東南風,25,岡山區
