,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,35,31,78,29,多雲。降雨機率 10%。溫度攝氏31度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度78%。,3,西北風,27,左營區
1,2023-07-25 21:00:00,07,35,30,81,28,陰。降雨機率 10%。溫度攝氏30度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度81%。,2,西南風,26,左營區
2,2023-07-26 00:00:00,04,35,30,84,28,多雲。降雨機率 20%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度84%。,2,偏北風,27,左營區
3,2023-07-26 03:00:00,04,34,29,83,28,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度83%。,3,偏北風,26,左營區
4,2023-07-26 06:00:00,04,33,29,83,27,多雲。降雨機率 20%。溫度攝氏29度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度83%。,3,東北風,25,左營區
5,2023-07-26 09:00:00,07,35,31,73,28,陰。降雨機率 20%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度73%。,3,偏北風,25,左營區
6,2023-07-26 12:00:00,08,37,32,68,29,短暫陣雨。降雨機率 60%。溫度攝氏32度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度68%。,3,西北風,26,左營區
7,2023-07-26 15:00:00,08,37,32,73,30,短暫陣雨。降雨機率 60%。溫度攝氏32度。悶熱。西北風 平均風速2-3級(每秒4公尺)。相對濕度73%。,4,西北風,27,左營區
8,2023-07-26 18:00:00,08,35,31,79,29,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度79%。,4,西南風,27,左營區
9,2023-07-26 21:00:00,08,33,30,82,28,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度82%。,2,偏北風,26,左營區
10,2023-07-27 00:00:00,14,34,29,83,28,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度83%。,3,西南風,26,左營區
11,2023-07-27 03:00:00,14,33,29,85,27,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度85%。,4,東北風,26,左營區
12,2023-07-27 06:00:00,14,31,28,86,27,陣雨。降雨機率 90%。溫度攝氏28度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度86%。,3,東北風,26,左營區
13,2023-07-27 09:00:00,14,33,29,90,28,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東北風 平均風速2-3級(每秒5公尺)。相對濕度90%。,5,東北風,27,左營區
14,2023-07-27 12:00:00,14,32,29,82,28,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度82%。,8,偏東風,26,左營區
15,2023-07-27 15:00:00,14,30,29,72,27,陣雨。降雨機率 90%。溫度攝氏29度。舒適。東南風 平均風速>= 6級(每秒12公尺)。相對濕度72%。,>= 11,東南風,24,左營區
16,2023-07-27 18:00:00,14,27,29,81,27,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東南風 平均風速>= 6級(每秒18公尺)。相對濕度81%。,>= 11,東南風,25,左營區
17,2023-07-27 21:00:00,14,26,28,81,27,陣雨。降雨機率 90%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒15公尺)。相對濕度81%。,>= 11,東南風,25,左營區
