,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,35,31,78,29,多雲。降雨機率 10%。溫度攝氏31度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度78%。,3,西北風,27,彌陀區
1,2023-07-25 21:00:00,04,34,30,80,28,多雲。降雨機率 10%。溫度攝氏30度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度80%。,2,偏南風,26,彌陀區
2,2023-07-26 00:00:00,04,34,30,85,28,多雲。降雨機率 20%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,偏北風,27,彌陀區
3,2023-07-26 03:00:00,04,34,29,85,28,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,偏北風,26,彌陀區
4,2023-07-26 06:00:00,04,33,28,85,27,多雲。降雨機率 20%。溫度攝氏28度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度85%。,3,東北風,26,彌陀區
5,2023-07-26 09:00:00,07,36,31,75,29,陰。降雨機率 20%。溫度攝氏31度。悶熱。偏北風 平均風速2-3級(每秒4公尺)。相對濕度75%。,4,偏北風,26,彌陀區
6,2023-07-26 12:00:00,07,38,33,70,30,陰。降雨機率 20%。溫度攝氏33度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度70%。,2,西北風,27,彌陀區
7,2023-07-26 15:00:00,04,39,33,73,30,多雲。降雨機率 20%。溫度攝氏33度。悶熱。偏西風 平均風速1-2級(每秒3公尺)。相對濕度73%。,3,偏西風,28,彌陀區
8,2023-07-26 18:00:00,04,36,31,81,29,多雲。降雨機率 60%。溫度攝氏31度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度81%。,4,西南風,28,彌陀區
9,2023-07-26 21:00:00,08,34,30,83,28,短暫陣雨。降雨機率 60%。溫度攝氏30度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度83%。,2,偏南風,27,彌陀區
10,2023-07-27 00:00:00,14,34,29,85,28,陣雨。降雨機率 80%。溫度攝氏29度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,偏南風,27,彌陀區
11,2023-07-27 03:00:00,14,33,29,87,28,陣雨。降雨機率 80%。溫度攝氏29度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度87%。,6,偏東風,26,彌陀區
12,2023-07-27 06:00:00,14,30,28,87,27,陣雨。降雨機率 90%。溫度攝氏28度。悶熱。東北風 平均風速3-4級(每秒6公尺)。相對濕度87%。,6,東北風,26,彌陀區
13,2023-07-27 09:00:00,14,32,30,88,29,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東北風 平均風速3-4級(每秒6公尺)。相對濕度88%。,6,東北風,27,彌陀區
14,2023-07-27 12:00:00,14,33,31,81,29,陣雨。降雨機率 90%。溫度攝氏31度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度81%。,9,偏東風,27,彌陀區
15,2023-07-27 15:00:00,14,30,30,72,28,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東南風 平均風速>= 6級(每秒14公尺)。相對濕度72%。,>= 11,東南風,25,彌陀區
16,2023-07-27 18:00:00,14,28,29,82,28,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東南風 平均風速>= 6級(每秒19公尺)。相對濕度82%。,>= 11,東南風,26,彌陀區
17,2023-07-27 21:00:00,14,27,28,84,27,陣雨。降雨機率 90%。溫度攝氏28度。悶熱。東南風 平均風速>= 6級(每秒19公尺)。相對濕度84%。,>= 11,東南風,25,彌陀區
18,2023-07-28 00:00:00,08,27,28,86,27,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒18公尺)。相對濕度86%。,>= 11,東南風,25,彌陀區
19,2023-07-28 03:00:00,08,26,28,87,27,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒14公尺)。相對濕度87%。,>= 11,東南風,25,彌陀區
20,2023-07-28 06:00:00,08,26,27,85,26,短暫陣雨。降雨機率 70%。溫度攝氏27度。舒適。東南風 平均風速>= 6級(每秒13公尺)。相對濕度85%。,>= 11,東南風,25,彌陀區
21,2023-07-28 09:00:00,08,30,30,85,29,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏南風 平均風速>= 6級(每秒15公尺)。相對濕度85%。,>= 11,偏南風,27,彌陀區
22,2023-07-28 12:00:00,08,32,32,83,30,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。偏南風 平均風速>= 6級(每秒12公尺)。相對濕度83%。,>= 11,偏南風,28,彌陀區
23,2023-07-28 15:00:00,08,31,32,73,29,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。東南風 平均風速4-5級(每秒10公尺)。相對濕度73%。,10,東南風,26,彌陀區
24,2023-07-28 18:00:00,08,30,30,79,28,短暫陣雨。降雨機率 40%。溫度攝氏30度。悶熱。偏南風 平均風速4-5級(每秒10公尺)。相對濕度79%。,10,偏南風,26,彌陀區
25,2023-07-28 21:00:00,08,28,29,79,27,短暫陣雨。降雨機率 40%。溫度攝氏29度。悶熱。偏南風 平均風速4-5級(每秒10公尺)。相對濕度79%。,10,偏南風,25,彌陀區
26,2023-07-29 00:00:00,08,28,29,80,27,短暫陣雨。降雨機率 30%。溫度攝氏29度。悶熱。偏南風 平均風速4-5級(每秒10公尺)。相對濕度80%。,10,偏南風,25,彌陀區
27,2023-07-29 03:00:00,08,27,28,80,27,短暫陣雨。降雨機率 30%。溫度攝氏28度。舒適。偏南風 平均風速4-5級(每秒9公尺)。相對濕度80%。,9,偏南風,24,彌陀區
28,2023-07-29 06:00:00,08,27,28,76,26,短暫陣雨。降雨機率 30%。溫度攝氏28度。舒適。偏南風 平均風速2-3級(每秒5公尺)。相對濕度76%。,5,偏南風,23,彌陀區
29,2023-07-29 09:00:00,08,34,31,74,28,短暫陣雨。降雨機率 30%。溫度攝氏31度。悶熱。偏南風 平均風速3-4級(每秒6公尺)。相對濕度74%。,6,偏南風,26,彌陀區
30,2023-07-29 12:00:00,08,36,33,73,30,短暫陣雨。降雨機率 30%。溫度攝氏33度。悶熱。偏南風 平均風速3-4級(每秒6公尺)。相對濕度73%。,6,偏南風,27,彌陀區
31,2023-07-29 15:00:00,08,36,33,77,30,短暫陣雨。降雨機率 30%。溫度攝氏33度。悶熱。偏東風 平均風速2-3級(每秒4公尺)。相對濕度77%。,4,偏東風,28,彌陀區
