,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,38,32,82,30,多雲。降雨機率 10%。溫度攝氏32度。悶熱。偏東風 平均風速1-2級(每秒2公尺)。相對濕度82%。,2,偏東風,29,旗山區
1,2023-07-25 21:00:00,07,35,29,89,28,陰。降雨機率 10%。溫度攝氏29度。悶熱。東北風 平均風速<= 1級(每秒1公尺)。相對濕度89%。,1,東北風,27,旗山區
2,2023-07-26 00:00:00,04,34,28,92,28,多雲。降雨機率 20%。溫度攝氏28度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度92%。,2,偏北風,27,旗山區
3,2023-07-26 03:00:00,04,32,28,91,27,多雲。降雨機率 20%。溫度攝氏28度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度91%。,2,東北風,26,旗山區
4,2023-07-26 06:00:00,04,31,27,88,26,多雲。降雨機率 20%。溫度攝氏27度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度88%。,2,偏北風,25,旗山區
5,2023-07-26 09:00:00,07,37,32,76,29,陰。降雨機率 20%。溫度攝氏32度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度76%。,2,東北風,27,旗山區
6,2023-07-26 12:00:00,07,39,34,66,30,陰。降雨機率 60%。溫度攝氏34度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度66%。,2,偏北風,27,旗山區
7,2023-07-26 15:00:00,08,39,33,70,30,短暫陣雨。降雨機率 60%。溫度攝氏33度。悶熱。偏東風 平均風速1-2級(每秒2公尺)。相對濕度70%。,2,偏東風,27,旗山區
8,2023-07-26 18:00:00,08,37,31,90,30,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度90%。,3,西北風,29,旗山區
9,2023-07-26 21:00:00,08,33,29,93,28,短暫陣雨。降雨機率 70%。溫度攝氏29度。悶熱。偏西風 平均風速<= 1級(每秒1公尺)。相對濕度93%。,1,偏西風,28,旗山區
10,2023-07-27 00:00:00,14,33,28,93,27,陣雨。降雨機率 90%。溫度攝氏28度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度93%。,2,偏北風,27,旗山區
11,2023-07-27 03:00:00,14,32,27,95,27,陣雨。降雨機率 90%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度95%。,3,東北風,26,旗山區
12,2023-07-27 06:00:00,14,31,27,97,27,陣雨。降雨機率 100%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度97%。,2,東北風,26,旗山區
13,2023-07-27 09:00:00,14,35,29,87,28,陣雨。降雨機率 100%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度87%。,3,偏北風,27,旗山區
14,2023-07-27 12:00:00,14,35,31,80,29,陣雨。降雨機率 90%。溫度攝氏31度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度80%。,3,東北風,27,旗山區
15,2023-07-27 15:00:00,14,35,30,88,29,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏北風 平均風速2-3級(每秒5公尺)。相對濕度88%。,5,偏北風,28,旗山區
16,2023-07-27 18:00:00,14,32,29,92,28,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東南風 平均風速3-4級(每秒6公尺)。相對濕度92%。,6,東南風,27,旗山區
17,2023-07-27 21:00:00,14,29,27,87,26,陣雨。降雨機率 90%。溫度攝氏27度。舒適。偏南風 平均風速4-5級(每秒8公尺)。相對濕度87%。,8,偏南風,25,旗山區
18,2023-07-28 00:00:00,08,27,27,86,26,短暫陣雨。降雨機率 80%。溫度攝氏27度。舒適。偏南風 平均風速3-4級(每秒7公尺)。相對濕度86%。,7,偏南風,24,旗山區
19,2023-07-28 03:00:00,08,27,27,91,26,短暫陣雨。降雨機率 80%。溫度攝氏27度。舒適。偏南風 平均風速2-3級(每秒5公尺)。相對濕度91%。,5,偏南風,25,旗山區
20,2023-07-28 06:00:00,08,28,26,90,26,短暫陣雨。降雨機率 70%。溫度攝氏26度。舒適。偏南風 平均風速4-5級(每秒8公尺)。相對濕度90%。,8,偏南風,25,旗山區
21,2023-07-28 09:00:00,08,31,30,81,29,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏南風 平均風速4-5級(每秒8公尺)。相對濕度81%。,8,偏南風,27,旗山區
22,2023-07-28 12:00:00,08,33,32,69,29,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。偏南風 平均風速3-4級(每秒7公尺)。相對濕度69%。,7,偏南風,26,旗山區
23,2023-07-28 15:00:00,08,33,32,69,29,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。偏南風 平均風速3-4級(每秒6公尺)。相對濕度69%。,6,偏南風,25,旗山區
24,2023-07-28 18:00:00,08,31,30,76,27,短暫陣雨。降雨機率 30%。溫度攝氏30度。悶熱。偏南風 平均風速2-3級(每秒5公尺)。相對濕度76%。,5,偏南風,25,旗山區
25,2023-07-28 21:00:00,08,29,28,66,25,短暫陣雨。降雨機率 30%。溫度攝氏28度。舒適。偏南風 平均風速2-3級(每秒4公尺)。相對濕度66%。,4,偏南風,21,旗山區
26,2023-07-29 00:00:00,08,30,27,80,26,短暫陣雨。降雨機率 30%。溫度攝氏27度。舒適。偏南風 平均風速2-3級(每秒4公尺)。相對濕度80%。,4,偏南風,24,旗山區
27,2023-07-29 03:00:00,08,30,27,88,26,短暫陣雨。降雨機率 30%。溫度攝氏27度。舒適。偏南風 平均風速1-2級(每秒3公尺)。相對濕度88%。,3,偏南風,25,旗山區
28,2023-07-29 06:00:00,08,30,27,83,25,短暫陣雨。降雨機率 30%。溫度攝氏27度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度83%。,1,偏南風,23,旗山區
29,2023-07-29 09:00:00,08,39,32,75,30,短暫陣雨。降雨機率 30%。溫度攝氏32度。悶熱。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度75%。,1,偏東風,27,旗山區
30,2023-07-29 12:00:00,08,42,35,71,32,短暫陣雨。降雨機率 30%。溫度攝氏35度。易中暑。偏北風 平均風速1-2級(每秒2公尺)。相對濕度71%。,2,偏北風,29,旗山區
31,2023-07-29 15:00:00,08,41,35,73,31,短暫陣雨。降雨機率 30%。溫度攝氏35度。易中暑。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度73%。,1,偏北風,29,旗山區
