,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,34,30,80,29,多雲。降雨機率 10%。溫度攝氏30度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度80%。,3,西北風,27,旗津區
1,2023-07-25 21:00:00,07,33,29,80,28,陰。降雨機率 10%。溫度攝氏29度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度80%。,2,西南風,26,旗津區
2,2023-07-26 00:00:00,07,33,29,81,27,陰。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度81%。,2,偏北風,25,旗津區
3,2023-07-26 03:00:00,04,33,29,82,27,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度82%。,3,偏北風,25,旗津區
4,2023-07-26 06:00:00,04,31,28,80,27,多雲。降雨機率 20%。溫度攝氏28度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度80%。,3,東北風,24,旗津區
5,2023-07-26 09:00:00,04,34,31,72,28,多雲。降雨機率 20%。溫度攝氏31度。悶熱。偏北風 平均風速2-3級(每秒4公尺)。相對濕度72%。,4,偏北風,25,旗津區
6,2023-07-26 12:00:00,08,36,32,69,29,短暫陣雨。降雨機率 60%。溫度攝氏32度。悶熱。西北風 平均風速2-3級(每秒4公尺)。相對濕度69%。,4,西北風,26,旗津區
7,2023-07-26 15:00:00,08,36,32,73,29,短暫陣雨。降雨機率 60%。溫度攝氏32度。悶熱。偏北風 平均風速2-3級(每秒5公尺)。相對濕度73%。,5,偏北風,26,旗津區
8,2023-07-26 18:00:00,08,33,30,79,28,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏西風 平均風速2-3級(每秒5公尺)。相對濕度79%。,5,偏西風,26,旗津區
9,2023-07-26 21:00:00,08,32,29,80,27,短暫陣雨。降雨機率 70%。溫度攝氏29度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度80%。,2,西北風,25,旗津區
10,2023-07-27 00:00:00,14,33,29,81,27,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。偏東風 平均風速2-3級(每秒4公尺)。相對濕度81%。,4,偏東風,25,旗津區
11,2023-07-27 03:00:00,14,31,28,83,27,陣雨。降雨機率 90%。溫度攝氏28度。舒適。東北風 平均風速2-3級(每秒5公尺)。相對濕度83%。,5,東北風,25,旗津區
12,2023-07-27 06:00:00,14,30,28,83,27,陣雨。降雨機率 100%。溫度攝氏28度。舒適。東北風 平均風速2-3級(每秒5公尺)。相對濕度83%。,5,東北風,25,旗津區
