,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,36,31,83,29,多雲。降雨機率 10%。溫度攝氏31度。悶熱。東南風 平均風速1-2級(每秒2公尺)。相對濕度83%。,2,東南風,27,杉林區
1,2023-07-25 21:00:00,07,33,28,92,27,陰。降雨機率 10%。溫度攝氏28度。悶熱。偏東風 平均風速1-2級(每秒2公尺)。相對濕度92%。,2,偏東風,26,杉林區
2,2023-07-26 00:00:00,07,31,27,93,26,陰。降雨機率 20%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度93%。,2,東北風,26,杉林區
3,2023-07-26 03:00:00,04,30,26,93,25,多雲。降雨機率 20%。溫度攝氏26度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度93%。,2,東北風,25,杉林區
4,2023-07-26 06:00:00,07,29,26,89,25,陰。降雨機率 20%。溫度攝氏26度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度89%。,2,東北風,24,杉林區
5,2023-07-26 09:00:00,07,36,31,73,29,陰。降雨機率 20%。溫度攝氏31度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度73%。,2,東北風,26,杉林區
6,2023-07-26 12:00:00,08,38,33,59,29,短暫陣雨。降雨機率 80%。溫度攝氏33度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度59%。,2,偏北風,24,杉林區
7,2023-07-26 15:00:00,08,38,33,69,29,短暫陣雨。降雨機率 80%。溫度攝氏33度。悶熱。東南風 平均風速1-2級(每秒2公尺)。相對濕度69%。,2,東南風,26,杉林區
8,2023-07-26 18:00:00,08,35,29,93,29,短暫陣雨。降雨機率 80%。溫度攝氏29度。悶熱。東南風 平均風速1-2級(每秒3公尺)。相對濕度93%。,3,東南風,28,杉林區
9,2023-07-26 21:00:00,08,32,27,92,27,短暫陣雨。降雨機率 80%。溫度攝氏27度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度92%。,1,偏東風,26,杉林區
10,2023-07-27 00:00:00,14,31,27,93,26,陣雨。降雨機率 90%。溫度攝氏27度。舒適。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度93%。,1,偏北風,25,杉林區
11,2023-07-27 03:00:00,14,31,26,93,25,陣雨。降雨機率 90%。溫度攝氏26度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度93%。,3,東北風,25,杉林區
12,2023-07-27 06:00:00,14,29,26,91,25,陣雨。降雨機率 100%。溫度攝氏26度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度91%。,2,東北風,24,杉林區
13,2023-07-27 09:00:00,14,34,29,83,28,陣雨。降雨機率 100%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度83%。,3,偏北風,26,杉林區
14,2023-07-27 12:00:00,14,35,30,80,29,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度80%。,2,東北風,27,杉林區
15,2023-07-27 15:00:00,14,36,30,89,29,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏北風 平均風速2-3級(每秒4公尺)。相對濕度89%。,4,偏北風,28,杉林區
16,2023-07-27 18:00:00,14,32,28,97,28,陣雨。降雨機率 90%。溫度攝氏28度。悶熱。偏東風 平均風速2-3級(每秒4公尺)。相對濕度97%。,4,偏東風,27,杉林區
17,2023-07-27 21:00:00,14,30,27,93,26,陣雨。降雨機率 90%。溫度攝氏27度。舒適。偏南風 平均風速3-4級(每秒7公尺)。相對濕度93%。,7,偏南風,25,杉林區
18,2023-07-28 00:00:00,08,27,26,92,26,短暫陣雨。降雨機率 80%。溫度攝氏26度。舒適。偏南風 平均風速3-4級(每秒6公尺)。相對濕度92%。,6,偏南風,25,杉林區
19,2023-07-28 03:00:00,08,27,26,92,25,短暫陣雨。降雨機率 80%。溫度攝氏26度。舒適。偏南風 平均風速2-3級(每秒5公尺)。相對濕度92%。,5,偏南風,24,杉林區
20,2023-07-28 06:00:00,08,27,26,91,25,短暫陣雨。降雨機率 70%。溫度攝氏26度。舒適。偏南風 平均風速3-4級(每秒6公尺)。相對濕度91%。,6,偏南風,24,杉林區
21,2023-07-28 09:00:00,08,32,30,82,28,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏南風 平均風速3-4級(每秒7公尺)。相對濕度82%。,7,偏南風,26,杉林區
22,2023-07-28 12:00:00,08,33,32,67,28,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。偏南風 平均風速3-4級(每秒6公尺)。相對濕度67%。,6,偏南風,25,杉林區
23,2023-07-28 15:00:00,08,33,31,68,28,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。偏南風 平均風速2-3級(每秒5公尺)。相對濕度68%。,5,偏南風,24,杉林區
24,2023-07-28 18:00:00,08,31,28,81,27,短暫陣雨。降雨機率 30%。溫度攝氏28度。舒適。偏南風 平均風速2-3級(每秒4公尺)。相對濕度81%。,4,偏南風,25,杉林區
25,2023-07-28 21:00:00,08,29,26,79,25,短暫陣雨。降雨機率 30%。溫度攝氏26度。舒適。東南風 平均風速1-2級(每秒2公尺)。相對濕度79%。,2,東南風,23,杉林區
26,2023-07-29 00:00:00,08,30,26,88,25,短暫陣雨。降雨機率 30%。溫度攝氏26度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度88%。,2,偏東風,24,杉林區
27,2023-07-29 03:00:00,08,29,25,91,25,短暫陣雨。降雨機率 30%。溫度攝氏25度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度91%。,1,偏東風,24,杉林區
28,2023-07-29 06:00:00,08,28,25,83,24,短暫陣雨。降雨機率 30%。溫度攝氏25度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度83%。,1,偏東風,22,杉林區
29,2023-07-29 09:00:00,08,38,32,73,29,短暫陣雨。降雨機率 30%。溫度攝氏32度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度73%。,2,東北風,26,杉林區
30,2023-07-29 12:00:00,08,40,34,66,30,短暫陣雨。降雨機率 30%。溫度攝氏34度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度66%。,2,偏北風,27,杉林區
31,2023-07-29 15:00:00,08,39,34,68,30,短暫陣雨。降雨機率 30%。溫度攝氏34度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度68%。,2,偏北風,27,杉林區
