,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,34,31,73,29,多雲。降雨機率 20%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度73%。,3,偏北風,26,林園區
1,2023-07-25 21:00:00,07,34,30,77,28,陰。降雨機率 20%。溫度攝氏30度。悶熱。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度77%。,1,偏南風,25,林園區
2,2023-07-26 00:00:00,07,35,29,83,28,陰。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度83%。,3,偏北風,26,林園區
3,2023-07-26 03:00:00,04,33,29,86,27,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏南風 平均風速2-3級(每秒4公尺)。相對濕度86%。,4,偏南風,26,林園區
4,2023-07-26 06:00:00,07,30,28,82,26,陰。降雨機率 60%。溫度攝氏28度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度82%。,3,東北風,24,林園區
5,2023-07-26 09:00:00,08,35,31,71,28,短暫陣雨。降雨機率 60%。溫度攝氏31度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度71%。,3,東北風,25,林園區
6,2023-07-26 12:00:00,08,37,33,68,29,短暫陣雨。降雨機率 70%。溫度攝氏33度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度68%。,4,西南風,26,林園區
7,2023-07-26 15:00:00,08,37,32,76,30,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。偏西風 平均風速2-3級(每秒4公尺)。相對濕度76%。,4,偏西風,28,林園區
8,2023-07-26 18:00:00,08,35,31,82,29,短暫陣雨。降雨機率 90%。溫度攝氏31度。悶熱。偏西風 平均風速2-3級(每秒4公尺)。相對濕度82%。,4,偏西風,27,林園區
9,2023-07-26 21:00:00,08,33,29,83,28,短暫陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東南風 平均風速1-2級(每秒3公尺)。相對濕度83%。,3,東南風,26,林園區
10,2023-07-27 00:00:00,14,33,29,85,28,陣雨。降雨機率 100%。溫度攝氏29度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度85%。,6,偏東風,26,林園區
11,2023-07-27 03:00:00,14,30,28,84,27,陣雨。降雨機率 100%。溫度攝氏28度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度84%。,2,偏北風,25,林園區
12,2023-07-27 06:00:00,14,32,28,84,26,陣雨。降雨機率 90%。溫度攝氏28度。舒適。東北風 平均風速2-3級(每秒5公尺)。相對濕度84%。,5,東北風,25,林園區
13,2023-07-27 09:00:00,14,31,29,83,27,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東北風 平均風速3-4級(每秒6公尺)。相對濕度83%。,6,東北風,26,林園區
14,2023-07-27 12:00:00,14,31,30,72,27,陣雨。降雨機率 100%。溫度攝氏30度。悶熱。偏東風 平均風速>= 6級(每秒12公尺)。相對濕度72%。,>= 11,偏東風,24,林園區
15,2023-07-27 15:00:00,14,28,29,80,28,陣雨。降雨機率 100%。溫度攝氏29度。悶熱。東南風 平均風速>= 6級(每秒16公尺)。相對濕度80%。,>= 11,東南風,26,林園區
16,2023-07-27 18:00:00,14,27,29,81,27,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東南風 平均風速>= 6級(每秒20公尺)。相對濕度81%。,>= 11,東南風,25,林園區
17,2023-07-27 21:00:00,14,26,28,83,26,陣雨。降雨機率 90%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒20公尺)。相對濕度83%。,>= 11,東南風,25,林園區
18,2023-07-28 00:00:00,08,26,28,82,26,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒18公尺)。相對濕度82%。,>= 11,東南風,24,林園區
19,2023-07-28 03:00:00,08,25,27,81,26,短暫陣雨。降雨機率 80%。溫度攝氏27度。舒適。東南風 平均風速>= 6級(每秒15公尺)。相對濕度81%。,>= 11,東南風,24,林園區
20,2023-07-28 06:00:00,08,25,27,83,26,短暫陣雨。降雨機率 70%。溫度攝氏27度。舒適。東南風 平均風速>= 6級(每秒13公尺)。相對濕度83%。,>= 11,東南風,24,林園區
21,2023-07-28 09:00:00,08,29,30,86,28,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏南風 平均風速>= 6級(每秒11公尺)。相對濕度86%。,>= 11,偏南風,27,林園區
22,2023-07-28 12:00:00,08,31,31,82,30,短暫陣雨。降雨機率 60%。溫度攝氏31度。悶熱。東南風 平均風速4-5級(每秒10公尺)。相對濕度82%。,10,東南風,28,林園區
23,2023-07-28 15:00:00,08,31,31,73,29,短暫陣雨。降雨機率 60%。溫度攝氏31度。悶熱。東南風 平均風速4-5級(每秒9公尺)。相對濕度73%。,9,東南風,26,林園區
