,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,07,31,27,89,26,陰。降雨機率 20%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度89%。,2,東北風,25,桃源區
1,2023-07-25 21:00:00,07,28,25,96,24,陰。降雨機率 20%。溫度攝氏25度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度96%。,2,偏東風,24,桃源區
2,2023-07-26 00:00:00,07,27,24,96,24,陰。降雨機率 20%。溫度攝氏24度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度96%。,2,偏東風,23,桃源區
3,2023-07-26 03:00:00,07,26,23,96,23,陰。降雨機率 20%。溫度攝氏23度。舒適。偏東風 平均風速1-2級(每秒3公尺)。相對濕度96%。,3,偏東風,22,桃源區
4,2023-07-26 06:00:00,08,25,23,94,22,短暫陣雨。降雨機率 80%。溫度攝氏23度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度94%。,2,偏東風,22,桃源區
5,2023-07-26 09:00:00,08,32,27,87,26,短暫陣雨。降雨機率 80%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度87%。,2,東北風,25,桃源區
6,2023-07-26 12:00:00,08,33,29,70,27,短暫陣雨。降雨機率 90%。溫度攝氏29度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度70%。,2,偏北風,23,桃源區
7,2023-07-26 15:00:00,08,32,28,74,26,短暫陣雨。降雨機率 90%。溫度攝氏28度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度74%。,2,偏北風,23,桃源區
8,2023-07-26 18:00:00,08,30,26,94,26,短暫陣雨。降雨機率 90%。溫度攝氏26度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度94%。,2,東北風,25,桃源區
9,2023-07-26 21:00:00,08,28,25,96,24,短暫陣雨。降雨機率 90%。溫度攝氏25度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度96%。,3,東北風,24,桃源區
10,2023-07-27 00:00:00,14,27,24,95,24,陣雨。降雨機率 100%。溫度攝氏24度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度95%。,1,東北風,23,桃源區
11,2023-07-27 03:00:00,14,28,24,95,23,陣雨。降雨機率 100%。溫度攝氏24度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度95%。,3,東北風,23,桃源區
12,2023-07-27 06:00:00,14,26,24,91,23,陣雨。降雨機率 100%。溫度攝氏24度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度91%。,1,東北風,22,桃源區
13,2023-07-27 09:00:00,14,29,26,78,24,陣雨。降雨機率 100%。溫度攝氏26度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度78%。,2,偏東風,22,桃源區
14,2023-07-27 12:00:00,14,29,27,70,24,陣雨。降雨機率 100%。溫度攝氏27度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度70%。,1,東北風,21,桃源區
15,2023-07-27 15:00:00,14,30,26,82,25,陣雨。降雨機率 100%。溫度攝氏26度。舒適。西北風 平均風速2-3級(每秒4公尺)。相對濕度82%。,4,西北風,23,桃源區
16,2023-07-27 18:00:00,14,27,24,95,24,陣雨。降雨機率 90%。溫度攝氏24度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度95%。,3,東北風,23,桃源區
17,2023-07-27 21:00:00,14,26,23,96,23,陣雨。降雨機率 90%。溫度攝氏23度。舒適。偏東風 平均風速2-3級(每秒4公尺)。相對濕度96%。,4,偏東風,23,桃源區
18,2023-07-28 00:00:00,08,25,23,96,23,短暫陣雨。降雨機率 80%。溫度攝氏23度。舒適。東南風 平均風速2-3級(每秒4公尺)。相對濕度96%。,4,東南風,22,桃源區
