,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,36,32,78,30,多雲。降雨機率 10%。溫度攝氏32度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度78%。,3,西北風,28,梓官區
1,2023-07-25 21:00:00,07,35,30,80,29,陰。降雨機率 10%。溫度攝氏30度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度80%。,2,偏南風,27,梓官區
2,2023-07-26 00:00:00,04,35,30,85,29,多雲。降雨機率 20%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,偏北風,27,梓官區
3,2023-07-26 03:00:00,04,34,29,84,28,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度84%。,3,偏北風,26,梓官區
4,2023-07-26 06:00:00,04,33,29,84,27,多雲。降雨機率 20%。溫度攝氏29度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度84%。,3,東北風,26,梓官區
5,2023-07-26 09:00:00,07,36,32,74,29,陰。降雨機率 20%。溫度攝氏32度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度74%。,3,偏北風,27,梓官區
6,2023-07-26 12:00:00,07,39,34,68,30,陰。降雨機率 20%。溫度攝氏34度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度68%。,2,西北風,27,梓官區
7,2023-07-26 15:00:00,04,40,34,71,31,多雲。降雨機率 20%。溫度攝氏34度。悶熱。偏西風 平均風速1-2級(每秒3公尺)。相對濕度71%。,3,偏西風,28,梓官區
8,2023-07-26 18:00:00,04,37,32,80,30,多雲。降雨機率 60%。溫度攝氏32度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度80%。,4,西南風,28,梓官區
9,2023-07-26 21:00:00,08,34,30,83,29,短暫陣雨。降雨機率 60%。溫度攝氏30度。悶熱。偏西風 平均風速1-2級(每秒2公尺)。相對濕度83%。,2,偏西風,27,梓官區
10,2023-07-27 00:00:00,14,35,30,85,28,陣雨。降雨機率 80%。溫度攝氏30度。悶熱。偏南風 平均風速1-2級(每秒3公尺)。相對濕度85%。,3,偏南風,27,梓官區
11,2023-07-27 03:00:00,14,33,29,87,28,陣雨。降雨機率 80%。溫度攝氏29度。悶熱。東北風 平均風速2-3級(每秒5公尺)。相對濕度87%。,5,東北風,27,梓官區
12,2023-07-27 06:00:00,14,31,28,87,27,陣雨。降雨機率 90%。溫度攝氏28度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度87%。,4,東北風,26,梓官區
13,2023-07-27 09:00:00,14,34,30,89,29,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東北風 平均風速2-3級(每秒5公尺)。相對濕度89%。,5,東北風,28,梓官區
14,2023-07-27 12:00:00,14,34,31,81,29,陣雨。降雨機率 90%。溫度攝氏31度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度81%。,8,偏東風,27,梓官區
15,2023-07-27 15:00:00,14,31,31,71,28,陣雨。降雨機率 90%。溫度攝氏31度。悶熱。東南風 平均風速>= 6級(每秒13公尺)。相對濕度71%。,>= 11,東南風,25,梓官區
16,2023-07-27 18:00:00,14,29,30,81,28,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東南風 平均風速>= 6級(每秒18公尺)。相對濕度81%。,>= 11,東南風,26,梓官區
17,2023-07-27 21:00:00,14,27,29,83,27,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東南風 平均風速>= 6級(每秒17公尺)。相對濕度83%。,>= 11,東南風,26,梓官區
18,2023-07-28 00:00:00,08,27,29,85,27,短暫陣雨。降雨機率 80%。溫度攝氏29度。悶熱。東南風 平均風速>= 6級(每秒15公尺)。相對濕度85%。,>= 11,東南風,26,梓官區
19,2023-07-28 03:00:00,08,27,28,86,27,短暫陣雨。降雨機率 80%。溫度攝氏28度。悶熱。東南風 平均風速>= 6級(每秒12公尺)。相對濕度86%。,>= 11,東南風,26,梓官區
20,2023-07-28 06:00:00,08,26,28,85,27,短暫陣雨。降雨機率 70%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒13公尺)。相對濕度85%。,>= 11,東南風,25,梓官區
21,2023-07-28 09:00:00,08,30,31,87,29,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。偏南風 平均風速>= 6級(每秒13公尺)。相對濕度87%。,>= 11,偏南風,28,梓官區
22,2023-07-28 12:00:00,08,33,32,82,31,短暫陣雨。降雨機率 80%。溫度攝氏32度。悶熱。偏南風 平均風速>= 6級(每秒12公尺)。相對濕度82%。,>= 11,偏南風,29,梓官區
23,2023-07-28 15:00:00,08,32,32,72,29,短暫陣雨。降雨機率 80%。溫度攝氏32度。悶熱。東南風 平均風速4-5級(每秒10公尺)。相對濕度72%。,10,東南風,27,梓官區
24,2023-07-28 18:00:00,08,31,31,78,29,短暫陣雨。降雨機率 40%。溫度攝氏31度。悶熱。偏南風 平均風速4-5級(每秒9公尺)。相對濕度78%。,9,偏南風,26,梓官區
25,2023-07-28 21:00:00,08,29,30,74,27,短暫陣雨。降雨機率 40%。溫度攝氏30度。悶熱。偏南風 平均風速4-5級(每秒9公尺)。相對濕度74%。,9,偏南風,25,梓官區
26,2023-07-29 00:00:00,08,29,29,76,27,短暫陣雨。降雨機率 40%。溫度攝氏29度。悶熱。偏南風 平均風速4-5級(每秒10公尺)。相對濕度76%。,10,偏南風,25,梓官區
27,2023-07-29 03:00:00,08,28,29,76,27,短暫陣雨。降雨機率 40%。溫度攝氏29度。舒適。偏南風 平均風速4-5級(每秒8公尺)。相對濕度76%。,8,偏南風,24,梓官區
28,2023-07-29 06:00:00,08,28,28,75,26,短暫陣雨。降雨機率 30%。溫度攝氏28度。舒適。偏南風 平均風速2-3級(每秒4公尺)。相對濕度75%。,4,偏南風,23,梓官區
29,2023-07-29 09:00:00,08,35,32,74,29,短暫陣雨。降雨機率 30%。溫度攝氏32度。悶熱。偏南風 平均風速2-3級(每秒5公尺)。相對濕度74%。,5,偏南風,26,梓官區
30,2023-07-29 12:00:00,08,38,34,73,31,短暫陣雨。降雨機率 40%。溫度攝氏34度。悶熱。偏南風 平均風速2-3級(每秒5公尺)。相對濕度73%。,5,偏南風,28,梓官區
31,2023-07-29 15:00:00,08,38,34,76,31,短暫陣雨。降雨機率 40%。溫度攝氏34度。悶熱。偏東風 平均風速1-2級(每秒3公尺)。相對濕度76%。,3,偏東風,29,梓官區
