,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,07,36,31,77,29,陰。降雨機率 10%。溫度攝氏31度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度77%。,2,西北風,27,楠梓區
1,2023-07-25 21:00:00,07,33,29,81,27,陰。降雨機率 10%。溫度攝氏29度。悶熱。西南風 平均風速<= 1級(每秒1公尺)。相對濕度81%。,1,西南風,25,楠梓區
2,2023-07-26 00:00:00,04,34,28,86,27,多雲。降雨機率 20%。溫度攝氏28度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,偏北風,26,楠梓區
3,2023-07-26 03:00:00,04,31,27,85,26,多雲。降雨機率 20%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度85%。,3,東北風,25,楠梓區
4,2023-07-26 06:00:00,04,30,27,84,25,多雲。降雨機率 20%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度84%。,3,東北風,24,楠梓區
5,2023-07-26 09:00:00,07,34,30,72,28,陰。降雨機率 20%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度72%。,3,偏北風,25,楠梓區
6,2023-07-26 12:00:00,08,38,33,66,30,短暫陣雨。降雨機率 60%。溫度攝氏33度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度66%。,3,西北風,26,楠梓區
7,2023-07-26 15:00:00,08,38,33,71,30,短暫陣雨。降雨機率 60%。溫度攝氏33度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度71%。,3,西北風,27,楠梓區
8,2023-07-26 18:00:00,08,35,31,79,29,短暫陣雨。降雨機率 60%。溫度攝氏31度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度79%。,4,西南風,27,楠梓區
9,2023-07-26 21:00:00,08,32,29,83,27,短暫陣雨。降雨機率 60%。溫度攝氏29度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度83%。,2,西北風,26,楠梓區
10,2023-07-27 00:00:00,14,33,28,86,27,陣雨。降雨機率 90%。溫度攝氏28度。舒適。西南風 平均風速1-2級(每秒3公尺)。相對濕度86%。,3,西南風,26,楠梓區
11,2023-07-27 03:00:00,14,31,27,87,26,陣雨。降雨機率 90%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度87%。,3,東北風,25,楠梓區
12,2023-07-27 06:00:00,14,29,26,89,26,陣雨。降雨機率 90%。溫度攝氏26度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度89%。,2,東北風,24,楠梓區
13,2023-07-27 09:00:00,14,34,28,92,28,陣雨。降雨機率 90%。溫度攝氏28度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度92%。,4,東北風,27,楠梓區
14,2023-07-27 12:00:00,14,34,30,82,28,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度82%。,6,偏東風,26,楠梓區
15,2023-07-27 15:00:00,14,31,30,70,27,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東南風 平均風速4-5級(每秒10公尺)。相對濕度70%。,10,東南風,24,楠梓區
16,2023-07-27 18:00:00,14,27,28,80,27,陣雨。降雨機率 80%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒15公尺)。相對濕度80%。,>= 11,東南風,24,楠梓區
17,2023-07-27 21:00:00,14,25,27,80,26,陣雨。降雨機率 80%。溫度攝氏27度。舒適。東南風 平均風速>= 6級(每秒13公尺)。相對濕度80%。,>= 11,東南風,23,楠梓區
18,2023-07-28 00:00:00,08,24,27,82,25,短暫陣雨。降雨機率 80%。溫度攝氏27度。舒適。東南風 平均風速4-5級(每秒10公尺)。相對濕度82%。,10,東南風,23,楠梓區
19,2023-07-28 03:00:00,08,24,26,85,25,短暫陣雨。降雨機率 80%。溫度攝氏26度。舒適。東南風 平均風速4-5級(每秒8公尺)。相對濕度85%。,8,東南風,23,楠梓區
20,2023-07-28 06:00:00,08,25,26,86,25,短暫陣雨。降雨機率 80%。溫度攝氏26度。舒適。東南風 平均風速>= 6級(每秒12公尺)。相對濕度86%。,>= 11,東南風,23,楠梓區
