,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,07,38,33,76,30,陰。降雨機率 10%。溫度攝氏33度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度76%。,2,西北風,28,橋頭區
1,2023-07-25 21:00:00,07,36,31,80,29,陰。降雨機率 10%。溫度攝氏31度。悶熱。西南風 平均風速<= 1級(每秒1公尺)。相對濕度80%。,1,西南風,27,橋頭區
2,2023-07-26 00:00:00,04,36,30,87,29,多雲。降雨機率 20%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度87%。,2,偏北風,28,橋頭區
3,2023-07-26 03:00:00,04,34,29,85,28,多雲。降雨機率 20%。溫度攝氏29度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,東北風,26,橋頭區
4,2023-07-26 06:00:00,04,33,28,84,27,多雲。降雨機率 20%。溫度攝氏28度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度84%。,3,東北風,25,橋頭區
5,2023-07-26 09:00:00,04,37,32,73,29,多雲。降雨機率 20%。溫度攝氏32度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度73%。,3,偏北風,27,橋頭區
6,2023-07-26 12:00:00,08,40,35,64,31,短暫陣雨。降雨機率 50%。溫度攝氏35度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度64%。,2,西北風,27,橋頭區
7,2023-07-26 15:00:00,08,41,35,69,31,短暫陣雨。降雨機率 50%。溫度攝氏35度。易中暑。偏西風 平均風速1-2級(每秒3公尺)。相對濕度69%。,3,偏西風,28,橋頭區
8,2023-07-26 18:00:00,04,38,32,79,30,多雲。降雨機率 60%。溫度攝氏32度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度79%。,3,西南風,28,橋頭區
9,2023-07-26 21:00:00,08,35,30,82,29,短暫陣雨。降雨機率 60%。溫度攝氏30度。悶熱。偏西風 平均風速1-2級(每秒2公尺)。相對濕度82%。,2,偏西風,27,橋頭區
10,2023-07-27 00:00:00,14,35,30,86,28,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,偏南風,27,橋頭區
11,2023-07-27 03:00:00,14,34,29,88,28,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度88%。,4,東北風,27,橋頭區
12,2023-07-27 06:00:00,14,32,28,89,27,陣雨。降雨機率 90%。溫度攝氏28度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度89%。,2,東北風,26,橋頭區
13,2023-07-27 09:00:00,14,36,30,91,29,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度91%。,4,東北風,28,橋頭區
14,2023-07-27 12:00:00,14,36,31,84,29,陣雨。降雨機率 90%。溫度攝氏31度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度84%。,6,偏東風,28,橋頭區
15,2023-07-27 15:00:00,14,33,31,74,28,陣雨。降雨機率 90%。溫度攝氏31度。悶熱。東南風 平均風速4-5級(每秒9公尺)。相對濕度74%。,9,東南風,26,橋頭區
16,2023-07-27 18:00:00,14,30,30,80,28,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東南風 平均風速>= 6級(每秒14公尺)。相對濕度80%。,>= 11,東南風,26,橋頭區
17,2023-07-27 21:00:00,14,27,29,79,27,陣雨。降雨機率 90%。溫度攝氏29度。舒適。東南風 平均風速>= 6級(每秒12公尺)。相對濕度79%。,>= 11,東南風,25,橋頭區
18,2023-07-28 00:00:00,08,27,28,83,27,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。東南風 平均風速4-5級(每秒10公尺)。相對濕度83%。,10,東南風,25,橋頭區
19,2023-07-28 03:00:00,08,27,28,86,27,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。東南風 平均風速3-4級(每秒7公尺)。相對濕度86%。,7,東南風,25,橋頭區
20,2023-07-28 06:00:00,08,28,27,86,26,短暫陣雨。降雨機率 80%。溫度攝氏27度。舒適。東南風 平均風速>= 6級(每秒11公尺)。相對濕度86%。,>= 11,東南風,25,橋頭區
21,2023-07-28 09:00:00,08,30,30,88,29,短暫陣雨。降雨機率 80%。溫度攝氏30度。悶熱。偏南風 平均風速>= 6級(每秒11公尺)。相對濕度88%。,>= 11,偏南風,28,橋頭區
22,2023-07-28 12:00:00,08,33,33,81,31,短暫陣雨。降雨機率 80%。溫度攝氏33度。悶熱。偏南風 平均風速4-5級(每秒10公尺)。相對濕度81%。,10,偏南風,29,橋頭區
23,2023-07-28 15:00:00,08,32,32,70,29,短暫陣雨。降雨機率 80%。溫度攝氏32度。悶熱。偏南風 平均風速4-5級(每秒9公尺)。相對濕度70%。,9,偏南風,26,橋頭區
24,2023-07-28 18:00:00,08,31,31,73,28,短暫陣雨。降雨機率 40%。溫度攝氏31度。悶熱。偏南風 平均風速4-5級(每秒8公尺)。相對濕度73%。,8,偏南風,26,橋頭區
25,2023-07-28 21:00:00,08,29,30,60,26,短暫陣雨。降雨機率 40%。溫度攝氏30度。舒適。偏南風 平均風速4-5級(每秒8公尺)。相對濕度60%。,8,偏南風,21,橋頭區
26,2023-07-29 00:00:00,08,28,29,63,26,短暫陣雨。降雨機率 60%。溫度攝氏29度。舒適。偏南風 平均風速4-5級(每秒8公尺)。相對濕度63%。,8,偏南風,22,橋頭區
27,2023-07-29 03:00:00,08,28,29,69,26,短暫陣雨。降雨機率 60%。溫度攝氏29度。舒適。偏南風 平均風速3-4級(每秒7公尺)。相對濕度69%。,7,偏南風,22,橋頭區
28,2023-07-29 06:00:00,08,28,28,71,26,短暫陣雨。降雨機率 30%。溫度攝氏28度。舒適。偏南風 平均風速2-3級(每秒4公尺)。相對濕度71%。,4,偏南風,22,橋頭區
29,2023-07-29 09:00:00,08,36,32,73,29,短暫陣雨。降雨機率 30%。溫度攝氏32度。悶熱。偏南風 平均風速2-3級(每秒4公尺)。相對濕度73%。,4,偏南風,26,橋頭區
30,2023-07-29 12:00:00,08,39,34,73,31,短暫陣雨。降雨機率 30%。溫度攝氏34度。易中暑。偏南風 平均風速2-3級(每秒4公尺)。相對濕度73%。,4,偏南風,29,橋頭區
31,2023-07-29 15:00:00,08,40,34,75,31,短暫陣雨。降雨機率 30%。溫度攝氏34度。易中暑。偏東風 平均風速1-2級(每秒3公尺)。相對濕度75%。,3,偏東風,29,橋頭區
