,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,34,31,78,29,多雲。降雨機率 10%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度78%。,3,偏北風,26,永安區
1,2023-07-25 21:00:00,07,33,29,80,28,陰。降雨機率 10%。溫度攝氏29度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度80%。,3,西南風,26,永安區
2,2023-07-26 00:00:00,04,34,29,85,28,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度85%。,1,偏北風,26,永安區
3,2023-07-26 03:00:00,04,34,29,86,27,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,偏北風,26,永安區
4,2023-07-26 06:00:00,04,33,28,85,27,多雲。降雨機率 20%。溫度攝氏28度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度85%。,3,東北風,25,永安區
5,2023-07-26 09:00:00,07,35,31,74,28,陰。降雨機率 20%。溫度攝氏31度。悶熱。偏北風 平均風速2-3級(每秒4公尺)。相對濕度74%。,4,偏北風,26,永安區
6,2023-07-26 12:00:00,04,36,32,69,29,多雲。降雨機率 20%。溫度攝氏32度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度69%。,2,西北風,26,永安區
7,2023-07-26 15:00:00,04,37,32,72,29,多雲。降雨機率 20%。溫度攝氏32度。悶熱。偏西風 平均風速1-2級(每秒3公尺)。相對濕度72%。,3,偏西風,27,永安區
8,2023-07-26 18:00:00,04,35,31,80,29,多雲。降雨機率 50%。溫度攝氏31度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度80%。,4,西南風,27,永安區
9,2023-07-26 21:00:00,08,33,29,84,28,短暫陣雨。降雨機率 50%。溫度攝氏29度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度84%。,2,偏南風,26,永安區
10,2023-07-27 00:00:00,14,34,29,86,28,陣雨。降雨機率 70%。溫度攝氏29度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,偏南風,26,永安區
11,2023-07-27 03:00:00,14,33,28,87,27,陣雨。降雨機率 70%。溫度攝氏28度。悶熱。偏東風 平均風速3-4級(每秒6公尺)。相對濕度87%。,6,偏東風,26,永安區
12,2023-07-27 06:00:00,14,30,28,86,27,陣雨。降雨機率 90%。溫度攝氏28度。舒適。東北風 平均風速3-4級(每秒7公尺)。相對濕度86%。,7,東北風,25,永安區
13,2023-07-27 09:00:00,14,31,29,86,28,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東北風 平均風速3-4級(每秒6公尺)。相對濕度86%。,6,東北風,27,永安區
14,2023-07-27 12:00:00,14,32,30,80,28,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒9公尺)。相對濕度80%。,9,偏東風,26,永安區
15,2023-07-27 15:00:00,14,29,30,71,27,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東南風 平均風速>= 6級(每秒16公尺)。相對濕度71%。,>= 11,東南風,24,永安區
16,2023-07-27 18:00:00,14,27,29,82,27,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東南風 平均風速>= 6級(每秒20公尺)。相對濕度82%。,>= 11,東南風,25,永安區
17,2023-07-27 21:00:00,14,27,28,84,27,陣雨。降雨機率 90%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒20公尺)。相對濕度84%。,>= 11,東南風,25,永安區
18,2023-07-28 00:00:00,08,26,28,86,27,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒20公尺)。相對濕度86%。,>= 11,東南風,25,永安區
19,2023-07-28 03:00:00,08,26,28,87,27,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒17公尺)。相對濕度87%。,>= 11,東南風,25,永安區
20,2023-07-28 06:00:00,08,25,27,85,26,短暫陣雨。降雨機率 70%。溫度攝氏27度。舒適。東南風 平均風速>= 6級(每秒14公尺)。相對濕度85%。,>= 11,東南風,25,永安區
21,2023-07-28 09:00:00,08,29,30,84,28,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏南風 平均風速>= 6級(每秒15公尺)。相對濕度84%。,>= 11,偏南風,27,永安區
22,2023-07-28 12:00:00,08,31,31,82,29,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。偏南風 平均風速>= 6級(每秒12公尺)。相對濕度82%。,>= 11,偏南風,28,永安區
23,2023-07-28 15:00:00,08,30,31,72,28,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。東南風 平均風速>= 6級(每秒11公尺)。相對濕度72%。,>= 11,東南風,25,永安區
24,2023-07-28 18:00:00,08,29,30,80,28,短暫陣雨。降雨機率 40%。溫度攝氏30度。悶熱。偏南風 平均風速4-5級(每秒10公尺)。相對濕度80%。,10,偏南風,26,永安區
25,2023-07-28 21:00:00,08,28,29,83,27,短暫陣雨。降雨機率 40%。溫度攝氏29度。悶熱。偏南風 平均風速4-5級(每秒10公尺)。相對濕度83%。,10,偏南風,26,永安區
26,2023-07-29 00:00:00,08,28,28,84,27,短暫陣雨。降雨機率 40%。溫度攝氏28度。悶熱。偏南風 平均風速4-5級(每秒10公尺)。相對濕度84%。,10,偏南風,26,永安區
