,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,34,31,73,28,多雲。降雨機率 10%。溫度攝氏31度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度73%。,3,西北風,26,湖內區
1,2023-07-25 21:00:00,07,33,29,75,27,陰。降雨機率 10%。溫度攝氏29度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度75%。,2,西北風,25,湖內區
2,2023-07-26 00:00:00,04,34,29,84,28,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度84%。,1,偏北風,26,湖內區
3,2023-07-26 03:00:00,04,34,28,89,27,多雲。降雨機率 20%。溫度攝氏28度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度89%。,2,偏北風,26,湖內區
4,2023-07-26 06:00:00,04,32,28,85,27,多雲。降雨機率 20%。溫度攝氏28度。舒適。偏北風 平均風速1-2級(每秒3公尺)。相對濕度85%。,3,偏北風,25,湖內區
5,2023-07-26 09:00:00,04,36,31,74,29,多雲。降雨機率 20%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度74%。,3,偏北風,26,湖內區
6,2023-07-26 12:00:00,04,37,33,66,29,多雲。降雨機率 20%。溫度攝氏33度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度66%。,2,西北風,26,湖內區
7,2023-07-26 15:00:00,04,38,33,68,29,多雲。降雨機率 20%。溫度攝氏33度。悶熱。偏西風 平均風速1-2級(每秒3公尺)。相對濕度68%。,3,偏西風,26,湖內區
8,2023-07-26 18:00:00,04,35,31,76,29,多雲。降雨機率 20%。溫度攝氏31度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度76%。,3,西南風,26,湖內區
9,2023-07-26 21:00:00,04,33,29,84,28,多雲。降雨機率 20%。溫度攝氏29度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度84%。,2,西南風,26,湖內區
10,2023-07-27 00:00:00,14,34,29,86,28,陣雨。降雨機率 70%。溫度攝氏29度。悶熱。東北風 平均風速<= 1級(每秒1公尺)。相對濕度86%。,1,東北風,26,湖內區
11,2023-07-27 03:00:00,14,33,28,87,27,陣雨。降雨機率 70%。溫度攝氏28度。悶熱。偏東風 平均風速2-3級(每秒5公尺)。相對濕度87%。,5,偏東風,26,湖內區
12,2023-07-27 06:00:00,14,30,28,88,27,陣雨。降雨機率 90%。溫度攝氏28度。舒適。東北風 平均風速3-4級(每秒7公尺)。相對濕度88%。,7,東北風,26,湖內區
13,2023-07-27 09:00:00,14,32,30,87,29,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東北風 平均風速2-3級(每秒5公尺)。相對濕度87%。,5,東北風,27,湖內區
14,2023-07-27 12:00:00,14,34,31,79,29,陣雨。降雨機率 90%。溫度攝氏31度。悶熱。東北風 平均風速3-4級(每秒7公尺)。相對濕度79%。,7,東北風,27,湖內區
15,2023-07-27 15:00:00,14,32,31,77,29,陣雨。降雨機率 90%。溫度攝氏31度。悶熱。偏東風 平均風速>= 6級(每秒13公尺)。相對濕度77%。,>= 11,偏東風,26,湖內區
16,2023-07-27 18:00:00,14,29,29,89,28,陣雨。降雨機率 80%。溫度攝氏29度。悶熱。東南風 平均風速>= 6級(每秒18公尺)。相對濕度89%。,>= 11,東南風,27,湖內區
17,2023-07-27 21:00:00,14,26,28,82,27,陣雨。降雨機率 80%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒20公尺)。相對濕度82%。,>= 11,東南風,25,湖內區
18,2023-07-28 00:00:00,08,26,28,84,26,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒19公尺)。相對濕度84%。,>= 11,東南風,25,湖內區
19,2023-07-28 03:00:00,08,25,27,87,26,短暫陣雨。降雨機率 80%。溫度攝氏27度。舒適。東南風 平均風速>= 6級(每秒15公尺)。相對濕度87%。,>= 11,東南風,25,湖內區
20,2023-07-28 06:00:00,08,25,27,88,26,短暫陣雨。降雨機率 70%。溫度攝氏27度。舒適。東南風 平均風速>= 6級(每秒12公尺)。相對濕度88%。,>= 11,東南風,25,湖內區
21,2023-07-28 09:00:00,08,29,30,89,29,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏南風 平均風速>= 6級(每秒14公尺)。相對濕度89%。,>= 11,偏南風,28,湖內區
22,2023-07-28 12:00:00,08,30,31,79,29,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。偏南風 平均風速>= 6級(每秒11公尺)。相對濕度79%。,>= 11,偏南風,27,湖內區
23,2023-07-28 15:00:00,08,29,31,69,28,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。偏南風 平均風速4-5級(每秒10公尺)。相對濕度69%。,10,偏南風,25,湖內區
24,2023-07-28 18:00:00,08,28,29,79,28,短暫陣雨。降雨機率 40%。溫度攝氏29度。悶熱。偏南風 平均風速4-5級(每秒9公尺)。相對濕度79%。,9,偏南風,25,湖內區
25,2023-07-28 21:00:00,08,28,28,78,27,短暫陣雨。降雨機率 40%。溫度攝氏28度。舒適。偏南風 平均風速4-5級(每秒9公尺)。相對濕度78%。,9,偏南風,24,湖內區
26,2023-07-29 00:00:00,08,27,28,77,26,短暫陣雨。降雨機率 60%。溫度攝氏28度。舒適。偏南風 平均風速4-5級(每秒9公尺)。相對濕度77%。,9,偏南風,23,湖內區
27,2023-07-29 03:00:00,08,26,27,75,26,短暫陣雨。降雨機率 60%。溫度攝氏27度。舒適。偏南風 平均風速4-5級(每秒8公尺)。相對濕度75%。,8,偏南風,23,湖內區
28,2023-07-29 06:00:00,08,26,27,74,25,短暫陣雨。降雨機率 30%。溫度攝氏27度。舒適。偏南風 平均風速2-3級(每秒5公尺)。相對濕度74%。,5,偏南風,22,湖內區
29,2023-07-29 09:00:00,08,33,30,74,28,短暫陣雨。降雨機率 30%。溫度攝氏30度。悶熱。偏南風 平均風速2-3級(每秒4公尺)。相對濕度74%。,4,偏南風,25,湖內區
30,2023-07-29 12:00:00,08,36,32,73,29,短暫陣雨。降雨機率 30%。溫度攝氏32度。悶熱。偏南風 平均風速2-3級(每秒4公尺)。相對濕度73%。,4,偏南風,27,湖內區
31,2023-07-29 15:00:00,08,36,32,76,30,短暫陣雨。降雨機率 30%。溫度攝氏32度。悶熱。東南風 平均風速1-2級(每秒3公尺)。相對濕度76%。,3,東南風,27,湖內區
