,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,07,36,31,78,29,陰。降雨機率 10%。溫度攝氏31度。悶熱。偏西風 平均風速1-2級(每秒2公尺)。相對濕度78%。,2,偏西風,27,燕巢區
1,2023-07-25 21:00:00,07,34,29,83,28,陰。降雨機率 10%。溫度攝氏29度。悶熱。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度83%。,1,偏南風,26,燕巢區
2,2023-07-26 00:00:00,04,34,29,88,28,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度88%。,2,偏北風,27,燕巢區
3,2023-07-26 03:00:00,04,33,28,87,27,多雲。降雨機率 20%。溫度攝氏28度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度87%。,2,偏北風,26,燕巢區
4,2023-07-26 06:00:00,04,31,27,85,26,多雲。降雨機率 20%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,東北風,25,燕巢區
5,2023-07-26 09:00:00,04,36,31,74,29,多雲。降雨機率 20%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度74%。,2,偏北風,26,燕巢區
6,2023-07-26 12:00:00,08,38,33,65,30,短暫陣雨。降雨機率 50%。溫度攝氏33度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度65%。,2,西北風,26,燕巢區
7,2023-07-26 15:00:00,08,38,33,72,30,短暫陣雨。降雨機率 50%。溫度攝氏33度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度72%。,3,西北風,27,燕巢區
8,2023-07-26 18:00:00,07,36,31,81,29,陰。降雨機率 70%。溫度攝氏31度。悶熱。偏西風 平均風速1-2級(每秒3公尺)。相對濕度81%。,3,偏西風,27,燕巢區
9,2023-07-26 21:00:00,08,33,29,84,28,短暫陣雨。降雨機率 70%。溫度攝氏29度。悶熱。偏西風 平均風速1-2級(每秒2公尺)。相對濕度84%。,2,偏西風,26,燕巢區
