,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,07,36,31,80,29,陰。降雨機率 10%。溫度攝氏31度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度80%。,2,西南風,27,田寮區
1,2023-07-25 21:00:00,04,34,29,86,28,多雲。降雨機率 10%。溫度攝氏29度。悶熱。東北風 平均風速<= 1級(每秒1公尺)。相對濕度86%。,1,東北風,26,田寮區
2,2023-07-26 00:00:00,04,34,28,90,27,多雲。降雨機率 20%。溫度攝氏28度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度90%。,2,偏北風,26,田寮區
3,2023-07-26 03:00:00,04,32,28,90,27,多雲。降雨機率 20%。溫度攝氏28度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度90%。,2,偏北風,26,田寮區
4,2023-07-26 06:00:00,04,31,27,88,26,多雲。降雨機率 20%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度88%。,2,東北風,25,田寮區
5,2023-07-26 09:00:00,04,38,32,77,30,多雲。降雨機率 20%。溫度攝氏32度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度77%。,2,偏北風,28,田寮區
6,2023-07-26 12:00:00,04,39,34,64,30,多雲。降雨機率 50%。溫度攝氏34度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度64%。,2,西北風,27,田寮區
7,2023-07-26 15:00:00,08,40,34,71,31,短暫陣雨。降雨機率 50%。溫度攝氏34度。悶熱。偏西風 平均風速1-2級(每秒2公尺)。相對濕度71%。,2,偏西風,28,田寮區
8,2023-07-26 18:00:00,07,36,31,83,29,陰。降雨機率 20%。溫度攝氏31度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度83%。,3,西南風,28,田寮區
9,2023-07-26 21:00:00,07,33,29,85,27,陰。降雨機率 20%。溫度攝氏29度。悶熱。西南風 平均風速<= 1級(每秒1公尺)。相對濕度85%。,1,西南風,26,田寮區
10,2023-07-27 00:00:00,14,33,28,89,27,陣雨。降雨機率 80%。溫度攝氏28度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度89%。,2,偏北風,26,田寮區
11,2023-07-27 03:00:00,14,32,27,91,27,陣雨。降雨機率 80%。溫度攝氏27度。舒適。東北風 平均風速2-3級(每秒4公尺)。相對濕度91%。,4,東北風,26,田寮區
12,2023-07-27 06:00:00,14,30,27,93,26,陣雨。降雨機率 100%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度93%。,3,東北風,26,田寮區
13,2023-07-27 09:00:00,14,34,29,90,28,陣雨。降雨機率 100%。溫度攝氏29度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度90%。,3,東北風,27,田寮區
14,2023-07-27 12:00:00,14,34,30,82,28,陣雨。降雨機率 100%。溫度攝氏30度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度82%。,4,東北風,27,田寮區
15,2023-07-27 15:00:00,14,34,30,87,29,陣雨。降雨機率 100%。溫度攝氏30度。悶熱。偏東風 平均風速3-4級(每秒7公尺)。相對濕度87%。,7,偏東風,27,田寮區
16,2023-07-27 18:00:00,14,30,28,91,28,陣雨。降雨機率 90%。溫度攝氏28度。悶熱。東南風 平均風速>= 6級(每秒11公尺)。相對濕度91%。,>= 11,東南風,27,田寮區
17,2023-07-27 21:00:00,14,25,27,76,26,陣雨。降雨機率 90%。溫度攝氏27度。舒適。東南風 平均風速>= 6級(每秒11公尺)。相對濕度76%。,>= 11,東南風,23,田寮區
18,2023-07-28 00:00:00,08,24,27,70,25,短暫陣雨。降雨機率 80%。溫度攝氏27度。舒適。偏南風 平均風速4-5級(每秒10公尺)。相對濕度70%。,10,偏南風,21,田寮區
19,2023-07-28 03:00:00,08,25,27,85,26,短暫陣雨。降雨機率 80%。溫度攝氏27度。舒適。偏南風 平均風速3-4級(每秒6公尺)。相對濕度85%。,6,偏南風,24,田寮區
20,2023-07-28 06:00:00,08,28,27,87,26,短暫陣雨。降雨機率 80%。溫度攝氏27度。舒適。東南風 平均風速4-5級(每秒10公尺)。相對濕度87%。,10,東南風,24,田寮區
21,2023-07-28 09:00:00,08,31,30,87,29,短暫陣雨。降雨機率 80%。溫度攝氏30度。悶熱。偏南風 平均風速4-5級(每秒9公尺)。相對濕度87%。,9,偏南風,28,田寮區
22,2023-07-28 12:00:00,08,32,32,77,29,短暫陣雨。降雨機率 80%。溫度攝氏32度。悶熱。偏南風 平均風速4-5級(每秒8公尺)。相對濕度77%。,8,偏南風,27,田寮區
23,2023-07-28 15:00:00,08,32,31,71,28,短暫陣雨。降雨機率 80%。溫度攝氏31度。悶熱。偏南風 平均風速3-4級(每秒7公尺)。相對濕度71%。,7,偏南風,25,田寮區
24,2023-07-28 18:00:00,08,31,29,75,27,短暫陣雨。降雨機率 40%。溫度攝氏29度。悶熱。偏南風 平均風速3-4級(每秒7公尺)。相對濕度75%。,7,偏南風,25,田寮區
25,2023-07-28 21:00:00,08,27,28,55,25,短暫陣雨。降雨機率 40%。溫度攝氏28度。舒適。偏南風 平均風速3-4級(每秒7公尺)。相對濕度55%。,7,偏南風,18,田寮區
26,2023-07-29 00:00:00,08,27,28,56,24,短暫陣雨。降雨機率 40%。溫度攝氏28度。舒適。偏南風 平均風速3-4級(每秒6公尺)。相對濕度56%。,6,偏南風,18,田寮區
27,2023-07-29 03:00:00,08,27,27,63,25,短暫陣雨。降雨機率 40%。溫度攝氏27度。舒適。偏南風 平均風速2-3級(每秒5公尺)。相對濕度63%。,5,偏南風,20,田寮區
28,2023-07-29 06:00:00,08,28,27,71,25,短暫陣雨。降雨機率 40%。溫度攝氏27度。舒適。偏南風 平均風速1-2級(每秒2公尺)。相對濕度71%。,2,偏南風,21,田寮區
