,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,34,29,86,28,多雲。降雨機率 10%。溫度攝氏29度。悶熱。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度86%。,1,偏東風,26,甲仙區
1,2023-07-25 21:00:00,07,31,26,93,26,陰。降雨機率 10%。溫度攝氏26度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度93%。,2,偏東風,25,甲仙區
2,2023-07-26 00:00:00,07,30,25,96,25,陰。降雨機率 20%。溫度攝氏25度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度96%。,2,東北風,25,甲仙區
3,2023-07-26 03:00:00,04,28,25,96,24,多雲。降雨機率 20%。溫度攝氏25度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度96%。,2,偏東風,24,甲仙區
4,2023-07-26 06:00:00,07,27,24,90,24,陰。降雨機率 20%。溫度攝氏24度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度90%。,1,偏東風,23,甲仙區
5,2023-07-26 09:00:00,04,36,31,75,28,多雲。降雨機率 20%。溫度攝氏31度。悶熱。東北風 平均風速<= 1級(每秒1公尺)。相對濕度75%。,1,東北風,26,甲仙區
6,2023-07-26 12:00:00,08,37,32,65,29,短暫陣雨。降雨機率 80%。溫度攝氏32度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度65%。,2,東北風,25,甲仙區
7,2023-07-26 15:00:00,08,37,31,75,29,短暫陣雨。降雨機率 80%。溫度攝氏31度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度75%。,2,東北風,27,甲仙區
8,2023-07-26 18:00:00,08,33,28,95,28,短暫陣雨。降雨機率 80%。溫度攝氏28度。悶熱。偏西風 平均風速1-2級(每秒2公尺)。相對濕度95%。,2,偏西風,27,甲仙區
9,2023-07-26 21:00:00,08,30,26,94,26,短暫陣雨。降雨機率 80%。溫度攝氏26度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度94%。,1,東北風,25,甲仙區
10,2023-07-27 00:00:00,14,30,26,94,25,陣雨。降雨機率 90%。溫度攝氏26度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度94%。,1,東北風,25,甲仙區
