,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,38,32,81,30,多雲。降雨機率 20%。溫度攝氏32度。悶熱。偏東風 平均風速1-2級(每秒2公尺)。相對濕度81%。,2,偏東風,28,美濃區
1,2023-07-25 21:00:00,07,35,29,89,28,陰。降雨機率 20%。溫度攝氏29度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度89%。,2,東北風,27,美濃區
2,2023-07-26 00:00:00,07,33,28,92,27,陰。降雨機率 20%。溫度攝氏28度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度92%。,2,東北風,27,美濃區
3,2023-07-26 03:00:00,04,32,27,91,26,多雲。降雨機率 20%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度91%。,2,東北風,25,美濃區
4,2023-07-26 06:00:00,07,30,27,87,26,陰。降雨機率 20%。溫度攝氏27度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度87%。,2,偏北風,24,美濃區
5,2023-07-26 09:00:00,07,36,31,71,28,陰。降雨機率 20%。溫度攝氏31度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度71%。,2,東北風,25,美濃區
6,2023-07-26 12:00:00,08,38,33,58,29,短暫陣雨。降雨機率 70%。溫度攝氏33度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度58%。,2,東北風,24,美濃區
7,2023-07-26 15:00:00,08,38,33,68,30,短暫陣雨。降雨機率 70%。溫度攝氏33度。悶熱。偏東風 平均風速1-2級(每秒2公尺)。相對濕度68%。,2,偏東風,26,美濃區
8,2023-07-26 18:00:00,08,36,30,90,29,短暫陣雨。降雨機率 80%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度90%。,3,偏北風,29,美濃區
9,2023-07-26 21:00:00,08,33,29,92,28,短暫陣雨。降雨機率 80%。溫度攝氏29度。悶熱。偏西風 平均風速<= 1級(每秒1公尺)。相對濕度92%。,1,偏西風,27,美濃區
10,2023-07-27 00:00:00,14,33,28,93,27,陣雨。降雨機率 90%。溫度攝氏28度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度93%。,2,偏北風,26,美濃區
11,2023-07-27 03:00:00,14,32,27,95,27,陣雨。降雨機率 90%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度95%。,3,東北風,26,美濃區
12,2023-07-27 06:00:00,14,31,27,95,26,陣雨。降雨機率 100%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度95%。,2,東北風,26,美濃區
13,2023-07-27 09:00:00,14,34,29,84,28,陣雨。降雨機率 100%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度84%。,3,偏北風,26,美濃區
14,2023-07-27 12:00:00,14,35,31,78,29,陣雨。降雨機率 90%。溫度攝氏31度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度78%。,3,東北風,27,美濃區
15,2023-07-27 15:00:00,14,36,30,88,29,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏北風 平均風速2-3級(每秒4公尺)。相對濕度88%。,4,偏北風,28,美濃區
16,2023-07-27 18:00:00,14,33,29,93,28,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東南風 平均風速2-3級(每秒5公尺)。相對濕度93%。,5,東南風,28,美濃區
17,2023-07-27 21:00:00,14,30,27,91,27,陣雨。降雨機率 90%。溫度攝氏27度。舒適。偏南風 平均風速3-4級(每秒7公尺)。相對濕度91%。,7,偏南風,26,美濃區
18,2023-07-28 00:00:00,08,28,27,89,26,短暫陣雨。降雨機率 80%。溫度攝氏27度。舒適。偏南風 平均風速3-4級(每秒6公尺)。相對濕度89%。,6,偏南風,25,美濃區
19,2023-07-28 03:00:00,08,28,27,91,26,短暫陣雨。降雨機率 80%。溫度攝氏27度。舒適。偏南風 平均風速2-3級(每秒5公尺)。相對濕度91%。,5,偏南風,25,美濃區
20,2023-07-28 06:00:00,08,28,26,91,26,短暫陣雨。降雨機率 70%。溫度攝氏26度。舒適。偏南風 平均風速3-4級(每秒7公尺)。相對濕度91%。,7,偏南風,25,美濃區
21,2023-07-28 09:00:00,08,32,30,78,28,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏南風 平均風速3-4級(每秒7公尺)。相對濕度78%。,7,偏南風,26,美濃區
22,2023-07-28 12:00:00,08,33,32,61,28,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。偏南風 平均風速3-4級(每秒6公尺)。相對濕度61%。,6,偏南風,24,美濃區
23,2023-07-28 15:00:00,08,34,32,67,28,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。偏南風 平均風速2-3級(每秒5公尺)。相對濕度67%。,5,偏南風,25,美濃區
24,2023-07-28 18:00:00,08,32,29,77,27,短暫陣雨。降雨機率 30%。溫度攝氏29度。悶熱。偏南風 平均風速2-3級(每秒4公尺)。相對濕度77%。,4,偏南風,25,美濃區
25,2023-07-28 21:00:00,08,30,28,74,26,短暫陣雨。降雨機率 30%。溫度攝氏28度。舒適。偏南風 平均風速1-2級(每秒2公尺)。相對濕度74%。,2,偏南風,23,美濃區
26,2023-07-29 00:00:00,08,31,27,85,26,短暫陣雨。降雨機率 30%。溫度攝氏27度。舒適。東南風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,東南風,24,美濃區
27,2023-07-29 03:00:00,08,30,26,90,26,短暫陣雨。降雨機率 30%。溫度攝氏26度。舒適。東南風 平均風速1-2級(每秒2公尺)。相對濕度90%。,2,東南風,24,美濃區
28,2023-07-29 06:00:00,08,29,26,82,25,短暫陣雨。降雨機率 30%。溫度攝氏26度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度82%。,1,東南風,23,美濃區
29,2023-07-29 09:00:00,08,38,32,73,29,短暫陣雨。降雨機率 30%。溫度攝氏32度。悶熱。偏東風 平均風速1-2級(每秒2公尺)。相對濕度73%。,2,偏東風,26,美濃區
30,2023-07-29 12:00:00,08,41,35,67,31,短暫陣雨。降雨機率 30%。溫度攝氏35度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度67%。,2,偏北風,28,美濃區
31,2023-07-29 15:00:00,08,40,34,69,31,短暫陣雨。降雨機率 30%。溫度攝氏34度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度69%。,2,偏北風,28,美濃區
