,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,36,32,76,29,多雲。降雨機率 20%。溫度攝氏32度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度76%。,2,西北風,27,苓雅區
1,2023-07-25 21:00:00,07,35,31,77,28,陰。降雨機率 20%。溫度攝氏31度。悶熱。西南風 平均風速<= 1級(每秒1公尺)。相對濕度77%。,1,西南風,26,苓雅區
2,2023-07-26 00:00:00,07,36,30,80,28,陰。降雨機率 20%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度80%。,2,偏北風,26,苓雅區
3,2023-07-26 03:00:00,04,34,30,82,28,多雲。降雨機率 20%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度82%。,3,偏北風,26,苓雅區
4,2023-07-26 06:00:00,04,33,29,80,27,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度80%。,3,偏北風,25,苓雅區
5,2023-07-26 09:00:00,04,35,31,70,28,多雲。降雨機率 20%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度70%。,3,偏北風,25,苓雅區
6,2023-07-26 12:00:00,08,37,33,65,29,短暫陣雨。降雨機率 60%。溫度攝氏33度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度65%。,3,西北風,26,苓雅區
7,2023-07-26 15:00:00,08,38,33,70,30,短暫陣雨。降雨機率 60%。溫度攝氏33度。悶熱。偏北風 平均風速2-3級(每秒4公尺)。相對濕度70%。,4,偏北風,27,苓雅區
8,2023-07-26 18:00:00,08,36,31,78,29,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。偏西風 平均風速2-3級(每秒4公尺)。相對濕度78%。,4,偏西風,27,苓雅區
9,2023-07-26 21:00:00,08,34,30,78,28,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度78%。,2,西北風,26,苓雅區
10,2023-07-27 00:00:00,14,34,30,80,28,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏東風 平均風速1-2級(每秒3公尺)。相對濕度80%。,3,偏東風,26,苓雅區
11,2023-07-27 03:00:00,14,33,29,82,28,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度82%。,3,偏北風,26,苓雅區
12,2023-07-27 06:00:00,14,33,29,84,27,陣雨。降雨機率 100%。溫度攝氏29度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度84%。,2,東北風,26,苓雅區
13,2023-07-27 09:00:00,14,34,29,87,28,陣雨。降雨機率 100%。溫度攝氏29度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度87%。,4,東北風,27,苓雅區
14,2023-07-27 12:00:00,14,33,30,76,28,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度76%。,8,偏東風,25,苓雅區
15,2023-07-27 15:00:00,14,30,30,72,27,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東南風 平均風速>= 6級(每秒11公尺)。相對濕度72%。,>= 11,東南風,24,苓雅區
16,2023-07-27 18:00:00,14,28,29,81,27,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東南風 平均風速>= 6級(每秒18公尺)。相對濕度81%。,>= 11,東南風,25,苓雅區
17,2023-07-27 21:00:00,14,27,29,78,27,陣雨。降雨機率 90%。溫度攝氏29度。舒適。東南風 平均風速>= 6級(每秒16公尺)。相對濕度78%。,>= 11,東南風,24,苓雅區
