,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,07,35,29,83,28,陰。降雨機率 20%。溫度攝氏29度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度83%。,2,東北風,26,茂林區
1,2023-07-25 21:00:00,07,31,27,90,26,陰。降雨機率 20%。溫度攝氏27度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度90%。,2,偏北風,25,茂林區
2,2023-07-26 00:00:00,07,29,26,91,25,陰。降雨機率 20%。溫度攝氏26度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度91%。,2,東北風,24,茂林區
3,2023-07-26 03:00:00,07,28,25,91,24,陰。降雨機率 20%。溫度攝氏25度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度91%。,2,東北風,23,茂林區
4,2023-07-26 06:00:00,07,27,24,89,24,陰。降雨機率 80%。溫度攝氏24度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度89%。,2,偏北風,22,茂林區
5,2023-07-26 09:00:00,08,35,30,76,28,短暫陣雨。降雨機率 80%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度76%。,2,偏北風,26,茂林區
6,2023-07-26 12:00:00,08,37,32,68,29,短暫陣雨。降雨機率 80%。溫度攝氏32度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度68%。,2,偏北風,25,茂林區
7,2023-07-26 15:00:00,08,37,31,82,29,短暫陣雨。降雨機率 80%。溫度攝氏31度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度82%。,2,東北風,28,茂林區
8,2023-07-26 18:00:00,08,33,28,92,28,短暫陣雨。降雨機率 100%。溫度攝氏28度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度92%。,3,西北風,27,茂林區
9,2023-07-26 21:00:00,08,30,27,94,26,短暫陣雨。降雨機率 100%。溫度攝氏27度。舒適。偏西風 平均風速1-2級(每秒2公尺)。相對濕度94%。,2,偏西風,25,茂林區
10,2023-07-27 00:00:00,14,30,26,95,25,陣雨。降雨機率 100%。溫度攝氏26度。舒適。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度95%。,1,偏北風,25,茂林區
11,2023-07-27 03:00:00,14,29,25,95,25,陣雨。降雨機率 100%。溫度攝氏25度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度95%。,2,東北風,24,茂林區
12,2023-07-27 06:00:00,14,28,25,96,24,陣雨。降雨機率 100%。溫度攝氏25度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度96%。,2,東北風,24,茂林區
13,2023-07-27 09:00:00,14,33,28,89,27,陣雨。降雨機率 100%。溫度攝氏28度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度89%。,2,東北風,26,茂林區
14,2023-07-27 12:00:00,14,34,29,87,28,陣雨。降雨機率 100%。溫度攝氏29度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度87%。,3,東北風,27,茂林區
15,2023-07-27 15:00:00,14,34,29,95,28,陣雨。降雨機率 100%。溫度攝氏29度。悶熱。偏北風 平均風速2-3級(每秒4公尺)。相對濕度95%。,4,偏北風,28,茂林區
16,2023-07-27 18:00:00,14,30,27,96,26,陣雨。降雨機率 90%。溫度攝氏27度。舒適。東南風 平均風速2-3級(每秒5公尺)。相對濕度96%。,5,東南風,26,茂林區
17,2023-07-27 21:00:00,14,27,26,90,25,陣雨。降雨機率 90%。溫度攝氏26度。舒適。偏南風 平均風速2-3級(每秒5公尺)。相對濕度90%。,5,偏南風,24,茂林區
18,2023-07-28 00:00:00,08,27,25,91,24,短暫陣雨。降雨機率 80%。溫度攝氏25度。舒適。偏南風 平均風速2-3級(每秒5公尺)。相對濕度91%。,5,偏南風,23,茂林區
19,2023-07-28 03:00:00,08,26,25,91,24,短暫陣雨。降雨機率 80%。溫度攝氏25度。舒適。偏南風 平均風速2-3級(每秒5公尺)。相對濕度91%。,5,偏南風,23,茂林區
20,2023-07-28 06:00:00,08,25,24,90,24,短暫陣雨。降雨機率 70%。溫度攝氏24度。舒適。東南風 平均風速1-2級(每秒3公尺)。相對濕度90%。,3,東南風,23,茂林區
21,2023-07-28 09:00:00,08,33,30,79,28,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度79%。,4,西南風,26,茂林區
22,2023-07-28 12:00:00,08,33,31,66,28,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度66%。,3,西南風,24,茂林區
23,2023-07-28 15:00:00,08,34,30,71,28,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度71%。,3,西南風,24,茂林區
24,2023-07-28 18:00:00,08,31,27,85,26,短暫陣雨。降雨機率 30%。溫度攝氏27度。舒適。偏南風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,偏南風,25,茂林區
25,2023-07-28 21:00:00,08,29,26,89,25,短暫陣雨。降雨機率 30%。溫度攝氏26度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度89%。,1,偏東風,23,茂林區
26,2023-07-29 00:00:00,04,29,25,90,24,多雲。降雨機率 10%。溫度攝氏25度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度90%。,1,東北風,23,茂林區
27,2023-07-29 03:00:00,04,28,24,88,23,多雲。降雨機率 10%。溫度攝氏24度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度88%。,1,東北風,22,茂林區
28,2023-07-29 06:00:00,08,27,24,81,23,短暫陣雨。降雨機率 40%。溫度攝氏24度。舒適。西北風 平均風速<= 1級(每秒1公尺)。相對濕度81%。,1,西北風,20,茂林區
29,2023-07-29 09:00:00,08,37,31,76,29,短暫陣雨。降雨機率 40%。溫度攝氏31度。悶熱。西北風 平均風速<= 1級(每秒1公尺)。相對濕度76%。,1,西北風,27,茂林區
30,2023-07-29 12:00:00,08,40,33,75,30,短暫陣雨。降雨機率 30%。溫度攝氏33度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度75%。,2,偏北風,28,茂林區
31,2023-07-29 15:00:00,08,38,32,78,30,短暫陣雨。降雨機率 30%。溫度攝氏32度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度78%。,2,西北風,28,茂林區
