,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,35,31,73,29,多雲。降雨機率 10%。溫度攝氏31度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度73%。,3,西北風,26,茄萣區
1,2023-07-25 21:00:00,07,33,30,75,27,陰。降雨機率 10%。溫度攝氏30度。悶熱。偏西風 平均風速1-2級(每秒2公尺)。相對濕度75%。,2,偏西風,25,茄萣區
2,2023-07-26 00:00:00,04,34,29,82,28,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度82%。,1,偏北風,26,茄萣區
3,2023-07-26 03:00:00,07,34,29,87,27,陰。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度87%。,2,偏北風,26,茄萣區
4,2023-07-26 06:00:00,04,32,28,84,27,多雲。降雨機率 20%。溫度攝氏28度。舒適。偏北風 平均風速1-2級(每秒3公尺)。相對濕度84%。,3,偏北風,25,茄萣區
5,2023-07-26 09:00:00,04,36,32,73,29,多雲。降雨機率 20%。溫度攝氏32度。悶熱。偏北風 平均風速2-3級(每秒4公尺)。相對濕度73%。,4,偏北風,26,茄萣區
6,2023-07-26 12:00:00,04,37,33,66,30,多雲。降雨機率 20%。溫度攝氏33度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度66%。,2,西北風,26,茄萣區
7,2023-07-26 15:00:00,04,39,33,68,30,多雲。降雨機率 20%。溫度攝氏33度。悶熱。偏西風 平均風速1-2級(每秒3公尺)。相對濕度68%。,3,偏西風,27,茄萣區
8,2023-07-26 18:00:00,04,36,31,75,29,多雲。降雨機率 20%。溫度攝氏31度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度75%。,3,西南風,26,茄萣區
9,2023-07-26 21:00:00,04,34,30,83,28,多雲。降雨機率 20%。溫度攝氏30度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度83%。,2,西南風,26,茄萣區
10,2023-07-27 00:00:00,14,34,29,85,28,陣雨。降雨機率 70%。溫度攝氏29度。悶熱。東北風 平均風速<= 1級(每秒1公尺)。相對濕度85%。,1,東北風,26,茄萣區
11,2023-07-27 03:00:00,14,34,28,86,27,陣雨。降雨機率 70%。溫度攝氏28度。悶熱。偏東風 平均風速2-3級(每秒5公尺)。相對濕度86%。,5,偏東風,26,茄萣區
12,2023-07-27 06:00:00,14,30,28,87,27,陣雨。降雨機率 90%。溫度攝氏28度。舒適。東北風 平均風速4-5級(每秒8公尺)。相對濕度87%。,8,東北風,26,茄萣區
13,2023-07-27 09:00:00,14,32,30,87,29,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東北風 平均風速3-4級(每秒6公尺)。相對濕度87%。,6,東北風,28,茄萣區
14,2023-07-27 12:00:00,14,35,32,78,30,陣雨。降雨機率 90%。溫度攝氏32度。悶熱。東北風 平均風速4-5級(每秒8公尺)。相對濕度78%。,8,東北風,27,茄萣區
15,2023-07-27 15:00:00,14,33,32,73,29,陣雨。降雨機率 90%。溫度攝氏32度。悶熱。偏東風 平均風速>= 6級(每秒14公尺)。相對濕度73%。,>= 11,偏東風,26,茄萣區
16,2023-07-27 18:00:00,14,29,30,87,29,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東南風 平均風速>= 6級(每秒20公尺)。相對濕度87%。,>= 11,東南風,27,茄萣區
17,2023-07-27 21:00:00,14,27,28,83,27,陣雨。降雨機率 90%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒20公尺)。相對濕度83%。,>= 11,東南風,25,茄萣區
18,2023-07-28 00:00:00,08,26,28,84,27,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒20公尺)。相對濕度84%。,>= 11,東南風,25,茄萣區
19,2023-07-28 03:00:00,08,25,27,85,26,短暫陣雨。降雨機率 80%。溫度攝氏27度。舒適。東南風 平均風速>= 6級(每秒18公尺)。相對濕度85%。,>= 11,東南風,25,茄萣區
20,2023-07-28 06:00:00,08,25,27,87,26,短暫陣雨。降雨機率 70%。溫度攝氏27度。舒適。東南風 平均風速>= 6級(每秒13公尺)。相對濕度87%。,>= 11,東南風,24,茄萣區
21,2023-07-28 09:00:00,08,30,30,88,29,短暫陣雨。降雨機率 70%。溫度攝氏30度。悶熱。偏南風 平均風速>= 6級(每秒14公尺)。相對濕度88%。,>= 11,偏南風,28,茄萣區
22,2023-07-28 12:00:00,08,32,32,79,30,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。偏南風 平均風速>= 6級(每秒12公尺)。相對濕度79%。,>= 11,偏南風,28,茄萣區
23,2023-07-28 15:00:00,08,31,32,69,29,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。偏南風 平均風速>= 6級(每秒11公尺)。相對濕度69%。,>= 11,偏南風,26,茄萣區
24,2023-07-28 18:00:00,08,29,30,79,28,短暫陣雨。降雨機率 60%。溫度攝氏30度。悶熱。偏南風 平均風速4-5級(每秒10公尺)。相對濕度79%。,10,偏南風,26,茄萣區
25,2023-07-28 21:00:00,08,28,29,80,27,短暫陣雨。降雨機率 60%。溫度攝氏29度。悶熱。偏南風 平均風速4-5級(每秒10公尺)。相對濕度80%。,10,偏南風,25,茄萣區
26,2023-07-29 00:00:00,08,27,28,79,27,短暫陣雨。降雨機率 40%。溫度攝氏28度。舒適。偏南風 平均風速4-5級(每秒10公尺)。相對濕度79%。,10,偏南風,24,茄萣區
27,2023-07-29 03:00:00,08,26,28,77,26,短暫陣雨。降雨機率 40%。溫度攝氏28度。舒適。偏南風 平均風速4-5級(每秒9公尺)。相對濕度77%。,9,偏南風,23,茄萣區
28,2023-07-29 06:00:00,08,26,27,75,26,短暫陣雨。降雨機率 30%。溫度攝氏27度。舒適。偏南風 平均風速2-3級(每秒4公尺)。相對濕度75%。,4,偏南風,23,茄萣區
29,2023-07-29 09:00:00,08,34,31,73,29,短暫陣雨。降雨機率 30%。溫度攝氏31度。悶熱。偏南風 平均風速2-3級(每秒4公尺)。相對濕度73%。,4,偏南風,26,茄萣區
30,2023-07-29 12:00:00,08,37,33,72,30,短暫陣雨。降雨機率 30%。溫度攝氏33度。悶熱。偏南風 平均風速2-3級(每秒4公尺)。相對濕度72%。,4,偏南風,27,茄萣區
31,2023-07-29 15:00:00,08,38,33,75,30,短暫陣雨。降雨機率 30%。溫度攝氏33度。悶熱。東南風 平均風速1-2級(每秒3公尺)。相對濕度75%。,3,東南風,28,茄萣區
