,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,07,36,32,76,30,陰。降雨機率 10%。溫度攝氏32度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度76%。,3,西北風,27,路竹區
1,2023-07-25 21:00:00,07,35,30,80,28,陰。降雨機率 10%。溫度攝氏30度。悶熱。偏西風 平均風速1-2級(每秒2公尺)。相對濕度80%。,2,偏西風,26,路竹區
2,2023-07-26 00:00:00,04,35,30,85,28,多雲。降雨機率 20%。溫度攝氏30度。悶熱。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度85%。,1,偏北風,27,路竹區
3,2023-07-26 03:00:00,04,34,29,86,28,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,偏北風,26,路竹區
4,2023-07-26 06:00:00,04,33,28,85,27,多雲。降雨機率 20%。溫度攝氏28度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度85%。,3,東北風,26,路竹區
5,2023-07-26 09:00:00,04,37,32,74,30,多雲。降雨機率 20%。溫度攝氏32度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度74%。,3,偏北風,27,路竹區
6,2023-07-26 12:00:00,04,39,35,65,31,多雲。降雨機率 20%。溫度攝氏35度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度65%。,2,西北風,27,路竹區
7,2023-07-26 15:00:00,04,40,34,68,31,多雲。降雨機率 20%。溫度攝氏34度。悶熱。偏西風 平均風速1-2級(每秒3公尺)。相對濕度68%。,3,偏西風,27,路竹區
8,2023-07-26 18:00:00,04,37,32,78,30,多雲。降雨機率 50%。溫度攝氏32度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度78%。,3,西南風,27,路竹區
9,2023-07-26 21:00:00,08,34,30,82,28,短暫陣雨。降雨機率 50%。溫度攝氏30度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度82%。,2,西南風,26,路竹區
10,2023-07-27 00:00:00,14,35,29,86,28,陣雨。降雨機率 70%。溫度攝氏29度。悶熱。偏東風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,偏東風,27,路竹區
11,2023-07-27 03:00:00,14,34,29,86,28,陣雨。降雨機率 70%。溫度攝氏29度。悶熱。偏東風 平均風速2-3級(每秒5公尺)。相對濕度86%。,5,偏東風,26,路竹區
12,2023-07-27 06:00:00,14,31,28,89,27,陣雨。降雨機率 90%。溫度攝氏28度。悶熱。東北風 平均風速2-3級(每秒5公尺)。相對濕度89%。,5,東北風,26,路竹區
13,2023-07-27 09:00:00,14,33,30,88,29,陣雨。降雨機率 90%。溫度攝氏30度。悶熱。東北風 平均風速2-3級(每秒5公尺)。相對濕度88%。,5,東北風,28,路竹區
14,2023-07-27 12:00:00,14,34,31,80,29,陣雨。降雨機率 90%。溫度攝氏31度。悶熱。東北風 平均風速3-4級(每秒7公尺)。相對濕度80%。,7,東北風,27,路竹區
