,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,29,25,99,25,多雲。降雨機率 20%。溫度攝氏25度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度99%。,2,偏東風,25,那瑪夏區
1,2023-07-25 21:00:00,07,26,23,99,23,陰。降雨機率 20%。溫度攝氏23度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度99%。,2,偏東風,23,那瑪夏區
2,2023-07-26 00:00:00,07,25,22,98,22,陰。降雨機率 20%。溫度攝氏22度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度98%。,2,偏東風,22,那瑪夏區
3,2023-07-26 03:00:00,07,24,21,98,21,陰。降雨機率 20%。溫度攝氏21度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度98%。,2,偏東風,21,那瑪夏區
4,2023-07-26 06:00:00,08,23,21,95,21,短暫陣雨。降雨機率 80%。溫度攝氏21度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度95%。,2,偏東風,20,那瑪夏區
5,2023-07-26 09:00:00,08,30,26,86,25,短暫陣雨。降雨機率 80%。溫度攝氏26度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度86%。,1,偏東風,23,那瑪夏區
6,2023-07-26 12:00:00,08,33,28,68,26,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度68%。,2,東北風,22,那瑪夏區
7,2023-07-26 15:00:00,08,31,27,76,25,短暫陣雨。降雨機率 80%。溫度攝氏27度。舒適。西北風 平均風速1-2級(每秒2公尺)。相對濕度76%。,2,西北風,22,那瑪夏區
8,2023-07-26 18:00:00,08,29,24,100,24,短暫陣雨。降雨機率 90%。溫度攝氏24度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度100%。,2,東北風,24,那瑪夏區
9,2023-07-26 21:00:00,08,26,23,99,23,短暫陣雨。降雨機率 90%。溫度攝氏23度。舒適。偏東風 平均風速1-2級(每秒3公尺)。相對濕度99%。,3,偏東風,23,那瑪夏區
10,2023-07-27 00:00:00,14,25,23,98,23,陣雨。降雨機率 90%。溫度攝氏23度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度98%。,1,偏東風,22,那瑪夏區
11,2023-07-27 03:00:00,14,26,22,98,22,陣雨。降雨機率 90%。溫度攝氏22度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度98%。,3,東北風,22,那瑪夏區
12,2023-07-27 06:00:00,14,24,22,93,22,陣雨。降雨機率 100%。溫度攝氏22度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度93%。,1,東北風,21,那瑪夏區
13,2023-07-27 09:00:00,14,28,25,79,23,陣雨。降雨機率 100%。溫度攝氏25度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度79%。,2,東北風,21,那瑪夏區
14,2023-07-27 12:00:00,14,29,26,74,24,陣雨。降雨機率 100%。溫度攝氏26度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度74%。,1,偏東風,21,那瑪夏區
15,2023-07-27 15:00:00,14,29,25,89,24,陣雨。降雨機率 100%。溫度攝氏25度。舒適。偏西風 平均風速1-2級(每秒3公尺)。相對濕度89%。,3,偏西風,23,那瑪夏區
16,2023-07-27 18:00:00,14,26,23,100,23,陣雨。降雨機率 90%。溫度攝氏23度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度100%。,2,東北風,23,那瑪夏區
17,2023-07-27 21:00:00,14,25,22,99,22,陣雨。降雨機率 90%。溫度攝氏22度。舒適。偏東風 平均風速1-2級(每秒3公尺)。相對濕度99%。,3,偏東風,22,那瑪夏區
18,2023-07-28 00:00:00,08,24,22,99,22,短暫陣雨。降雨機率 80%。溫度攝氏22度。舒適。偏南風 平均風速2-3級(每秒4公尺)。相對濕度99%。,4,偏南風,22,那瑪夏區
19,2023-07-28 03:00:00,08,23,21,98,21,短暫陣雨。降雨機率 80%。溫度攝氏21度。舒適。偏東風 平均風速1-2級(每秒3公尺)。相對濕度98%。,3,偏東風,21,那瑪夏區
20,2023-07-28 06:00:00,08,23,21,95,21,短暫陣雨。降雨機率 70%。溫度攝氏21度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度95%。,1,偏東風,20,那瑪夏區
21,2023-07-28 09:00:00,08,29,25,83,24,短暫陣雨。降雨機率 70%。溫度攝氏25度。舒適。西南風 平均風速1-2級(每秒2公尺)。相對濕度83%。,2,西南風,22,那瑪夏區
22,2023-07-28 12:00:00,08,30,27,72,25,短暫陣雨。降雨機率 60%。溫度攝氏27度。舒適。西南風 平均風速1-2級(每秒2公尺)。相對濕度72%。,2,西南風,22,那瑪夏區
