,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,07,36,32,77,29,陰。降雨機率 10%。溫度攝氏32度。悶熱。偏西風 平均風速1-2級(每秒2公尺)。相對濕度77%。,2,偏西風,27,阿蓮區
1,2023-07-25 21:00:00,04,35,29,83,28,多雲。降雨機率 10%。溫度攝氏29度。悶熱。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度83%。,1,偏北風,26,阿蓮區
2,2023-07-26 00:00:00,04,34,29,87,28,多雲。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度87%。,1,偏北風,26,阿蓮區
3,2023-07-26 03:00:00,04,33,28,88,27,多雲。降雨機率 20%。溫度攝氏28度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度88%。,2,偏北風,26,阿蓮區
4,2023-07-26 06:00:00,04,32,28,87,27,多雲。降雨機率 20%。溫度攝氏28度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度87%。,2,東北風,25,阿蓮區
5,2023-07-26 09:00:00,04,38,33,76,30,多雲。降雨機率 20%。溫度攝氏33度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度76%。,2,偏北風,28,阿蓮區
6,2023-07-26 12:00:00,04,40,35,63,30,多雲。降雨機率 20%。溫度攝氏35度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度63%。,2,西北風,27,阿蓮區
7,2023-07-26 15:00:00,04,40,34,68,31,多雲。降雨機率 20%。溫度攝氏34度。悶熱。偏西風 平均風速1-2級(每秒2公尺)。相對濕度68%。,2,偏西風,27,阿蓮區
8,2023-07-26 18:00:00,04,37,31,80,29,多雲。降雨機率 20%。溫度攝氏31度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度80%。,3,西南風,27,阿蓮區
9,2023-07-26 21:00:00,07,33,29,82,28,陰。降雨機率 20%。溫度攝氏29度。悶熱。西南風 平均風速<= 1級(每秒1公尺)。相對濕度82%。,1,西南風,26,阿蓮區
10,2023-07-27 00:00:00,14,34,29,86,27,陣雨。降雨機率 80%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,偏北風,26,阿蓮區
11,2023-07-27 03:00:00,14,33,28,88,27,陣雨。降雨機率 80%。溫度攝氏28度。舒適。偏東風 平均風速2-3級(每秒4公尺)。相對濕度88%。,4,偏東風,26,阿蓮區
12,2023-07-27 06:00:00,14,31,27,91,27,陣雨。降雨機率 100%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度91%。,3,東北風,26,阿蓮區
13,2023-07-27 09:00:00,14,35,30,89,29,陣雨。降雨機率 100%。溫度攝氏30度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度89%。,4,東北風,28,阿蓮區
14,2023-07-27 12:00:00,14,35,31,81,29,陣雨。降雨機率 100%。溫度攝氏31度。悶熱。東北風 平均風速2-3級(每秒5公尺)。相對濕度81%。,5,東北風,27,阿蓮區
15,2023-07-27 15:00:00,14,34,30,85,29,陣雨。降雨機率 100%。溫度攝氏30度。悶熱。偏東風 平均風速4-5級(每秒8公尺)。相對濕度85%。,8,偏東風,28,阿蓮區
16,2023-07-27 18:00:00,14,30,29,90,28,陣雨。降雨機率 90%。溫度攝氏29度。悶熱。東南風 平均風速>= 6級(每秒12公尺)。相對濕度90%。,>= 11,東南風,27,阿蓮區
17,2023-07-27 21:00:00,14,25,28,74,26,陣雨。降雨機率 90%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒12公尺)。相對濕度74%。,>= 11,東南風,23,阿蓮區
18,2023-07-28 00:00:00,08,25,28,69,25,短暫陣雨。降雨機率 80%。溫度攝氏28度。舒適。東南風 平均風速>= 6級(每秒11公尺)。相對濕度69%。,>= 11,東南風,21,阿蓮區
