,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,36,31,77,29,多雲。降雨機率 20%。溫度攝氏31度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度77%。,2,西北風,27,鳥松區
1,2023-07-25 21:00:00,07,34,29,80,28,陰。降雨機率 20%。溫度攝氏29度。悶熱。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度80%。,1,偏南風,25,鳥松區
2,2023-07-26 00:00:00,07,34,29,87,27,陰。降雨機率 20%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度87%。,2,偏北風,26,鳥松區
3,2023-07-26 03:00:00,04,32,28,88,27,多雲。降雨機率 20%。溫度攝氏28度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度88%。,3,東北風,25,鳥松區
4,2023-07-26 06:00:00,07,30,27,84,26,陰。降雨機率 20%。溫度攝氏27度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度84%。,2,偏北風,24,鳥松區
5,2023-07-26 09:00:00,07,34,30,71,28,陰。降雨機率 20%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度71%。,3,偏北風,24,鳥松區
6,2023-07-26 12:00:00,08,38,33,66,30,短暫陣雨。降雨機率 60%。溫度攝氏33度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度66%。,3,偏北風,26,鳥松區
7,2023-07-26 15:00:00,08,39,33,76,31,短暫陣雨。降雨機率 60%。溫度攝氏33度。悶熱。偏西風 平均風速1-2級(每秒3公尺)。相對濕度76%。,3,偏西風,28,鳥松區
8,2023-07-26 18:00:00,08,35,31,83,29,短暫陣雨。降雨機率 80%。溫度攝氏31度。悶熱。偏西風 平均風速1-2級(每秒3公尺)。相對濕度83%。,3,偏西風,28,鳥松區
9,2023-07-26 21:00:00,08,33,29,84,27,短暫陣雨。降雨機率 80%。溫度攝氏29度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度84%。,2,西北風,26,鳥松區
10,2023-07-27 00:00:00,14,33,28,87,27,陣雨。降雨機率 90%。溫度攝氏28度。悶熱。西南風 平均風速1-2級(每秒3公尺)。相對濕度87%。,3,西南風,26,鳥松區
