,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,27,92,25,2,37,04,29,26,9,多雲。降雨機率 20%。溫度攝氏26至31度。舒適至悶熱。偏北風 風速2級(每秒2公尺)。相對濕度92%。,29,31,偏北風,26,內門區
1,2023-07-26 06:00:00,32,78,25,2,40,08,30,26,0,多雲短暫陣雨。降雨機率 60%。溫度攝氏26至34度。舒適至悶熱。東北風 風速<= 1級(每秒2公尺)。相對濕度78%。,30,34,東北風,27,內門區
2,2023-07-26 18:00:00,27,94,25,4,36,14,29,26,7,陰陣雨。降雨機率 80%。溫度攝氏26至30度。舒適至悶熱。偏南風 風速3級(每秒4公尺)。相對濕度94%。,29,30,偏南風,26,內門區
3,2023-07-27 06:00:00,30,88,25,5,38,14,30,26,0,陰陣雨。降雨機率 100%。溫度攝氏26至32度。舒適至悶熱。東北風 風速3級(每秒5公尺)。相對濕度88%。,29,32,東北風,28,內門區
4,2023-07-27 18:00:00,26,92,25,8,32,14,28,25,7,陰陣雨。降雨機率 90%。溫度攝氏25至29度。舒適至悶熱。偏南風 風速5級(每秒8公尺)。相對濕度92%。,26,29,偏南風,25,內門區
5,2023-07-28 06:00:00,30,79,25,8,33,09,29,25,0,多雲時陰短暫陣雨。降雨機率 70%。溫度攝氏25至32度。舒適至悶熱。偏南風 風速5級(每秒8公尺)。相對濕度79%。,27,32,偏南風,26,內門區
6,2023-07-28 18:00:00,26,83,24,5,31,08,27,25,9,多雲短暫陣雨。降雨機率 30%。溫度攝氏25至29度。舒適至悶熱。偏南風 風速3級(每秒5公尺)。相對濕度83%。,27,29,偏南風,23,內門區
7,2023-07-29 06:00:00,32,76,24,2,41,08,31,25,0,多雲短暫陣雨。溫度攝氏25至35度。舒適至易中暑。西北風 風速<= 1級(每秒2公尺)。相對濕度76%。,29,35,西北風,27,內門區
8,2023-07-29 18:00:00,27,92,24,1,36,08,28,25,8,多雲短暫陣雨。溫度攝氏25至30度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度92%。,29,30,偏北風,25,內門區
9,2023-07-30 06:00:00,32,77,24,1,42,08,31,25,0,多雲短暫陣雨。溫度攝氏25至35度。舒適至易中暑。東南風 風速<= 1級(每秒1公尺)。相對濕度77%。,29,35,東南風,27,內門區
10,2023-07-30 18:00:00,26,94,24,1,36,08,29,25,9,多雲短暫陣雨。溫度攝氏25至30度。舒適至悶熱。偏西風 風速<= 1級(每秒1公尺)。相對濕度94%。,29,30,偏西風,25,內門區
11,2023-07-31 06:00:00,32,75,24,2,41,09,31,25,0,多雲時陰短暫陣雨。溫度攝氏25至35度。舒適至易中暑。偏西風 風速<= 1級(每秒2公尺)。相對濕度75%。,29,35,偏西風,27,內門區
12,2023-07-31 18:00:00,26,94,24,1,36,11,29,25,9,陰短暫陣雨。溫度攝氏25至30度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度94%。,29,30,偏東風,25,內門區
13,2023-08-01 06:00:00,32,74,24,1,42,11,31,25,0,陰短暫陣雨。溫度攝氏25至35度。舒適至易中暑。偏北風 風速<= 1級(每秒1公尺)。相對濕度74%。,29,35,偏北風,26,內門區
14,2023-08-01 18:00:00,27,93,25,1,34,11,28,25,,陰短暫陣雨。溫度攝氏25至29度。舒適至悶熱。偏南風 風速<= 1級(每秒1公尺)。相對濕度93%。,30,29,偏南風,25,內門區
