,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,26,94,24,2,35,06,29,25,9,陰時多雲。降雨機率 20%。溫度攝氏25至29度。舒適至悶熱。偏東風 風速2級(每秒2公尺)。相對濕度94%。,28,29,偏東風,25,六龜區
1,2023-07-26 06:00:00,31,79,24,2,38,11,30,25,0,陰短暫陣雨。降雨機率 90%。溫度攝氏25至33度。舒適至悶熱。東北風 風速<= 1級(每秒2公尺)。相對濕度79%。,28,33,東北風,26,六龜區
2,2023-07-26 18:00:00,26,95,25,3,34,14,28,25,7,陰陣雨。降雨機率 90%。溫度攝氏25至29度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度95%。,29,29,偏北風,25,六龜區
3,2023-07-27 06:00:00,29,89,25,3,36,14,29,25,0,陰陣雨。降雨機率 100%。溫度攝氏25至31度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度89%。,29,31,偏北風,27,六龜區
4,2023-07-27 18:00:00,25,96,24,5,32,14,27,25,8,陰陣雨。降雨機率 90%。溫度攝氏25至27度。舒適至悶熱。偏南風 風速3級(每秒5公尺)。相對濕度96%。,26,27,偏南風,25,六龜區
5,2023-07-28 06:00:00,29,78,24,4,35,08,28,25,0,多雲短暫陣雨。降雨機率 70%。溫度攝氏25至32度。舒適至悶熱。偏南風 風速3級(每秒4公尺)。相對濕度78%。,26,32,偏南風,25,六龜區
6,2023-07-28 18:00:00,25,92,23,2,31,08,27,24,10,多雲短暫陣雨。降雨機率 30%。溫度攝氏24至27度。舒適至悶熱。東北風 風速<= 1級(每秒2公尺)。相對濕度92%。,27,27,東北風,24,六龜區
7,2023-07-29 06:00:00,31,76,23,1,40,08,31,24,0,多雲短暫陣雨。溫度攝氏24至34度。舒適至易中暑。偏北風 風速<= 1級(每秒1公尺)。相對濕度76%。,27,34,偏北風,26,六龜區
8,2023-07-29 18:00:00,26,92,23,1,34,08,27,24,9,多雲短暫陣雨。溫度攝氏24至28度。舒適至悶熱。西北風 風速<= 1級(每秒1公尺)。相對濕度92%。,28,28,西北風,24,六龜區
9,2023-07-30 06:00:00,31,77,23,1,41,10,31,24,0,陰時多雲短暫陣雨。溫度攝氏24至34度。舒適至易中暑。東南風 風速<= 1級(每秒1公尺)。相對濕度77%。,28,34,東南風,27,六龜區
10,2023-07-30 18:00:00,25,92,23,1,34,10,27,24,10,陰時多雲短暫陣雨。溫度攝氏24至28度。舒適至悶熱。東南風 風速<= 1級(每秒1公尺)。相對濕度92%。,27,28,東南風,24,六龜區
11,2023-07-31 06:00:00,31,77,23,1,41,09,31,24,0,多雲時陰短暫陣雨。溫度攝氏24至34度。舒適至易中暑。偏西風 風速<= 1級(每秒1公尺)。相對濕度77%。,27,34,偏西風,26,六龜區
12,2023-07-31 18:00:00,25,95,23,1,34,11,28,24,10,陰短暫陣雨。溫度攝氏24至28度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度95%。,27,28,偏東風,24,六龜區
13,2023-08-01 06:00:00,31,74,23,1,40,10,31,24,0,陰時多雲短暫陣雨。溫度攝氏24至34度。舒適至易中暑。西北風 風速<= 1級(每秒1公尺)。相對濕度74%。,27,34,西北風,26,六龜區
14,2023-08-01 18:00:00,25,94,24,1,33,11,27,24,,陰短暫陣雨。溫度攝氏24至28度。舒適至悶熱。東南風 風速<= 1級(每秒1公尺)。相對濕度94%。,28,28,東南風,24,六龜區
