,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,86,26,3,37,05,29,27,8,多雲時陰。降雨機率 20%。溫度攝氏27至32度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度86%。,31,32,偏北風,26,大樹區
1,2023-07-26 06:00:00,31,78,26,3,40,11,31,27,0,陰短暫陣雨。降雨機率 70%。溫度攝氏27至34度。舒適至易中暑。西北風 風速2級(每秒3公尺)。相對濕度78%。,31,34,西北風,27,大樹區
2,2023-07-26 18:00:00,29,91,27,3,36,14,29,27,6,陰陣雨。降雨機率 90%。溫度攝氏27至31度。悶熱。西南風 風速2級(每秒3公尺)。相對濕度91%。,32,31,西南風,27,大樹區
3,2023-07-27 06:00:00,29,90,27,8,34,14,29,27,0,陰陣雨。降雨機率 90%。溫度攝氏27至30度。悶熱。東北風 風速4級(每秒8公尺)。相對濕度90%。,29,30,東北風,27,大樹區
4,2023-07-27 18:00:00,27,75,25,>= 11,29,14,27,27,7,陰陣雨。降雨機率 90%。溫度攝氏27至29度。舒適至悶熱。東南風 風速>= 6級(每秒11公尺)。相對濕度75%。,25,29,東南風,23,大樹區
5,2023-07-28 06:00:00,30,80,26,9,33,10,30,27,0,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏27至32度。舒適至悶熱。偏南風 風速5級(每秒9公尺)。相對濕度80%。,27,32,偏南風,26,大樹區
6,2023-07-28 18:00:00,28,63,25,7,32,08,27,27,9,多雲短暫陣雨。降雨機率 40%。溫度攝氏27至30度。舒適至悶熱。偏南風 風速4級(每秒7公尺)。相對濕度63%。,26,30,偏南風,20,大樹區
7,2023-07-29 06:00:00,32,76,25,2,41,08,32,27,0,多雲短暫陣雨。溫度攝氏27至34度。舒適至易中暑。偏南風 風速2級(每秒2公尺)。相對濕度76%。,28,34,偏南風,27,大樹區
8,2023-07-29 18:00:00,28,88,25,1,37,08,29,26,8,多雲短暫陣雨。溫度攝氏26至31度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度88%。,31,31,偏北風,26,大樹區
9,2023-07-30 06:00:00,32,83,25,2,42,10,33,26,0,陰時多雲短暫陣雨。溫度攝氏26至35度。舒適至易中暑。偏東風 風速2級(每秒2公尺)。相對濕度83%。,31,35,偏東風,28,大樹區
10,2023-07-30 18:00:00,28,91,25,1,37,08,30,26,9,多雲短暫陣雨。溫度攝氏26至31度。舒適至悶熱。西北風 風速<= 1級(每秒1公尺)。相對濕度91%。,30,31,西北風,26,大樹區
11,2023-07-31 06:00:00,32,72,25,2,40,08,30,26,0,多雲短暫陣雨。溫度攝氏26至35度。舒適至悶熱。西北風 風速2級(每秒2公尺)。相對濕度72%。,30,35,西北風,26,大樹區
12,2023-07-31 18:00:00,28,89,25,1,37,08,29,26,9,多雲短暫陣雨。溫度攝氏26至31度。舒適至悶熱。東南風 風速<= 1級(每秒1公尺)。相對濕度89%。,30,31,東南風,26,大樹區
13,2023-08-01 06:00:00,31,75,25,2,41,08,31,26,0,多雲短暫陣雨。溫度攝氏26至35度。舒適至易中暑。偏北風 風速2級(每秒2公尺)。相對濕度75%。,30,35,偏北風,26,大樹區
14,2023-08-01 18:00:00,28,89,25,1,36,10,29,26,,陰時多雲短暫陣雨。溫度攝氏26至31度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度89%。,31,31,偏北風,26,大樹區
