,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,80,26,4,34,05,28,28,8,多雲時陰。降雨機率 20%。溫度攝氏28至31度。舒適至悶熱。偏北風 風速3級(每秒4公尺)。相對濕度80%。,31,31,偏北風,25,小港區
1,2023-07-26 06:00:00,31,72,26,4,37,10,30,28,0,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏28至33度。舒適至悶熱。偏北風 風速3級(每秒4公尺)。相對濕度72%。,31,33,偏北風,25,小港區
2,2023-07-26 18:00:00,29,81,26,5,34,14,28,28,6,陰陣雨。降雨機率 90%。溫度攝氏28至30度。舒適至悶熱。偏西風 風速3級(每秒5公尺)。相對濕度81%。,30,30,偏西風,25,小港區
3,2023-07-27 06:00:00,29,78,26,>= 11,32,14,27,28,0,陰陣雨。降雨機率 100%。溫度攝氏28至30度。舒適至悶熱。東北風 風速>= 6級(每秒14公尺)。相對濕度78%。,27,30,東北風,25,小港區
4,2023-07-27 18:00:00,27,81,25,>= 11,27,14,27,27,7,陰陣雨。降雨機率 90%。溫度攝氏27至28度。舒適至悶熱。東南風 風速>= 6級(每秒20公尺)。相對濕度81%。,24,28,東南風,24,小港區
5,2023-07-28 06:00:00,30,78,25,>= 11,30,10,29,27,0,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏27至31度。舒適至悶熱。東南風 風速>= 6級(每秒13公尺)。相對濕度78%。,24,31,東南風,26,小港區
6,2023-07-28 18:00:00,28,75,25,>= 11,29,08,27,27,9,多雲短暫陣雨。降雨機率 60%。溫度攝氏27至30度。舒適至悶熱。偏南風 風速>= 6級(每秒11公尺)。相對濕度75%。,25,30,偏南風,24,小港區
7,2023-07-29 06:00:00,31,71,25,4,36,08,29,27,0,多雲短暫陣雨。溫度攝氏27至32度。舒適至悶熱。偏南風 風速3級(每秒4公尺)。相對濕度71%。,26,32,偏南風,25,小港區
8,2023-07-29 18:00:00,28,81,25,2,34,09,28,27,8,多雲時陰短暫陣雨。溫度攝氏27至30度。舒適至悶熱。偏北風 風速2級(每秒2公尺)。相對濕度81%。,31,30,偏北風,25,小港區
9,2023-07-30 06:00:00,31,69,25,2,38,09,29,27,0,多雲時陰短暫陣雨。溫度攝氏27至33度。舒適至悶熱。西北風 風速2級(每秒2公尺)。相對濕度69%。,31,33,西北風,25,小港區
10,2023-07-30 18:00:00,28,80,25,2,35,08,28,27,8,多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度80%。,31,30,偏東風,25,小港區
11,2023-07-31 06:00:00,31,74,25,4,38,08,30,27,0,多雲短暫陣雨。溫度攝氏27至33度。舒適至悶熱。西南風 風速3級(每秒4公尺)。相對濕度74%。,31,33,西南風,26,小港區
12,2023-07-31 18:00:00,28,80,25,2,34,08,28,27,8,多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。偏南風 風速<= 1級(每秒2公尺)。相對濕度80%。,31,30,偏南風,25,小港區
13,2023-08-01 06:00:00,31,71,25,4,37,08,30,27,0,多雲短暫陣雨。溫度攝氏27至33度。舒適至悶熱。西北風 風速3級(每秒4公尺)。相對濕度71%。,31,33,西北風,25,小港區
14,2023-08-01 18:00:00,29,82,26,2,35,10,28,27,,陰時多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。西北風 風速<= 1級(每秒2公尺)。相對濕度82%。,32,30,西北風,25,小港區
