,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,30,82,27,2,37,05,30,28,9,多雲時陰。降雨機率 20%。溫度攝氏28至32度。悶熱。偏北風 風速2級(每秒2公尺)。相對濕度82%。,33,32,偏北風,27,岡山區
1,2023-07-26 06:00:00,32,72,27,3,39,04,30,28,0,多雲。降雨機率 20%。溫度攝氏28至34度。悶熱。東北風 風速2級(每秒3公尺)。相對濕度72%。,33,34,東北風,27,岡山區
2,2023-07-26 18:00:00,30,84,27,4,37,13,30,28,6,陰時多雲陣雨。降雨機率 80%。溫度攝氏28至32度。悶熱。西南風 風速3級(每秒4公尺)。相對濕度84%。,31,32,西南風,27,岡山區
3,2023-07-27 06:00:00,30,82,27,>= 11,35,14,29,28,0,陰陣雨。降雨機率 90%。溫度攝氏28至31度。悶熱。東北風 風速>= 6級(每秒11公尺)。相對濕度82%。,28,31,東北風,26,岡山區
4,2023-07-27 18:00:00,28,84,26,>= 11,28,14,28,28,7,陰陣雨。降雨機率 80%。溫度攝氏28至29度。舒適至悶熱。東南風 風速>= 6級(每秒16公尺)。相對濕度84%。,26,29,東南風,25,岡山區
5,2023-07-28 06:00:00,31,79,26,>= 11,32,10,30,28,0,陰時多雲短暫陣雨。降雨機率 80%。溫度攝氏28至32度。舒適至悶熱。偏南風 風速>= 6級(每秒12公尺)。相對濕度79%。,27,32,偏南風,27,岡山區
6,2023-07-28 18:00:00,29,70,26,9,30,08,28,28,9,多雲短暫陣雨。降雨機率 70%。溫度攝氏28至30度。舒適至悶熱。偏南風 風速5級(每秒9公尺)。相對濕度70%。,27,30,偏南風,23,岡山區
7,2023-07-29 06:00:00,32,74,26,4,39,08,31,28,0,多雲短暫陣雨。溫度攝氏28至34度。舒適至易中暑。偏南風 風速3級(每秒4公尺)。相對濕度74%。,28,34,偏南風,27,岡山區
8,2023-07-29 18:00:00,29,87,26,2,37,08,30,28,8,多雲短暫陣雨。溫度攝氏28至31度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度87%。,32,31,偏北風,27,岡山區
9,2023-07-30 06:00:00,32,83,26,2,41,10,32,28,0,陰時多雲短暫陣雨。溫度攝氏28至34度。舒適至易中暑。偏北風 風速2級(每秒2公尺)。相對濕度83%。,32,34,偏北風,29,岡山區
10,2023-07-30 18:00:00,29,88,26,1,38,08,30,27,9,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度88%。,32,31,東北風,27,岡山區
11,2023-07-31 06:00:00,32,75,26,3,39,08,30,27,0,多雲短暫陣雨。溫度攝氏27至34度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度75%。,32,34,西北風,27,岡山區
12,2023-07-31 18:00:00,29,88,26,2,36,08,29,28,9,多雲短暫陣雨。溫度攝氏28至31度。舒適至悶熱。偏南風 風速<= 1級(每秒2公尺)。相對濕度88%。,32,31,偏南風,27,岡山區
13,2023-08-01 06:00:00,32,72,26,3,40,08,31,28,0,多雲短暫陣雨。溫度攝氏28至34度。舒適至易中暑。西北風 風速2級(每秒3公尺)。相對濕度72%。,32,34,西北風,26,岡山區
14,2023-08-01 18:00:00,29,84,27,2,36,11,29,28,,陰短暫陣雨。溫度攝氏28至31度。悶熱。西北風 風速<= 1級(每秒2公尺)。相對濕度84%。,32,31,西北風,26,岡山區
