,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,30,82,27,3,35,04,29,29,8,多雲。降雨機率 20%。溫度攝氏29至31度。悶熱。偏北風 風速2級(每秒3公尺)。相對濕度82%。,33,31,偏北風,26,左營區
1,2023-07-26 06:00:00,31,74,27,4,37,10,30,29,0,陰時多雲短暫陣雨。降雨機率 60%。溫度攝氏29至32度。悶熱。西北風 風速3級(每秒4公尺)。相對濕度74%。,33,32,西北風,26,左營區
2,2023-07-26 18:00:00,29,83,27,4,35,14,29,28,6,陰陣雨。降雨機率 90%。溫度攝氏28至31度。悶熱。西南風 風速3級(每秒4公尺)。相對濕度83%。,31,31,西南風,26,左營區
3,2023-07-27 06:00:00,29,82,27,>= 11,34,14,28,28,0,陰陣雨。降雨機率 90%。溫度攝氏28至29度。悶熱。東北風 風速>= 6級(每秒12公尺)。相對濕度82%。,27,29,東北風,26,左營區
4,2023-07-27 18:00:00,28,82,26,>= 11,27,14,27,28,7,陰陣雨。降雨機率 90%。溫度攝氏28至29度。舒適至悶熱。東南風 風速>= 6級(每秒18公尺)。相對濕度82%。,26,29,東南風,25,左營區
5,2023-07-28 06:00:00,30,80,26,>= 11,30,10,29,28,0,陰時多雲短暫陣雨。降雨機率 80%。溫度攝氏28至31度。舒適至悶熱。東南風 風速>= 6級(每秒13公尺)。相對濕度80%。,26,31,東南風,26,左營區
6,2023-07-28 18:00:00,29,73,26,10,30,08,28,28,9,多雲短暫陣雨。降雨機率 60%。溫度攝氏28至30度。舒適至悶熱。偏南風 風速5級(每秒10公尺)。相對濕度73%。,27,30,偏南風,24,左營區
7,2023-07-29 06:00:00,31,74,26,4,36,08,30,28,0,多雲短暫陣雨。溫度攝氏28至32度。舒適至悶熱。偏南風 風速3級(每秒4公尺)。相對濕度74%。,28,32,偏南風,26,左營區
8,2023-07-29 18:00:00,29,85,27,2,35,08,29,28,8,多雲短暫陣雨。溫度攝氏28至31度。悶熱。偏北風 風速2級(每秒2公尺)。相對濕度85%。,33,31,偏北風,26,左營區
9,2023-07-30 06:00:00,31,83,27,3,38,10,31,28,0,陰時多雲短暫陣雨。溫度攝氏28至32度。悶熱至易中暑。西北風 風速2級(每秒3公尺)。相對濕度83%。,33,32,西北風,28,左營區
10,2023-07-30 18:00:00,29,84,26,1,36,08,29,28,9,多雲短暫陣雨。溫度攝氏28至31度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度84%。,32,31,東北風,26,左營區
11,2023-07-31 06:00:00,31,75,26,3,37,08,29,28,0,多雲短暫陣雨。溫度攝氏28至32度。舒適至悶熱。東北風 風速2級(每秒3公尺)。相對濕度75%。,32,32,東北風,26,左營區
12,2023-07-31 18:00:00,29,84,26,1,36,08,29,28,9,多雲短暫陣雨。溫度攝氏28至31度。舒適至悶熱。偏南風 風速<= 1級(每秒1公尺)。相對濕度84%。,32,31,偏南風,26,左營區
13,2023-08-01 06:00:00,31,74,26,3,38,08,30,28,0,多雲短暫陣雨。溫度攝氏28至33度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度74%。,32,33,西北風,26,左營區
14,2023-08-01 18:00:00,29,83,27,2,35,10,29,28,,陰時多雲短暫陣雨。溫度攝氏28至31度。悶熱。西北風 風速2級(每秒2公尺)。相對濕度83%。,32,31,西北風,26,左營區
