,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,30,83,27,3,35,04,29,28,9,多雲。降雨機率 20%。溫度攝氏28至31度。悶熱。偏北風 風速2級(每秒3公尺)。相對濕度83%。,33,31,偏北風,26,彌陀區
1,2023-07-26 06:00:00,32,75,27,4,39,05,30,28,0,多雲時陰。降雨機率 20%。溫度攝氏28至33度。悶熱。東北風 風速3級(每秒4公尺)。相對濕度75%。,33,33,東北風,27,彌陀區
2,2023-07-26 18:00:00,29,85,27,6,36,12,29,28,6,多雲時陰陣雨。降雨機率 80%。溫度攝氏28至31度。悶熱。偏南風 風速4級(每秒6公尺)。相對濕度85%。,30,31,偏南風,26,彌陀區
3,2023-07-27 06:00:00,30,82,27,>= 11,34,14,29,28,0,陰陣雨。降雨機率 90%。溫度攝氏28至31度。悶熱。東北風 風速>= 6級(每秒14公尺)。相對濕度82%。,28,31,東北風,26,彌陀區
4,2023-07-27 18:00:00,28,85,26,>= 11,28,14,28,27,7,陰陣雨。降雨機率 90%。溫度攝氏27至29度。舒適至悶熱。東南風 風速>= 6級(每秒19公尺)。相對濕度85%。,26,29,東南風,25,彌陀區
5,2023-07-28 06:00:00,30,81,26,>= 11,32,10,30,27,0,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏27至32度。舒適至悶熱。東南風 風速>= 6級(每秒15公尺)。相對濕度81%。,26,32,東南風,27,彌陀區
6,2023-07-28 18:00:00,29,79,26,10,30,08,28,28,9,多雲短暫陣雨。降雨機率 40%。溫度攝氏28至30度。舒適至悶熱。偏南風 風速5級(每秒10公尺)。相對濕度79%。,27,30,偏南風,25,彌陀區
7,2023-07-29 06:00:00,31,77,26,6,36,08,30,28,0,多雲短暫陣雨。溫度攝氏28至33度。舒適至悶熱。偏南風 風速4級(每秒6公尺)。相對濕度77%。,27,33,偏南風,27,彌陀區
8,2023-07-29 18:00:00,29,89,26,2,35,08,29,28,8,多雲短暫陣雨。溫度攝氏28至31度。舒適至悶熱。東北風 風速2級(每秒2公尺)。相對濕度89%。,32,31,東北風,27,彌陀區
9,2023-07-30 06:00:00,31,82,26,3,39,10,31,28,0,陰時多雲短暫陣雨。溫度攝氏28至33度。舒適至易中暑。偏北風 風速2級(每秒3公尺)。相對濕度82%。,32,33,偏北風,28,彌陀區
10,2023-07-30 18:00:00,28,87,26,2,36,08,29,27,9,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。東北風 風速2級(每秒2公尺)。相對濕度87%。,32,31,東北風,26,彌陀區
11,2023-07-31 06:00:00,31,79,26,5,38,08,30,27,0,多雲短暫陣雨。溫度攝氏27至33度。舒適至悶熱。東北風 風速3級(每秒5公尺)。相對濕度79%。,32,33,東北風,27,彌陀區
12,2023-07-31 18:00:00,29,85,26,2,35,08,29,28,9,多雲短暫陣雨。溫度攝氏28至31度。舒適至悶熱。偏南風 風速2級(每秒2公尺)。相對濕度85%。,32,31,偏南風,26,彌陀區
13,2023-08-01 06:00:00,31,75,26,5,38,08,30,28,0,多雲短暫陣雨。溫度攝氏28至33度。舒適至悶熱。西北風 風速3級(每秒5公尺)。相對濕度75%。,32,33,西北風,26,彌陀區
14,2023-08-01 18:00:00,29,84,27,3,35,11,29,28,,陰短暫陣雨。溫度攝氏28至31度。悶熱。偏西風 風速2級(每秒3公尺)。相對濕度84%。,32,31,偏西風,26,彌陀區
