,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,30,79,27,3,36,05,29,29,8,多雲時陰。降雨機率 20%。溫度攝氏29至32度。悶熱。偏北風 風速2級(每秒3公尺)。相對濕度79%。,33,32,偏北風,26,新興區
1,2023-07-26 06:00:00,32,71,27,4,38,09,30,29,0,多雲時陰短暫陣雨。降雨機率 60%。溫度攝氏29至33度。悶熱。偏北風 風速3級(每秒4公尺)。相對濕度71%。,33,33,偏北風,26,新興區
2,2023-07-26 18:00:00,30,80,27,4,36,14,29,29,6,陰陣雨。降雨機率 90%。溫度攝氏29至31度。悶熱。偏西風 風速3級(每秒4公尺)。相對濕度80%。,33,31,偏西風,26,新興區
3,2023-07-27 06:00:00,29,80,27,>= 11,35,14,28,29,0,陰陣雨。降雨機率 100%。溫度攝氏29至30度。悶熱。東北風 風速>= 6級(每秒11公尺)。相對濕度80%。,28,30,東北風,26,新興區
4,2023-07-27 18:00:00,28,80,26,>= 11,28,14,27,28,7,陰陣雨。降雨機率 90%。溫度攝氏28至29度。舒適至悶熱。東南風 風速>= 6級(每秒18公尺)。相對濕度80%。,26,29,東南風,25,新興區
5,2023-07-28 06:00:00,30,78,26,>= 11,31,10,29,28,0,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏28至32度。舒適至悶熱。東南風 風速>= 6級(每秒13公尺)。相對濕度78%。,26,32,東南風,26,新興區
6,2023-07-28 18:00:00,29,71,26,10,30,08,28,29,9,多雲短暫陣雨。降雨機率 60%。溫度攝氏29至30度。舒適至悶熱。偏南風 風速5級(每秒10公尺)。相對濕度71%。,27,30,偏南風,24,新興區
7,2023-07-29 06:00:00,32,71,26,3,37,08,30,29,0,多雲短暫陣雨。溫度攝氏29至33度。舒適至悶熱。偏南風 風速2級(每秒3公尺)。相對濕度71%。,28,33,偏南風,25,新興區
8,2023-07-29 18:00:00,30,80,27,2,36,09,29,28,8,多雲時陰短暫陣雨。溫度攝氏28至31度。悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度80%。,33,31,偏北風,26,新興區
9,2023-07-30 06:00:00,32,73,27,2,39,09,30,28,0,多雲時陰短暫陣雨。溫度攝氏28至33度。悶熱。西北風 風速2級(每秒2公尺)。相對濕度73%。,33,33,西北風,26,新興區
10,2023-07-30 18:00:00,29,80,26,1,36,08,29,28,8,多雲短暫陣雨。溫度攝氏28至31度。舒適至悶熱。偏南風 風速<= 1級(每秒1公尺)。相對濕度80%。,33,31,偏南風,26,新興區
11,2023-07-31 06:00:00,31,72,26,3,38,08,30,28,0,多雲短暫陣雨。溫度攝氏28至33度。舒適至悶熱。西南風 風速2級(每秒3公尺)。相對濕度72%。,33,33,西南風,26,新興區
12,2023-07-31 18:00:00,29,80,26,1,36,08,29,28,8,多雲短暫陣雨。溫度攝氏28至31度。舒適至悶熱。偏南風 風速<= 1級(每秒1公尺)。相對濕度80%。,33,31,偏南風,26,新興區
13,2023-08-01 06:00:00,32,71,26,3,39,08,30,28,0,多雲短暫陣雨。溫度攝氏28至33度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度71%。,33,33,西北風,26,新興區
14,2023-08-01 18:00:00,30,80,27,2,37,10,29,29,,陰時多雲短暫陣雨。溫度攝氏29至32度。悶熱。西北風 風速2級(每秒2公尺)。相對濕度80%。,34,32,西北風,26,新興區
