,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,89,26,2,38,04,30,27,9,多雲。降雨機率 20%。溫度攝氏27至32度。舒適至悶熱。東北風 風速2級(每秒2公尺)。相對濕度89%。,31,32,東北風,27,旗山區
1,2023-07-26 06:00:00,32,76,26,2,40,10,30,27,0,陰時多雲短暫陣雨。降雨機率 60%。溫度攝氏27至34度。舒適至悶熱。偏北風 風速2級(每秒2公尺)。相對濕度76%。,31,34,偏北風,27,旗山區
2,2023-07-26 18:00:00,28,94,27,3,37,14,30,27,7,陰陣雨。降雨機率 90%。溫度攝氏27至31度。悶熱。西北風 風速2級(每秒3公尺)。相對濕度94%。,31,31,西北風,27,旗山區
3,2023-07-27 06:00:00,29,88,27,5,35,14,29,27,0,陰陣雨。降雨機率 100%。溫度攝氏27至31度。悶熱。東北風 風速3級(每秒5公尺)。相對濕度88%。,31,31,東北風,27,旗山區
4,2023-07-27 18:00:00,27,89,26,8,32,14,28,26,7,陰陣雨。降雨機率 90%。溫度攝氏26至29度。舒適至悶熱。偏南風 風速4級(每秒8公尺)。相對濕度89%。,27,29,偏南風,25,旗山區
5,2023-07-28 06:00:00,30,76,26,8,34,09,29,26,0,多雲時陰短暫陣雨。降雨機率 70%。溫度攝氏26至32度。舒適至悶熱。偏南風 風速5級(每秒8公尺)。相對濕度76%。,28,32,偏南風,26,旗山區
6,2023-07-28 18:00:00,28,78,25,5,31,08,27,27,9,多雲短暫陣雨。降雨機率 30%。溫度攝氏27至30度。舒適至悶熱。偏南風 風速3級(每秒5公尺)。相對濕度78%。,29,30,偏南風,23,旗山區
7,2023-07-29 06:00:00,33,76,25,2,42,09,32,27,0,多雲時陰短暫陣雨。溫度攝氏27至35度。舒適至易中暑。偏北風 風速<= 1級(每秒2公尺)。相對濕度76%。,30,35,偏北風,28,旗山區
8,2023-07-29 18:00:00,28,90,26,1,37,08,29,27,8,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度90%。,31,31,偏北風,26,旗山區
9,2023-07-30 06:00:00,33,76,26,1,43,08,32,27,0,多雲短暫陣雨。溫度攝氏27至36度。舒適至易中暑。偏東風 風速<= 1級(每秒1公尺)。相對濕度76%。,31,36,偏東風,28,旗山區
10,2023-07-30 18:00:00,28,91,26,1,38,08,30,26,9,多雲短暫陣雨。溫度攝氏26至31度。舒適至悶熱。偏西風 風速<= 1級(每秒1公尺)。相對濕度91%。,31,31,偏西風,26,旗山區
11,2023-07-31 06:00:00,33,72,26,2,42,08,31,26,0,多雲短暫陣雨。溫度攝氏26至36度。舒適至易中暑。偏西風 風速<= 1級(每秒2公尺)。相對濕度72%。,31,36,偏西風,27,旗山區
12,2023-07-31 18:00:00,28,92,25,1,37,09,30,26,9,多雲時陰短暫陣雨。溫度攝氏26至31度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度92%。,31,31,偏東風,27,旗山區
13,2023-08-01 06:00:00,32,73,25,2,42,11,31,26,0,陰短暫陣雨。溫度攝氏26至36度。舒適至易中暑。偏北風 風速<= 1級(每秒2公尺)。相對濕度73%。,31,36,偏北風,27,旗山區
14,2023-08-01 18:00:00,28,90,26,1,36,11,29,27,,陰短暫陣雨。溫度攝氏27至31度。舒適至悶熱。偏南風 風速<= 1級(每秒1公尺)。相對濕度90%。,32,31,偏南風,26,旗山區
