,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,81,27,3,34,05,29,28,8,多雲時陰。降雨機率 20%。溫度攝氏28至30度。悶熱。偏北風 風速2級(每秒3公尺)。相對濕度81%。,31,30,偏北風,25,旗津區
1,2023-07-26 06:00:00,31,73,27,5,36,09,29,28,0,多雲時陰短暫陣雨。降雨機率 60%。溫度攝氏28至32度。悶熱。偏北風 風速3級(每秒5公尺)。相對濕度73%。,31,32,偏北風,25,旗津區
2,2023-07-26 18:00:00,29,81,27,5,33,14,28,28,6,陰陣雨。降雨機率 90%。溫度攝氏28至30度。悶熱。偏西風 風速3級(每秒5公尺)。相對濕度81%。,30,30,偏西風,25,旗津區
3,2023-07-27 06:00:00,29,77,27,>= 11,32,14,28,28,0,陰陣雨。降雨機率 100%。溫度攝氏28至30度。悶熱。東北風 風速>= 6級(每秒15公尺)。相對濕度77%。,27,30,東北風,25,旗津區
4,2023-07-27 18:00:00,28,83,26,>= 11,27,14,27,27,7,陰陣雨。降雨機率 90%。溫度攝氏27至29度。舒適至悶熱。東南風 風速>= 6級(每秒20公尺)。相對濕度83%。,25,29,東南風,25,旗津區
5,2023-07-28 06:00:00,30,77,26,>= 11,30,11,29,27,0,陰短暫陣雨。降雨機率 80%。溫度攝氏27至31度。舒適至悶熱。東南風 風速>= 6級(每秒15公尺)。相對濕度77%。,25,31,東南風,26,旗津區
6,2023-07-28 18:00:00,28,82,26,>= 11,29,08,28,28,9,多雲短暫陣雨。降雨機率 60%。溫度攝氏28至30度。舒適至悶熱。偏南風 風速>= 6級(每秒12公尺)。相對濕度82%。,26,30,偏南風,25,旗津區
7,2023-07-29 06:00:00,30,73,26,4,36,08,29,28,0,多雲短暫陣雨。溫度攝氏28至32度。舒適至悶熱。偏南風 風速3級(每秒4公尺)。相對濕度73%。,26,32,偏南風,25,旗津區
8,2023-07-29 18:00:00,29,82,26,2,34,08,28,28,8,多雲短暫陣雨。溫度攝氏28至30度。舒適至悶熱。西北風 風速2級(每秒2公尺)。相對濕度82%。,31,30,西北風,25,旗津區
9,2023-07-30 06:00:00,30,73,26,3,36,09,29,28,0,多雲時陰短暫陣雨。溫度攝氏28至32度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度73%。,31,32,西北風,25,旗津區
10,2023-07-30 18:00:00,28,82,26,2,34,08,28,27,8,多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。偏東風 風速2級(每秒2公尺)。相對濕度82%。,31,30,偏東風,25,旗津區
11,2023-07-31 06:00:00,30,75,26,3,36,08,29,27,0,多雲短暫陣雨。溫度攝氏27至32度。舒適至悶熱。西南風 風速2級(每秒3公尺)。相對濕度75%。,31,32,西南風,25,旗津區
12,2023-07-31 18:00:00,28,81,26,2,34,08,28,27,8,多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。偏南風 風速2級(每秒2公尺)。相對濕度81%。,31,30,偏南風,25,旗津區
13,2023-08-01 06:00:00,31,73,26,3,37,08,29,27,0,多雲短暫陣雨。溫度攝氏27至32度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度73%。,31,32,西北風,25,旗津區
14,2023-08-01 18:00:00,29,81,26,2,34,08,28,28,,多雲短暫陣雨。溫度攝氏28至30度。舒適至悶熱。西北風 風速2級(每秒2公尺)。相對濕度81%。,32,30,西北風,25,旗津區
