,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,27,91,25,2,36,05,29,25,9,多雲時陰。降雨機率 20%。溫度攝氏25至31度。舒適至悶熱。東北風 風速2級(每秒2公尺)。相對濕度91%。,29,31,東北風,26,杉林區
1,2023-07-26 06:00:00,31,74,25,2,38,11,30,26,0,陰短暫陣雨。降雨機率 80%。溫度攝氏26至34度。舒適至悶熱。東北風 風速2級(每秒2公尺)。相對濕度74%。,29,34,東北風,26,杉林區
2,2023-07-26 18:00:00,27,93,25,3,35,14,29,26,7,陰陣雨。降雨機率 90%。溫度攝氏26至29度。舒適至悶熱。東南風 風速2級(每秒3公尺)。相對濕度93%。,29,29,東南風,26,杉林區
3,2023-07-27 06:00:00,29,87,25,4,36,14,29,26,0,陰陣雨。降雨機率 100%。溫度攝氏26至31度。舒適至悶熱。東北風 風速3級(每秒4公尺)。相對濕度87%。,29,31,東北風,27,杉林區
4,2023-07-27 18:00:00,26,93,25,7,32,14,28,25,8,陰陣雨。降雨機率 90%。溫度攝氏25至28度。舒適至悶熱。偏南風 風速4級(每秒7公尺)。相對濕度93%。,27,28,偏南風,25,杉林區
5,2023-07-28 06:00:00,30,76,25,7,33,09,29,26,0,多雲時陰短暫陣雨。降雨機率 70%。溫度攝氏26至32度。舒適至悶熱。偏南風 風速4級(每秒7公尺)。相對濕度76%。,27,32,偏南風,25,杉林區
6,2023-07-28 18:00:00,26,85,24,4,31,08,27,25,9,多雲短暫陣雨。降雨機率 30%。溫度攝氏25至28度。舒適至悶熱。偏東風 風速3級(每秒4公尺)。相對濕度85%。,28,28,偏東風,23,杉林區
7,2023-07-29 06:00:00,32,73,24,2,40,08,31,25,0,多雲短暫陣雨。溫度攝氏25至35度。舒適至易中暑。偏北風 風速2級(每秒2公尺)。相對濕度73%。,28,35,偏北風,26,杉林區
8,2023-07-29 18:00:00,26,90,24,1,35,08,28,25,9,多雲短暫陣雨。溫度攝氏25至30度。舒適至悶熱。西北風 風速<= 1級(每秒1公尺)。相對濕度90%。,29,30,西北風,25,杉林區
9,2023-07-30 06:00:00,32,75,24,2,42,08,31,25,0,多雲短暫陣雨。溫度攝氏25至35度。舒適至易中暑。東南風 風速<= 1級(每秒2公尺)。相對濕度75%。,29,35,東南風,27,杉林區
10,2023-07-30 18:00:00,26,92,24,1,35,08,28,24,9,多雲短暫陣雨。溫度攝氏24至30度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度92%。,28,30,偏東風,25,杉林區
11,2023-07-31 06:00:00,32,72,24,2,40,09,30,25,0,多雲時陰短暫陣雨。溫度攝氏25至35度。舒適至悶熱。偏西風 風速<= 1級(每秒2公尺)。相對濕度72%。,28,35,偏西風,26,杉林區
12,2023-07-31 18:00:00,26,92,23,1,35,10,28,24,9,陰時多雲短暫陣雨。溫度攝氏24至29度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度92%。,28,29,偏東風,25,杉林區
13,2023-08-01 06:00:00,31,71,23,2,41,11,30,24,0,陰短暫陣雨。溫度攝氏24至35度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度71%。,28,35,偏北風,25,杉林區
14,2023-08-01 18:00:00,26,92,24,2,34,11,27,25,,陰短暫陣雨。溫度攝氏25至29度。舒適至悶熱。西北風 風速<= 1級(每秒2公尺)。相對濕度92%。,29,29,西北風,25,杉林區
