,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,81,26,4,35,05,29,28,8,多雲時陰。降雨機率 20%。溫度攝氏28至31度。舒適至悶熱。偏北風 風速3級(每秒4公尺)。相對濕度81%。,30,31,偏北風,26,林園區
1,2023-07-26 06:00:00,31,75,26,4,37,11,30,28,0,陰短暫陣雨。降雨機率 70%。溫度攝氏28至33度。舒適至悶熱。東北風 風速3級(每秒4公尺)。相對濕度75%。,30,33,東北風,26,林園區
2,2023-07-26 18:00:00,29,83,26,6,35,14,29,28,6,陰陣雨。降雨機率 100%。溫度攝氏28至31度。舒適至悶熱。偏西風 風速4級(每秒6公尺)。相對濕度83%。,30,31,偏西風,26,林園區
3,2023-07-27 06:00:00,29,80,26,>= 11,32,14,28,28,0,陰陣雨。降雨機率 100%。溫度攝氏28至30度。舒適至悶熱。東北風 風速>= 6級(每秒16公尺)。相對濕度80%。,27,30,東北風,25,林園區
4,2023-07-27 18:00:00,28,82,26,>= 11,27,14,27,27,7,陰陣雨。降雨機率 90%。溫度攝氏27至29度。舒適至悶熱。東南風 風速>= 6級(每秒20公尺)。相對濕度82%。,25,29,東南風,24,林園區
5,2023-07-28 06:00:00,30,80,26,>= 11,31,11,30,27,0,陰短暫陣雨。降雨機率 70%。溫度攝氏27至31度。舒適至悶熱。東南風 風速>= 6級(每秒13公尺)。相對濕度80%。,25,31,東南風,26,林園區
6,2023-07-28 18:00:00,29,75,25,10,30,08,28,28,9,多雲短暫陣雨。降雨機率 60%。溫度攝氏28至30度。舒適至悶熱。偏南風 風速5級(每秒10公尺)。相對濕度75%。,26,30,偏南風,24,林園區
7,2023-07-29 06:00:00,31,73,25,3,38,08,30,28,0,多雲短暫陣雨。溫度攝氏28至33度。舒適至悶熱。偏南風 風速2級(每秒3公尺)。相對濕度73%。,26,33,偏南風,26,林園區
8,2023-07-29 18:00:00,29,84,25,2,35,09,29,27,8,多雲時陰短暫陣雨。溫度攝氏27至31度。舒適至悶熱。偏北風 風速2級(每秒2公尺)。相對濕度84%。,31,31,偏北風,26,林園區
9,2023-07-30 06:00:00,31,69,25,2,38,09,30,27,0,多雲時陰短暫陣雨。溫度攝氏27至33度。舒適至悶熱。西北風 風速2級(每秒2公尺)。相對濕度69%。,31,33,西北風,25,林園區
10,2023-07-30 18:00:00,29,80,25,2,35,08,28,27,9,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。偏東風 風速<= 1級(每秒2公尺)。相對濕度80%。,31,31,偏東風,25,林園區
11,2023-07-31 06:00:00,31,76,25,3,39,08,30,27,0,多雲短暫陣雨。溫度攝氏27至33度。舒適至悶熱。東北風 風速2級(每秒3公尺)。相對濕度76%。,31,33,東北風,26,林園區
12,2023-07-31 18:00:00,29,81,26,2,35,08,28,27,9,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。西北風 風速<= 1級(每秒2公尺)。相對濕度81%。,31,31,西北風,25,林園區
13,2023-08-01 06:00:00,31,73,26,3,39,08,30,27,0,多雲短暫陣雨。溫度攝氏27至33度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度73%。,31,33,西北風,26,林園區
14,2023-08-01 18:00:00,29,83,26,2,35,09,28,27,,多雲時陰短暫陣雨。溫度攝氏27至31度。舒適至悶熱。西北風 風速<= 1級(每秒2公尺)。相對濕度83%。,32,31,西北風,26,林園區
