,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,24,94,22,3,31,07,26,23,10,陰天。降雨機率 20%。溫度攝氏23至27度。舒適。偏東風 風速2級(每秒3公尺)。相對濕度94%。,25,27,偏東風,23,桃源區
1,2023-07-26 06:00:00,27,82,22,2,33,11,27,23,0,陰短暫陣雨。降雨機率 90%。溫度攝氏23至29度。舒適至悶熱。偏北風 風速2級(每秒2公尺)。相對濕度82%。,25,29,偏北風,24,桃源區
2,2023-07-26 18:00:00,24,95,23,3,30,14,26,24,8,陰陣雨。降雨機率 100%。溫度攝氏24至26度。舒適。東北風 風速2級(每秒3公尺)。相對濕度95%。,26,26,東北風,23,桃源區
3,2023-07-27 06:00:00,25,82,23,4,30,14,25,24,0,陰陣雨。降雨機率 100%。溫度攝氏24至27度。舒適。東北風 風速3級(每秒4公尺)。相對濕度82%。,26,27,東北風,22,桃源區
4,2023-07-27 18:00:00,23,95,22,4,27,14,24,22,9,陰陣雨。降雨機率 90%。溫度攝氏22至24度。舒適。東南風 風速3級(每秒4公尺)。相對濕度95%。,24,24,東南風,22,桃源區
5,2023-07-28 06:00:00,26,77,22,2,31,08,25,22,0,多雲短暫陣雨。降雨機率 70%。溫度攝氏22至28度。舒適。西南風 風速2級(每秒2公尺)。相對濕度77%。,24,28,西南風,22,桃源區
6,2023-07-28 18:00:00,23,92,21,1,28,04,24,22,10,多雲。降雨機率 10%。溫度攝氏22至25度。舒適。偏東風 風速<= 1級(每秒1公尺)。相對濕度92%。,25,25,偏東風,22,桃源區
7,2023-07-29 06:00:00,28,82,21,1,36,08,28,22,0,多雲短暫陣雨。溫度攝氏22至30度。舒適至悶熱。偏西風 風速<= 1級(每秒1公尺)。相對濕度82%。,25,30,偏西風,24,桃源區
8,2023-07-29 18:00:00,23,92,21,0,31,09,25,22,10,多雲時陰短暫陣雨。溫度攝氏22至26度。舒適。偏東風 風速<= 1級(每秒0公尺)。相對濕度92%。,25,26,偏東風,22,桃源區
9,2023-07-30 06:00:00,28,83,21,1,38,10,30,22,0,陰時多雲短暫陣雨。溫度攝氏22至31度。舒適至悶熱。西南風 風速<= 1級(每秒1公尺)。相對濕度83%。,25,31,西南風,25,桃源區
10,2023-07-30 18:00:00,23,93,21,1,31,08,26,22,10,多雲短暫陣雨。溫度攝氏22至26度。舒適。東南風 風速<= 1級(每秒1公尺)。相對濕度93%。,25,26,東南風,22,桃源區
11,2023-07-31 06:00:00,28,79,21,1,36,09,28,22,0,多雲時陰短暫陣雨。溫度攝氏22至31度。舒適至悶熱。西北風 風速<= 1級(每秒1公尺)。相對濕度79%。,25,31,西北風,24,桃源區
12,2023-07-31 18:00:00,23,96,22,1,31,11,25,22,10,陰短暫陣雨。溫度攝氏22至26度。舒適。東南風 風速<= 1級(每秒1公尺)。相對濕度96%。,26,26,東南風,23,桃源區
13,2023-08-01 06:00:00,28,78,22,1,36,11,28,22,0,陰短暫陣雨。溫度攝氏22至31度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度78%。,26,31,偏北風,24,桃源區
14,2023-08-01 18:00:00,23,97,22,0,30,11,25,22,,陰短暫陣雨。溫度攝氏22至26度。舒適。西南風 風速<= 1級(每秒0公尺)。相對濕度97%。,26,26,西南風,23,桃源區
