,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,30,83,27,3,36,04,30,29,9,多雲。降雨機率 20%。溫度攝氏29至32度。悶熱。偏北風 風速2級(每秒3公尺)。相對濕度83%。,33,32,偏北風,27,梓官區
1,2023-07-26 06:00:00,32,74,27,3,40,05,31,29,0,多雲時陰。降雨機率 20%。溫度攝氏29至34度。悶熱至易中暑。東北風 風速2級(每秒3公尺)。相對濕度74%。,33,34,東北風,27,梓官區
2,2023-07-26 18:00:00,30,84,27,5,37,13,30,28,6,陰時多雲陣雨。降雨機率 80%。溫度攝氏28至32度。悶熱。西南風 風速3級(每秒5公尺)。相對濕度84%。,31,32,西南風,27,梓官區
3,2023-07-27 06:00:00,30,82,27,>= 11,35,14,30,28,0,陰陣雨。降雨機率 90%。溫度攝氏28至31度。悶熱。東北風 風速>= 6級(每秒13公尺)。相對濕度82%。,29,31,東北風,27,梓官區
4,2023-07-27 18:00:00,29,85,27,>= 11,29,14,28,28,7,陰陣雨。降雨機率 90%。溫度攝氏28至30度。悶熱。東南風 風速>= 6級(每秒18公尺)。相對濕度85%。,26,30,東南風,26,梓官區
5,2023-07-28 06:00:00,31,81,27,>= 11,33,10,31,28,0,陰時多雲短暫陣雨。降雨機率 80%。溫度攝氏28至32度。悶熱至易中暑。東南風 風速>= 6級(每秒13公尺)。相對濕度81%。,26,32,東南風,27,梓官區
6,2023-07-28 18:00:00,29,76,26,10,31,08,29,28,9,多雲短暫陣雨。降雨機率 40%。溫度攝氏28至31度。舒適至悶熱。偏南風 風速5級(每秒10公尺)。相對濕度76%。,27,31,偏南風,25,梓官區
7,2023-07-29 06:00:00,32,76,26,5,38,08,31,28,0,多雲短暫陣雨。溫度攝氏28至34度。舒適至易中暑。偏南風 風速3級(每秒5公尺)。相對濕度76%。,28,34,偏南風,27,梓官區
8,2023-07-29 18:00:00,29,88,27,2,37,08,30,28,8,多雲短暫陣雨。溫度攝氏28至31度。悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度88%。,33,31,偏北風,27,梓官區
9,2023-07-30 06:00:00,32,83,27,3,41,10,32,28,0,陰時多雲短暫陣雨。溫度攝氏28至34度。悶熱至易中暑。偏北風 風速2級(每秒3公尺)。相對濕度83%。,33,34,偏北風,29,梓官區
10,2023-07-30 18:00:00,29,87,26,2,37,08,30,27,9,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。東北風 風速<= 1級(每秒2公尺)。相對濕度87%。,32,31,東北風,27,梓官區
11,2023-07-31 06:00:00,32,77,26,4,39,08,31,27,0,多雲短暫陣雨。溫度攝氏27至34度。舒適至易中暑。東北風 風速3級(每秒4公尺)。相對濕度77%。,32,34,東北風,27,梓官區
12,2023-07-31 18:00:00,29,86,26,2,36,08,29,28,9,多雲短暫陣雨。溫度攝氏28至31度。舒適至悶熱。偏南風 風速<= 1級(每秒2公尺)。相對濕度86%。,33,31,偏南風,27,梓官區
13,2023-08-01 06:00:00,32,74,26,4,39,08,31,28,0,多雲短暫陣雨。溫度攝氏28至34度。舒適至易中暑。西北風 風速3級(每秒4公尺)。相對濕度74%。,33,34,西北風,27,梓官區
14,2023-08-01 18:00:00,30,84,27,2,36,11,29,28,,陰短暫陣雨。溫度攝氏28至32度。悶熱。偏西風 風速2級(每秒2公尺)。相對濕度84%。,33,32,偏西風,27,梓官區
