,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,28,83,25,3,36,05,29,27,8,多雲時陰。降雨機率 20%。溫度攝氏27至31度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度83%。,30,31,西北風,25,楠梓區
1,2023-07-26 06:00:00,31,73,25,3,38,10,30,27,0,陰時多雲短暫陣雨。降雨機率 60%。溫度攝氏27至33度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度73%。,30,33,西北風,26,楠梓區
2,2023-07-26 18:00:00,28,85,26,4,35,14,29,26,6,陰陣雨。降雨機率 90%。溫度攝氏26至31度。舒適至悶熱。西南風 風速3級(每秒4公尺)。相對濕度85%。,29,31,西南風,25,楠梓區
3,2023-07-27 06:00:00,29,82,26,10,35,14,29,26,0,陰陣雨。降雨機率 90%。溫度攝氏26至30度。舒適至悶熱。東北風 風速5級(每秒10公尺)。相對濕度82%。,27,30,東北風,25,楠梓區
4,2023-07-27 18:00:00,27,83,25,>= 11,27,14,27,26,7,陰陣雨。降雨機率 80%。溫度攝氏26至28度。舒適至悶熱。東南風 風速>= 6級(每秒15公尺)。相對濕度83%。,24,28,東南風,23,楠梓區
5,2023-07-28 06:00:00,30,80,25,>= 11,31,10,29,26,0,陰時多雲短暫陣雨。降雨機率 80%。溫度攝氏26至31度。舒適至悶熱。東南風 風速>= 6級(每秒12公尺)。相對濕度80%。,25,31,東南風,26,楠梓區
6,2023-07-28 18:00:00,27,69,24,9,29,08,27,26,9,多雲短暫陣雨。降雨機率 60%。溫度攝氏26至29度。舒適至悶熱。偏南風 風速5級(每秒9公尺)。相對濕度69%。,25,29,偏南風,21,楠梓區
7,2023-07-29 06:00:00,31,74,24,4,38,08,30,26,0,多雲短暫陣雨。溫度攝氏26至33度。舒適至悶熱。偏南風 風速3級(每秒4公尺)。相對濕度74%。,25,33,偏南風,26,楠梓區
8,2023-07-29 18:00:00,28,86,25,2,35,08,29,26,8,多雲短暫陣雨。溫度攝氏26至30度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度86%。,30,30,偏北風,25,楠梓區
9,2023-07-30 06:00:00,31,83,25,2,40,10,32,26,0,陰時多雲短暫陣雨。溫度攝氏26至33度。舒適至易中暑。偏西風 風速2級(每秒2公尺)。相對濕度83%。,30,33,偏西風,28,楠梓區
10,2023-07-30 18:00:00,27,86,24,1,36,08,29,25,9,多雲短暫陣雨。溫度攝氏25至30度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度86%。,29,30,東北風,25,楠梓區
11,2023-07-31 06:00:00,31,74,24,3,38,08,30,25,0,多雲短暫陣雨。溫度攝氏25至33度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度74%。,29,33,偏北風,25,楠梓區
12,2023-07-31 18:00:00,28,87,24,1,35,08,28,26,9,多雲短暫陣雨。溫度攝氏26至30度。舒適至悶熱。偏南風 風速<= 1級(每秒1公尺)。相對濕度87%。,30,30,偏南風,25,楠梓區
13,2023-08-01 06:00:00,31,73,24,3,39,08,30,26,0,多雲短暫陣雨。溫度攝氏26至34度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度73%。,30,34,西北風,26,楠梓區
14,2023-08-01 18:00:00,28,85,25,2,35,11,28,26,,陰短暫陣雨。溫度攝氏26至31度。舒適至悶熱。西北風 風速<= 1級(每秒2公尺)。相對濕度85%。,30,31,西北風,25,楠梓區
