,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,30,83,27,2,38,05,30,28,9,多雲時陰。降雨機率 20%。溫度攝氏28至33度。悶熱。西北風 風速2級(每秒2公尺)。相對濕度83%。,33,33,西北風,27,橋頭區
1,2023-07-26 06:00:00,33,72,27,3,41,08,31,28,0,多雲短暫陣雨。降雨機率 50%。溫度攝氏28至35度。悶熱至易中暑。東北風 風速2級(每秒3公尺)。相對濕度72%。,33,35,東北風,27,橋頭區
2,2023-07-26 18:00:00,30,85,27,4,38,13,30,28,6,陰時多雲陣雨。降雨機率 90%。溫度攝氏28至32度。悶熱。西南風 風速3級(每秒4公尺)。相對濕度85%。,32,32,西南風,27,橋頭區
3,2023-07-27 06:00:00,30,84,27,9,37,14,30,28,0,陰陣雨。降雨機率 90%。溫度攝氏28至31度。悶熱。東北風 風速5級(每秒9公尺)。相對濕度84%。,30,31,東北風,27,橋頭區
4,2023-07-27 18:00:00,28,83,26,>= 11,30,14,28,27,7,陰陣雨。降雨機率 90%。溫度攝氏27至30度。舒適至悶熱。東南風 風速>= 6級(每秒14公尺)。相對濕度83%。,27,30,東南風,25,橋頭區
5,2023-07-28 06:00:00,31,80,26,>= 11,33,10,31,27,0,陰時多雲短暫陣雨。降雨機率 80%。溫度攝氏27至33度。舒適至易中暑。偏南風 風速>= 6級(每秒11公尺)。相對濕度80%。,28,33,偏南風,27,橋頭區
6,2023-07-28 18:00:00,29,66,26,8,31,08,28,28,9,多雲短暫陣雨。降雨機率 60%。溫度攝氏28至31度。舒適至悶熱。偏南風 風速5級(每秒8公尺)。相對濕度66%。,28,31,偏南風,22,橋頭區
7,2023-07-29 06:00:00,32,74,26,4,40,08,31,28,0,多雲短暫陣雨。溫度攝氏28至34度。舒適至易中暑。偏南風 風速3級(每秒4公尺)。相對濕度74%。,28,34,偏南風,27,橋頭區
8,2023-07-29 18:00:00,29,87,26,1,37,08,30,28,8,多雲短暫陣雨。溫度攝氏28至32度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度87%。,32,32,偏北風,27,橋頭區
9,2023-07-30 06:00:00,33,84,26,3,43,10,33,28,0,陰時多雲短暫陣雨。溫度攝氏28至35度。舒適至易中暑。偏北風 風速2級(每秒3公尺)。相對濕度84%。,32,35,偏北風,29,橋頭區
10,2023-07-30 18:00:00,29,88,26,1,38,08,30,27,9,多雲短暫陣雨。溫度攝氏27至32度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度88%。,32,32,東北風,27,橋頭區
11,2023-07-31 06:00:00,32,75,26,4,40,08,31,27,0,多雲短暫陣雨。溫度攝氏27至35度。舒適至易中暑。偏北風 風速3級(每秒4公尺)。相對濕度75%。,32,35,偏北風,27,橋頭區
12,2023-07-31 18:00:00,29,89,26,1,38,08,30,28,9,多雲短暫陣雨。溫度攝氏28至32度。舒適至悶熱。偏南風 風速<= 1級(每秒1公尺)。相對濕度89%。,32,32,偏南風,27,橋頭區
13,2023-08-01 06:00:00,33,72,26,3,41,08,31,28,0,多雲短暫陣雨。溫度攝氏28至35度。舒適至易中暑。西北風 風速2級(每秒3公尺)。相對濕度72%。,32,35,西北風,27,橋頭區
14,2023-08-01 18:00:00,29,85,27,2,37,11,30,28,,陰短暫陣雨。溫度攝氏28至32度。悶熱。西北風 風速<= 1級(每秒2公尺)。相對濕度85%。,33,32,西北風,27,橋頭區
