,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,83,27,3,34,04,29,28,9,多雲。降雨機率 20%。溫度攝氏28至31度。悶熱。偏北風 風速2級(每秒3公尺)。相對濕度83%。,33,31,偏北風,26,永安區
1,2023-07-26 06:00:00,31,75,27,4,37,04,29,28,0,多雲。降雨機率 20%。溫度攝氏28至32度。悶熱。東北風 風速3級(每秒4公尺)。相對濕度75%。,33,32,東北風,26,永安區
2,2023-07-26 18:00:00,29,85,27,6,35,12,29,28,6,多雲時陰陣雨。降雨機率 70%。溫度攝氏28至31度。悶熱。偏南風 風速4級(每秒6公尺)。相對濕度85%。,30,31,偏南風,26,永安區
3,2023-07-27 06:00:00,29,81,27,>= 11,32,14,29,28,0,陰陣雨。降雨機率 90%。溫度攝氏28至30度。悶熱。東北風 風速>= 6級(每秒16公尺)。相對濕度81%。,27,30,東北風,26,永安區
4,2023-07-27 18:00:00,28,85,26,>= 11,27,14,27,27,7,陰陣雨。降雨機率 90%。溫度攝氏27至29度。舒適至悶熱。東南風 風速>= 6級(每秒20公尺)。相對濕度85%。,25,29,東南風,25,永安區
5,2023-07-28 06:00:00,30,80,26,>= 11,31,10,30,27,0,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏27至31度。舒適至悶熱。東南風 風速>= 6級(每秒15公尺)。相對濕度80%。,25,31,東南風,26,永安區
6,2023-07-28 18:00:00,28,82,26,10,29,08,28,28,9,多雲短暫陣雨。降雨機率 40%。溫度攝氏28至30度。舒適至悶熱。偏南風 風速5級(每秒10公尺)。相對濕度82%。,27,30,偏南風,25,永安區
7,2023-07-29 06:00:00,31,77,26,5,35,08,30,28,0,多雲短暫陣雨。溫度攝氏28至32度。舒適至悶熱。偏南風 風速3級(每秒5公尺)。相對濕度77%。,27,32,偏南風,26,永安區
8,2023-07-29 18:00:00,28,89,26,3,34,08,29,27,8,多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。東北風 風速2級(每秒3公尺)。相對濕度89%。,32,30,東北風,26,永安區
9,2023-07-30 06:00:00,31,80,26,2,38,10,30,27,0,陰時多雲短暫陣雨。溫度攝氏27至32度。舒適至悶熱。偏北風 風速2級(每秒2公尺)。相對濕度80%。,32,32,偏北風,27,永安區
10,2023-07-30 18:00:00,28,87,26,3,35,08,28,27,9,多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。偏南風 風速2級(每秒3公尺)。相對濕度87%。,31,30,偏南風,26,永安區
11,2023-07-31 06:00:00,30,78,26,5,36,08,29,27,0,多雲短暫陣雨。溫度攝氏27至32度。舒適至悶熱。東北風 風速3級(每秒5公尺)。相對濕度78%。,31,32,東北風,26,永安區
12,2023-07-31 18:00:00,28,85,26,2,34,08,28,27,9,多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。西南風 風速2級(每秒2公尺)。相對濕度85%。,32,30,西南風,26,永安區
13,2023-08-01 06:00:00,31,75,26,5,36,08,29,27,0,多雲短暫陣雨。溫度攝氏27至32度。舒適至悶熱。西北風 風速3級(每秒5公尺)。相對濕度75%。,32,32,西北風,26,永安區
14,2023-08-01 18:00:00,29,84,26,3,34,10,28,28,,陰時多雲短暫陣雨。溫度攝氏28至30度。舒適至悶熱。偏西風 風速2級(每秒3公尺)。相對濕度84%。,31,30,偏西風,26,永安區
