,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,82,27,3,34,04,28,28,9,多雲。降雨機率 20%。溫度攝氏28至31度。悶熱。西北風 風速2級(每秒3公尺)。相對濕度82%。,32,31,西北風,26,湖內區
1,2023-07-26 06:00:00,32,72,27,3,38,04,29,28,0,多雲。降雨機率 20%。溫度攝氏28至33度。悶熱。偏北風 風速2級(每秒3公尺)。相對濕度72%。,32,33,偏北風,26,湖內區
2,2023-07-26 18:00:00,29,85,27,5,35,12,29,28,7,多雲時陰陣雨。降雨機率 70%。溫度攝氏28至31度。悶熱。西南風 風速3級(每秒5公尺)。相對濕度85%。,30,31,西南風,26,湖內區
3,2023-07-27 06:00:00,30,84,27,>= 11,34,14,29,28,0,陰陣雨。降雨機率 90%。溫度攝氏28至31度。悶熱。東北風 風速>= 6級(每秒13公尺)。相對濕度84%。,29,31,東北風,27,湖內區
4,2023-07-27 18:00:00,28,86,26,>= 11,29,14,28,27,7,陰陣雨。降雨機率 80%。溫度攝氏27至29度。舒適至悶熱。東南風 風速>= 6級(每秒20公尺)。相對濕度86%。,25,29,東南風,25,湖內區
5,2023-07-28 06:00:00,30,81,26,>= 11,30,10,29,27,0,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏27至31度。舒適至悶熱。偏南風 風速>= 6級(每秒14公尺)。相對濕度81%。,25,31,偏南風,26,湖內區
6,2023-07-28 18:00:00,28,77,25,9,28,08,28,27,9,多雲短暫陣雨。降雨機率 60%。溫度攝氏27至29度。舒適至悶熱。偏南風 風速5級(每秒9公尺)。相對濕度77%。,26,29,偏南風,23,湖內區
7,2023-07-29 06:00:00,31,76,25,5,36,08,30,27,0,多雲短暫陣雨。溫度攝氏27至32度。舒適至悶熱。偏南風 風速3級(每秒5公尺)。相對濕度76%。,26,32,偏南風,26,湖內區
8,2023-07-29 18:00:00,28,88,25,2,35,08,29,27,8,多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。東北風 風速<= 1級(每秒2公尺)。相對濕度88%。,31,30,東北風,26,湖內區
9,2023-07-30 06:00:00,31,81,25,2,40,10,31,27,0,陰時多雲短暫陣雨。溫度攝氏27至33度。舒適至易中暑。東北風 風速2級(每秒2公尺)。相對濕度81%。,31,33,東北風,27,湖內區
10,2023-07-30 18:00:00,28,89,25,2,36,08,29,26,9,多雲短暫陣雨。溫度攝氏26至30度。舒適至悶熱。偏南風 風速<= 1級(每秒2公尺)。相對濕度89%。,30,30,偏南風,26,湖內區
11,2023-07-31 06:00:00,31,78,25,4,37,08,30,26,0,多雲短暫陣雨。溫度攝氏26至32度。舒適至悶熱。偏北風 風速3級(每秒4公尺)。相對濕度78%。,30,32,偏北風,26,湖內區
12,2023-07-31 18:00:00,28,87,25,2,34,08,28,27,9,多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。偏南風 風速<= 1級(每秒2公尺)。相對濕度87%。,31,30,偏南風,25,湖內區
13,2023-08-01 06:00:00,31,73,25,4,37,08,30,27,0,多雲短暫陣雨。溫度攝氏27至33度。舒適至悶熱。西北風 風速3級(每秒4公尺)。相對濕度73%。,31,33,西北風,26,湖內區
14,2023-08-01 18:00:00,28,86,26,2,34,08,28,27,,多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。偏西風 風速<= 1級(每秒2公尺)。相對濕度86%。,31,30,偏西風,26,湖內區
