,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,85,26,2,36,05,29,27,9,多雲時陰。降雨機率 20%。溫度攝氏27至31度。舒適至悶熱。偏北風 風速2級(每秒2公尺)。相對濕度85%。,31,31,偏北風,26,燕巢區
1,2023-07-26 06:00:00,31,74,26,3,39,09,30,27,0,多雲時陰短暫陣雨。降雨機率 50%。溫度攝氏27至33度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度74%。,31,33,西北風,26,燕巢區
2,2023-07-26 18:00:00,29,86,26,4,36,14,29,27,6,陰陣雨。降雨機率 80%。溫度攝氏27至31度。舒適至悶熱。偏西風 風速3級(每秒4公尺)。相對濕度86%。,30,31,偏西風,26,燕巢區
3,2023-07-27 06:00:00,29,88,26,8,34,14,28,27,0,陰陣雨。降雨機率 100%。溫度攝氏27至29度。舒適至悶熱。東北風 風速5級(每秒8公尺)。相對濕度88%。,29,29,東北風,27,燕巢區
4,2023-07-27 18:00:00,27,78,25,>= 11,29,14,27,27,7,陰陣雨。降雨機率 90%。溫度攝氏27至28度。舒適至悶熱。東南風 風速>= 6級(每秒12公尺)。相對濕度78%。,24,28,東南風,23,燕巢區
5,2023-07-28 06:00:00,30,80,26,10,31,10,29,27,0,陰時多雲短暫陣雨。降雨機率 80%。溫度攝氏27至31度。舒適至悶熱。偏南風 風速5級(每秒10公尺)。相對濕度80%。,27,31,偏南風,26,燕巢區
6,2023-07-28 18:00:00,28,62,25,7,30,08,27,27,9,多雲短暫陣雨。降雨機率 40%。溫度攝氏27至29度。舒適至悶熱。偏南風 風速4級(每秒7公尺)。相對濕度62%。,26,29,偏南風,20,燕巢區
7,2023-07-29 06:00:00,31,76,25,3,38,08,30,27,0,多雲短暫陣雨。溫度攝氏27至33度。舒適至悶熱。偏南風 風速2級(每秒3公尺)。相對濕度76%。,27,33,偏南風,26,燕巢區
8,2023-07-29 18:00:00,28,88,25,1,35,08,29,27,8,多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度88%。,31,30,偏北風,26,燕巢區
9,2023-07-30 06:00:00,31,85,25,3,41,10,32,27,0,陰時多雲短暫陣雨。溫度攝氏27至34度。舒適至易中暑。東北風 風速2級(每秒3公尺)。相對濕度85%。,31,34,東北風,28,燕巢區
10,2023-07-30 18:00:00,28,91,25,1,36,08,29,26,9,多雲短暫陣雨。溫度攝氏26至30度。舒適至悶熱。東南風 風速<= 1級(每秒1公尺)。相對濕度91%。,30,30,東南風,26,燕巢區
11,2023-07-31 06:00:00,31,74,25,3,38,08,30,26,0,多雲短暫陣雨。溫度攝氏26至34度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度74%。,30,34,偏北風,26,燕巢區
12,2023-07-31 18:00:00,28,91,25,1,36,08,29,26,9,多雲短暫陣雨。溫度攝氏26至31度。舒適至悶熱。東南風 風速<= 1級(每秒1公尺)。相對濕度91%。,30,31,東南風,26,燕巢區
13,2023-08-01 06:00:00,31,74,25,3,39,08,30,26,0,多雲短暫陣雨。溫度攝氏26至34度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度74%。,30,34,西北風,26,燕巢區
14,2023-08-01 18:00:00,28,86,26,2,35,10,28,27,,陰時多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。西北風 風速<= 1級(每秒2公尺)。相對濕度86%。,31,30,西北風,25,燕巢區
