,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,28,87,26,2,36,04,29,27,9,多雲。降雨機率 20%。溫度攝氏27至31度。舒適至悶熱。偏北風 風速2級(每秒2公尺)。相對濕度87%。,31,31,偏北風,26,田寮區
1,2023-07-26 06:00:00,32,75,26,2,40,08,31,27,0,多雲短暫陣雨。降雨機率 50%。溫度攝氏27至34度。舒適至易中暑。東北風 風速2級(每秒2公尺)。相對濕度75%。,31,34,東北風,27,田寮區
2,2023-07-26 18:00:00,28,88,26,4,36,14,29,27,7,陰陣雨。降雨機率 80%。溫度攝氏27至31度。舒適至悶熱。西南風 風速3級(每秒4公尺)。相對濕度88%。,30,31,西南風,26,田寮區
3,2023-07-27 06:00:00,29,88,26,7,35,14,29,27,0,陰陣雨。降雨機率 100%。溫度攝氏27至30度。舒適至悶熱。東北風 風速4級(每秒7公尺)。相對濕度88%。,30,30,東北風,27,田寮區
4,2023-07-27 18:00:00,27,81,25,>= 11,30,14,28,27,7,陰陣雨。降雨機率 90%。溫度攝氏27至28度。舒適至悶熱。東南風 風速>= 6級(每秒11公尺)。相對濕度81%。,24,28,東南風,23,田寮區
5,2023-07-28 06:00:00,30,80,26,10,32,10,30,27,0,陰時多雲短暫陣雨。降雨機率 80%。溫度攝氏27至32度。舒適至悶熱。偏南風 風速5級(每秒10公尺)。相對濕度80%。,28,32,偏南風,26,田寮區
6,2023-07-28 18:00:00,28,62,24,7,31,08,27,27,9,多雲短暫陣雨。降雨機率 40%。溫度攝氏27至29度。舒適至悶熱。偏南風 風速4級(每秒7公尺)。相對濕度62%。,27,29,偏南風,20,田寮區
7,2023-07-29 06:00:00,32,76,25,2,40,08,31,27,0,多雲短暫陣雨。溫度攝氏27至34度。舒適至易中暑。西南風 風速2級(每秒2公尺)。相對濕度76%。,28,34,西南風,27,田寮區
8,2023-07-29 18:00:00,28,90,26,1,36,08,29,27,8,多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度90%。,31,30,偏北風,26,田寮區
9,2023-07-30 06:00:00,32,87,26,2,43,09,33,27,0,多雲時陰短暫陣雨。溫度攝氏27至35度。舒適至易中暑。偏南風 風速<= 1級(每秒2公尺)。相對濕度87%。,31,35,偏南風,30,田寮區
10,2023-07-30 18:00:00,28,92,25,1,37,08,30,26,9,多雲短暫陣雨。溫度攝氏26至31度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度92%。,31,31,偏東風,26,田寮區
11,2023-07-31 06:00:00,32,75,25,2,40,09,31,26,0,多雲時陰短暫陣雨。溫度攝氏26至34度。舒適至易中暑。西北風 風速2級(每秒2公尺)。相對濕度75%。,31,34,西北風,27,田寮區
12,2023-07-31 18:00:00,28,91,25,1,36,08,29,26,9,多雲短暫陣雨。溫度攝氏26至30度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度91%。,31,30,偏東風,26,田寮區
13,2023-08-01 06:00:00,32,75,25,2,41,10,31,26,0,陰時多雲短暫陣雨。溫度攝氏26至35度。舒適至易中暑。西北風 風速2級(每秒2公尺)。相對濕度75%。,31,35,西北風,27,田寮區
14,2023-08-01 18:00:00,28,87,26,1,35,11,28,27,,陰短暫陣雨。溫度攝氏27至30度。舒適至悶熱。偏南風 風速<= 1級(每秒1公尺)。相對濕度87%。,32,30,偏南風,26,田寮區
