,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,26,93,24,2,34,05,28,24,9,多雲時陰。降雨機率 20%。溫度攝氏24至29度。舒適至悶熱。偏東風 風速2級(每秒2公尺)。相對濕度93%。,27,29,偏東風,24,甲仙區
1,2023-07-26 06:00:00,30,78,24,2,38,10,29,24,0,陰時多雲短暫陣雨。降雨機率 80%。溫度攝氏24至33度。舒適至悶熱。東北風 風速<= 1級(每秒2公尺)。相對濕度78%。,27,33,東北風,26,甲仙區
2,2023-07-26 18:00:00,26,94,24,3,33,14,28,25,7,陰陣雨。降雨機率 90%。溫度攝氏25至28度。舒適至悶熱。東北風 風速2級(每秒3公尺)。相對濕度94%。,28,28,東北風,25,甲仙區
3,2023-07-27 06:00:00,28,82,24,3,34,14,28,25,0,陰陣雨。降雨機率 100%。溫度攝氏25至30度。舒適至悶熱。東北風 風速2級(每秒3公尺)。相對濕度82%。,28,30,東北風,25,甲仙區
4,2023-07-27 18:00:00,25,96,24,5,31,14,27,24,8,陰陣雨。降雨機率 90%。溫度攝氏24至27度。舒適至悶熱。偏南風 風速3級(每秒5公尺)。相對濕度96%。,26,27,偏南風,24,甲仙區
5,2023-07-28 06:00:00,29,83,24,5,34,08,29,24,0,多雲短暫陣雨。降雨機率 70%。溫度攝氏24至31度。舒適至悶熱。偏南風 風速3級(每秒5公尺)。相對濕度83%。,27,31,偏南風,25,甲仙區
6,2023-07-28 18:00:00,24,92,23,2,30,08,26,23,9,多雲短暫陣雨。降雨機率 30%。溫度攝氏23至27度。舒適。東北風 風速<= 1級(每秒2公尺)。相對濕度92%。,27,27,東北風,23,甲仙區
7,2023-07-29 06:00:00,30,79,23,1,40,08,31,24,0,多雲短暫陣雨。溫度攝氏24至33度。舒適至易中暑。東北風 風速<= 1級(每秒1公尺)。相對濕度79%。,27,33,東北風,26,甲仙區
8,2023-07-29 18:00:00,25,91,23,1,33,08,27,24,9,多雲短暫陣雨。溫度攝氏24至28度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度91%。,27,28,偏東風,23,甲仙區
9,2023-07-30 06:00:00,31,84,23,1,42,08,32,24,0,多雲短暫陣雨。溫度攝氏24至34度。舒適至易中暑。東南風 風速<= 1級(每秒1公尺)。相對濕度84%。,27,34,東南風,28,甲仙區
10,2023-07-30 18:00:00,25,94,22,1,33,08,27,23,9,多雲短暫陣雨。溫度攝氏23至28度。舒適至悶熱。東南風 風速<= 1級(每秒1公尺)。相對濕度94%。,26,28,東南風,23,甲仙區
11,2023-07-31 06:00:00,30,79,22,1,40,09,31,23,0,多雲時陰短暫陣雨。溫度攝氏23至33度。舒適至易中暑。偏西風 風速<= 1級(每秒1公尺)。相對濕度79%。,26,33,偏西風,26,甲仙區
12,2023-07-31 18:00:00,24,94,22,1,33,11,27,23,9,陰短暫陣雨。溫度攝氏23至27度。舒適至悶熱。東南風 風速<= 1級(每秒1公尺)。相對濕度94%。,26,27,東南風,23,甲仙區
13,2023-08-01 06:00:00,30,75,22,1,39,11,30,23,0,陰短暫陣雨。溫度攝氏23至34度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度75%。,26,34,偏北風,25,甲仙區
14,2023-08-01 18:00:00,25,94,23,1,32,11,26,24,,陰短暫陣雨。溫度攝氏24至27度。舒適。偏南風 風速<= 1級(每秒1公尺)。相對濕度94%。,27,27,偏南風,24,甲仙區
