,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,28,89,26,2,38,05,30,27,9,多雲時陰。降雨機率 20%。溫度攝氏27至32度。舒適至悶熱。東北風 風速2級(每秒2公尺)。相對濕度89%。,30,32,東北風,26,美濃區
1,2023-07-26 06:00:00,31,73,26,2,38,11,30,27,0,陰短暫陣雨。降雨機率 70%。溫度攝氏27至34度。舒適至悶熱。東北風 風速2級(每秒2公尺)。相對濕度73%。,30,34,東北風,26,美濃區
2,2023-07-26 18:00:00,28,93,26,3,36,14,29,27,7,陰陣雨。降雨機率 90%。溫度攝氏27至30度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度93%。,31,30,偏北風,27,美濃區
3,2023-07-27 06:00:00,29,86,26,4,36,14,29,27,0,陰陣雨。降雨機率 100%。溫度攝氏27至31度。舒適至悶熱。東北風 風速3級(每秒4公尺)。相對濕度86%。,31,31,東北風,27,美濃區
4,2023-07-27 18:00:00,27,91,26,7,33,14,28,26,7,陰陣雨。降雨機率 90%。溫度攝氏26至29度。舒適至悶熱。偏南風 風速4級(每秒7公尺)。相對濕度91%。,28,29,偏南風,25,美濃區
5,2023-07-28 06:00:00,30,74,26,7,34,09,28,26,0,多雲時陰短暫陣雨。降雨機率 70%。溫度攝氏26至32度。舒適至悶熱。偏南風 風速4級(每秒7公尺)。相對濕度74%。,28,32,偏南風,25,美濃區
6,2023-07-28 18:00:00,27,82,25,4,32,08,27,26,9,多雲短暫陣雨。降雨機率 30%。溫度攝氏26至29度。舒適至悶熱。偏南風 風速3級(每秒4公尺)。相對濕度82%。,29,29,偏南風,24,美濃區
7,2023-07-29 06:00:00,32,73,25,2,41,08,31,26,0,多雲短暫陣雨。溫度攝氏26至35度。舒適至易中暑。偏北風 風速2級(每秒2公尺)。相對濕度73%。,29,35,偏北風,27,美濃區
8,2023-07-29 18:00:00,28,89,25,1,36,04,29,26,8,多雲。溫度攝氏26至31度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度89%。,30,31,偏北風,26,美濃區
9,2023-07-30 06:00:00,32,74,25,2,42,09,32,26,0,多雲時陰短暫陣雨。溫度攝氏26至35度。舒適至易中暑。偏東風 風速<= 1級(每秒2公尺)。相對濕度74%。,30,35,偏東風,27,美濃區
10,2023-07-30 18:00:00,28,90,25,1,37,08,29,26,9,多雲短暫陣雨。溫度攝氏26至31度。舒適至悶熱。偏西風 風速<= 1級(每秒1公尺)。相對濕度90%。,30,31,偏西風,26,美濃區
11,2023-07-31 06:00:00,32,71,25,2,41,08,31,26,0,多雲短暫陣雨。溫度攝氏26至36度。舒適至易中暑。西南風 風速<= 1級(每秒2公尺)。相對濕度71%。,30,36,西南風,26,美濃區
12,2023-07-31 18:00:00,27,93,25,1,37,09,29,26,9,多雲時陰短暫陣雨。溫度攝氏26至31度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度93%。,30,31,偏東風,26,美濃區
13,2023-08-01 06:00:00,32,70,25,2,41,10,31,26,0,陰時多雲短暫陣雨。溫度攝氏26至35度。舒適至易中暑。偏北風 風速<= 1級(每秒2公尺)。相對濕度70%。,30,35,偏北風,26,美濃區
14,2023-08-01 18:00:00,28,91,25,1,35,11,28,26,,陰短暫陣雨。溫度攝氏26至30度。舒適至悶熱。東南風 風速<= 1級(每秒1公尺)。相對濕度91%。,31,30,東南風,26,美濃區
