,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,26,89,24,2,35,07,28,24,9,陰天。降雨機率 20%。溫度攝氏24至29度。舒適至悶熱。東北風 風速2級(每秒2公尺)。相對濕度89%。,27,29,東北風,24,茂林區
1,2023-07-26 06:00:00,30,80,24,2,38,11,30,24,0,陰短暫陣雨。降雨機率 80%。溫度攝氏24至32度。舒適至悶熱。偏北風 風速2級(每秒2公尺)。相對濕度80%。,27,32,偏北風,26,茂林區
2,2023-07-26 18:00:00,26,95,24,3,33,14,28,25,7,陰陣雨。降雨機率 100%。溫度攝氏25至28度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度95%。,28,28,西北風,25,茂林區
3,2023-07-27 06:00:00,28,92,24,4,35,14,28,25,0,陰陣雨。降雨機率 100%。溫度攝氏25至29度。舒適至悶熱。東北風 風速3級(每秒4公尺)。相對濕度92%。,28,29,東北風,26,茂林區
4,2023-07-27 18:00:00,25,91,24,5,30,14,26,24,8,陰陣雨。降雨機率 90%。溫度攝氏24至27度。舒適。偏南風 風速3級(每秒5公尺)。相對濕度91%。,25,27,偏南風,24,茂林區
5,2023-07-28 06:00:00,29,77,24,4,34,08,28,24,0,多雲短暫陣雨。降雨機率 70%。溫度攝氏24至31度。舒適至悶熱。西南風 風速3級(每秒4公尺)。相對濕度77%。,25,31,西南風,24,茂林區
6,2023-07-28 18:00:00,25,87,23,2,31,08,26,24,9,多雲短暫陣雨。降雨機率 30%。溫度攝氏24至27度。舒適。東北風 風速<= 1級(每秒2公尺)。相對濕度87%。,27,27,東北風,23,茂林區
7,2023-07-29 06:00:00,31,78,23,2,40,09,31,24,0,多雲時陰短暫陣雨。溫度攝氏24至33度。舒適至易中暑。西北風 風速<= 1級(每秒2公尺)。相對濕度78%。,27,33,西北風,26,茂林區
8,2023-07-29 18:00:00,25,89,23,1,33,08,27,24,9,多雲短暫陣雨。溫度攝氏24至29度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度89%。,27,29,東北風,23,茂林區
9,2023-07-30 06:00:00,31,79,23,1,41,10,31,24,0,陰時多雲短暫陣雨。溫度攝氏24至34度。舒適至易中暑。西北風 風速<= 1級(每秒1公尺)。相對濕度79%。,27,34,西北風,27,茂林區
10,2023-07-30 18:00:00,25,90,22,1,34,10,28,23,9,陰時多雲短暫陣雨。溫度攝氏23至29度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度90%。,27,29,東北風,23,茂林區
11,2023-07-31 06:00:00,31,79,22,2,41,08,31,23,0,多雲短暫陣雨。溫度攝氏23至34度。舒適至易中暑。偏西風 風速<= 1級(每秒2公尺)。相對濕度79%。,27,34,偏西風,27,茂林區
12,2023-07-31 18:00:00,25,95,22,1,34,08,28,23,9,多雲短暫陣雨。溫度攝氏23至29度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度95%。,27,29,偏東風,24,茂林區
13,2023-08-01 06:00:00,30,76,22,1,40,09,30,23,0,多雲時陰短暫陣雨。溫度攝氏23至34度。舒適至悶熱。西北風 風速<= 1級(每秒1公尺)。相對濕度76%。,27,34,西北風,26,茂林區
14,2023-08-01 18:00:00,25,93,23,1,33,11,27,24,,陰短暫陣雨。溫度攝氏24至28度。舒適至悶熱。東南風 風速<= 1級(每秒1公尺)。相對濕度93%。,27,28,東南風,24,茂林區
