,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,81,27,3,35,05,29,28,9,多雲時陰。降雨機率 20%。溫度攝氏28至31度。悶熱。偏北風 風速2級(每秒3公尺)。相對濕度81%。,32,31,偏北風,26,茄萣區
1,2023-07-26 06:00:00,32,72,27,4,39,04,30,28,0,多雲。降雨機率 20%。溫度攝氏28至34度。悶熱。偏北風 風速3級(每秒4公尺)。相對濕度72%。,32,34,偏北風,26,茄萣區
2,2023-07-26 18:00:00,29,84,27,5,36,12,29,28,7,多雲時陰陣雨。降雨機率 70%。溫度攝氏28至31度。悶熱。西南風 風速3級(每秒5公尺)。相對濕度84%。,30,31,西南風,26,茄萣區
3,2023-07-27 06:00:00,31,82,27,>= 11,35,14,30,28,0,陰陣雨。降雨機率 90%。溫度攝氏28至32度。悶熱。東北風 風速>= 6級(每秒14公尺)。相對濕度82%。,29,32,東北風,27,茄萣區
4,2023-07-27 18:00:00,28,85,26,>= 11,29,14,29,27,7,陰陣雨。降雨機率 90%。溫度攝氏27至30度。舒適至悶熱。東南風 風速>= 6級(每秒20公尺)。相對濕度85%。,25,30,東南風,25,茄萣區
5,2023-07-28 06:00:00,31,80,26,>= 11,32,10,30,27,0,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏27至32度。舒適至悶熱。偏南風 風速>= 6級(每秒14公尺)。相對濕度80%。,25,32,偏南風,27,茄萣區
6,2023-07-28 18:00:00,28,78,26,10,29,08,28,27,9,多雲短暫陣雨。降雨機率 60%。溫度攝氏27至30度。舒適至悶熱。偏南風 風速5級(每秒10公尺)。相對濕度78%。,26,30,偏南風,24,茄萣區
7,2023-07-29 06:00:00,31,75,26,4,38,08,30,27,0,多雲短暫陣雨。溫度攝氏27至33度。舒適至悶熱。偏南風 風速3級(每秒4公尺)。相對濕度75%。,26,33,偏南風,26,茄萣區
8,2023-07-29 18:00:00,28,87,25,2,36,08,29,27,8,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。東北風 風速<= 1級(每秒2公尺)。相對濕度87%。,31,31,東北風,26,茄萣區
9,2023-07-30 06:00:00,31,80,25,2,40,10,31,27,0,陰時多雲短暫陣雨。溫度攝氏27至33度。舒適至易中暑。東北風 風速2級(每秒2公尺)。相對濕度80%。,31,33,東北風,27,茄萣區
10,2023-07-30 18:00:00,28,88,25,2,36,08,29,27,9,多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。偏南風 風速<= 1級(每秒2公尺)。相對濕度88%。,31,30,偏南風,26,茄萣區
11,2023-07-31 06:00:00,31,77,25,3,38,08,30,27,0,多雲短暫陣雨。溫度攝氏27至33度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度77%。,31,33,偏北風,26,茄萣區
12,2023-07-31 18:00:00,28,86,26,2,35,08,28,27,9,多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。偏南風 風速<= 1級(每秒2公尺)。相對濕度86%。,31,30,偏南風,26,茄萣區
13,2023-08-01 06:00:00,31,73,26,3,38,08,30,27,0,多雲短暫陣雨。溫度攝氏27至33度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度73%。,31,33,西北風,26,茄萣區
14,2023-08-01 18:00:00,28,85,26,2,35,08,28,27,,多雲短暫陣雨。溫度攝氏27至30度。舒適至悶熱。西北風 風速<= 1級(每秒2公尺)。相對濕度85%。,31,30,西北風,26,茄萣區
