,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,30,83,27,3,36,05,30,28,9,多雲時陰。降雨機率 20%。溫度攝氏28至32度。悶熱。偏北風 風速2級(每秒3公尺)。相對濕度83%。,33,32,偏北風,26,路竹區
1,2023-07-26 06:00:00,33,73,27,3,40,04,31,28,0,多雲。降雨機率 20%。溫度攝氏28至35度。悶熱至易中暑。東北風 風速2級(每秒3公尺)。相對濕度73%。,33,35,東北風,27,路竹區
2,2023-07-26 18:00:00,29,84,27,5,37,12,30,28,7,多雲時陰陣雨。降雨機率 70%。溫度攝氏28至32度。悶熱。西南風 風速3級(每秒5公尺)。相對濕度84%。,31,32,西南風,26,路竹區
3,2023-07-27 06:00:00,30,83,27,>= 11,34,14,29,28,0,陰陣雨。降雨機率 90%。溫度攝氏28至31度。悶熱。東北風 風速>= 6級(每秒11公尺)。相對濕度83%。,29,31,東北風,27,路竹區
4,2023-07-27 18:00:00,28,84,26,>= 11,29,14,28,27,7,陰陣雨。降雨機率 80%。溫度攝氏27至29度。舒適至悶熱。東南風 風速>= 6級(每秒17公尺)。相對濕度84%。,26,29,東南風,25,路竹區
5,2023-07-28 06:00:00,31,80,26,>= 11,32,10,30,27,0,陰時多雲短暫陣雨。降雨機率 80%。溫度攝氏27至32度。舒適至悶熱。偏南風 風速>= 6級(每秒12公尺)。相對濕度80%。,26,32,偏南風,27,路竹區
6,2023-07-28 18:00:00,29,71,26,8,31,08,28,28,9,多雲短暫陣雨。降雨機率 40%。溫度攝氏28至30度。舒適至悶熱。偏南風 風速5級(每秒8公尺)。相對濕度71%。,27,30,偏南風,23,路竹區
7,2023-07-29 06:00:00,32,76,26,4,39,08,31,28,0,多雲短暫陣雨。溫度攝氏28至34度。舒適至易中暑。偏南風 風速3級(每秒4公尺)。相對濕度76%。,28,34,偏南風,27,路竹區
8,2023-07-29 18:00:00,29,89,26,2,37,08,30,28,8,多雲短暫陣雨。溫度攝氏28至31度。舒適至悶熱。東北風 風速2級(每秒2公尺)。相對濕度89%。,31,31,東北風,27,路竹區
9,2023-07-30 06:00:00,32,83,26,2,42,10,33,28,0,陰時多雲短暫陣雨。溫度攝氏28至34度。舒適至易中暑。東北風 風速2級(每秒2公尺)。相對濕度83%。,31,34,東北風,29,路竹區
10,2023-07-30 18:00:00,29,90,26,2,38,08,30,27,9,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。東南風 風速<= 1級(每秒2公尺)。相對濕度90%。,32,31,東南風,27,路竹區
11,2023-07-31 06:00:00,32,76,26,4,39,08,31,27,0,多雲短暫陣雨。溫度攝氏27至34度。舒適至易中暑。偏北風 風速3級(每秒4公尺)。相對濕度76%。,32,34,偏北風,27,路竹區
12,2023-07-31 18:00:00,29,87,26,2,36,08,29,27,9,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。偏南風 風速<= 1級(每秒2公尺)。相對濕度87%。,32,31,偏南風,26,路竹區
13,2023-08-01 06:00:00,32,73,26,4,40,09,31,27,0,多雲時陰短暫陣雨。溫度攝氏27至34度。舒適至易中暑。西北風 風速3級(每秒4公尺)。相對濕度73%。,32,34,西北風,27,路竹區
14,2023-08-01 18:00:00,29,85,27,2,36,11,29,28,,陰短暫陣雨。溫度攝氏28至31度。悶熱。偏西風 風速<= 1級(每秒2公尺)。相對濕度85%。,32,31,偏西風,26,路竹區
