,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,22,98,21,2,29,06,25,21,10,陰時多雲。降雨機率 20%。溫度攝氏21至25度。舒適。偏東風 風速2級(每秒2公尺)。相對濕度98%。,23,25,偏東風,22,那瑪夏區
1,2023-07-26 06:00:00,26,83,21,2,33,10,26,21,0,陰時多雲短暫陣雨。降雨機率 80%。溫度攝氏21至28度。舒適。偏東風 風速<= 1級(每秒2公尺)。相對濕度83%。,23,28,偏東風,23,那瑪夏區
2,2023-07-26 18:00:00,23,98,22,3,29,14,24,22,8,陰陣雨。降雨機率 90%。溫度攝氏22至24度。舒適。東北風 風速2級(每秒3公尺)。相對濕度98%。,24,24,東北風,22,那瑪夏區
3,2023-07-27 06:00:00,24,85,22,3,29,14,24,22,0,陰陣雨。降雨機率 100%。溫度攝氏22至26度。舒適。東北風 風速2級(每秒3公尺)。相對濕度85%。,24,26,東北風,22,那瑪夏區
4,2023-07-27 18:00:00,22,98,21,4,26,14,23,21,9,陰陣雨。降雨機率 90%。溫度攝氏21至23度。舒適。偏東風 風速3級(每秒4公尺)。相對濕度98%。,23,23,偏東風,22,那瑪夏區
5,2023-07-28 06:00:00,25,84,21,2,30,08,25,21,0,多雲短暫陣雨。降雨機率 70%。溫度攝氏21至27度。舒適。西南風 風速2級(每秒2公尺)。相對濕度84%。,23,27,西南風,22,那瑪夏區
6,2023-07-28 18:00:00,22,96,20,1,26,04,23,21,10,多雲。降雨機率 10%。溫度攝氏21至23度。舒適。東北風 風速<= 1級(每秒1公尺)。相對濕度96%。,23,23,東北風,21,那瑪夏區
7,2023-07-29 06:00:00,26,85,20,1,35,08,28,21,0,多雲短暫陣雨。溫度攝氏21至29度。舒適至悶熱。偏西風 風速<= 1級(每秒1公尺)。相對濕度85%。,23,29,偏西風,24,那瑪夏區
8,2023-07-29 18:00:00,22,95,20,1,28,09,24,21,10,多雲時陰短暫陣雨。溫度攝氏21至24度。舒適。偏東風 風速<= 1級(每秒1公尺)。相對濕度95%。,23,24,偏東風,21,那瑪夏區
9,2023-07-30 06:00:00,26,89,20,1,35,10,28,21,0,陰時多雲短暫陣雨。溫度攝氏21至30度。舒適至悶熱。西南風 風速<= 1級(每秒1公尺)。相對濕度89%。,23,30,西南風,24,那瑪夏區
10,2023-07-30 18:00:00,22,97,20,1,29,08,24,21,10,多雲短暫陣雨。溫度攝氏21至24度。舒適。東南風 風速<= 1級(每秒1公尺)。相對濕度97%。,23,24,東南風,21,那瑪夏區
11,2023-07-31 06:00:00,26,85,20,1,35,09,28,21,0,多雲時陰短暫陣雨。溫度攝氏21至29度。舒適至悶熱。西北風 風速<= 1級(每秒1公尺)。相對濕度85%。,23,29,西北風,23,那瑪夏區
12,2023-07-31 18:00:00,22,97,20,1,28,10,24,21,10,陰時多雲短暫陣雨。溫度攝氏21至24度。舒適。西南風 風速<= 1級(每秒1公尺)。相對濕度97%。,23,24,西南風,21,那瑪夏區
13,2023-08-01 06:00:00,26,82,20,1,35,11,27,21,0,陰短暫陣雨。溫度攝氏21至29度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度82%。,23,29,偏北風,23,那瑪夏區
14,2023-08-01 18:00:00,22,98,20,1,28,11,23,21,,陰短暫陣雨。溫度攝氏21至24度。舒適。偏西風 風速<= 1級(每秒1公尺)。相對濕度98%。,24,24,偏西風,21,那瑪夏區
