,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,85,27,2,36,04,29,28,9,多雲。降雨機率 20%。溫度攝氏28至32度。悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度85%。,32,32,偏北風,26,阿蓮區
1,2023-07-26 06:00:00,33,73,27,2,40,04,31,28,0,多雲。降雨機率 20%。溫度攝氏28至35度。悶熱至易中暑。東北風 風速2級(每秒2公尺)。相對濕度73%。,32,35,東北風,27,阿蓮區
2,2023-07-26 18:00:00,29,85,27,4,37,12,29,27,7,多雲時陰陣雨。降雨機率 80%。溫度攝氏27至31度。悶熱。西南風 風速3級(每秒4公尺)。相對濕度85%。,30,31,西南風,26,阿蓮區
3,2023-07-27 06:00:00,30,87,27,8,35,14,29,27,0,陰陣雨。降雨機率 100%。溫度攝氏27至31度。悶熱。東北風 風速4級(每秒8公尺)。相對濕度87%。,30,31,東北風,27,阿蓮區
4,2023-07-27 18:00:00,28,79,25,>= 11,30,14,28,27,7,陰陣雨。降雨機率 90%。溫度攝氏27至29度。舒適至悶熱。東南風 風速>= 6級(每秒12公尺)。相對濕度79%。,25,29,東南風,24,阿蓮區
5,2023-07-28 06:00:00,31,79,26,10,33,10,30,27,0,陰時多雲短暫陣雨。降雨機率 80%。溫度攝氏27至32度。舒適至悶熱。偏南風 風速5級(每秒10公尺)。相對濕度79%。,28,32,偏南風,26,阿蓮區
6,2023-07-28 18:00:00,28,59,24,7,31,08,28,28,9,多雲短暫陣雨。降雨機率 40%。溫度攝氏28至30度。舒適至悶熱。偏南風 風速4級(每秒7公尺)。相對濕度59%。,27,30,偏南風,19,阿蓮區
7,2023-07-29 06:00:00,32,75,25,3,40,08,31,28,0,多雲短暫陣雨。溫度攝氏28至34度。舒適至易中暑。西南風 風速2級(每秒3公尺)。相對濕度75%。,28,34,西南風,27,阿蓮區
8,2023-07-29 18:00:00,28,88,26,1,37,08,29,27,8,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。偏北風 風速<= 1級(每秒1公尺)。相對濕度88%。,32,31,偏北風,26,阿蓮區
9,2023-07-30 06:00:00,33,86,26,2,43,10,33,27,0,陰時多雲短暫陣雨。溫度攝氏27至35度。舒適至易中暑。東北風 風速<= 1級(每秒2公尺)。相對濕度86%。,32,35,東北風,30,阿蓮區
10,2023-07-30 18:00:00,28,90,26,1,38,08,30,27,9,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。東南風 風速<= 1級(每秒1公尺)。相對濕度90%。,31,31,東南風,26,阿蓮區
11,2023-07-31 06:00:00,32,74,26,3,40,08,31,27,0,多雲短暫陣雨。溫度攝氏27至35度。舒適至易中暑。西北風 風速2級(每秒3公尺)。相對濕度74%。,31,35,西北風,27,阿蓮區
12,2023-07-31 18:00:00,28,89,26,1,36,08,29,27,9,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。偏東風 風速<= 1級(每秒1公尺)。相對濕度89%。,31,31,偏東風,26,阿蓮區
13,2023-08-01 06:00:00,32,73,26,3,41,10,31,27,0,陰時多雲短暫陣雨。溫度攝氏27至35度。舒適至易中暑。西北風 風速2級(每秒3公尺)。相對濕度73%。,31,35,西北風,27,阿蓮區
14,2023-08-01 18:00:00,29,85,26,1,36,11,29,27,,陰短暫陣雨。溫度攝氏27至31度。舒適至悶熱。偏南風 風速<= 1級(每秒1公尺)。相對濕度85%。,32,31,偏南風,26,阿蓮區
