,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,84,26,3,36,05,29,27,8,多雲時陰。降雨機率 20%。溫度攝氏27至31度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度84%。,30,31,西北風,26,鳥松區
1,2023-07-26 06:00:00,31,75,26,3,39,11,31,27,0,陰短暫陣雨。降雨機率 60%。溫度攝氏27至33度。舒適至易中暑。偏北風 風速2級(每秒3公尺)。相對濕度75%。,30,33,偏北風,26,鳥松區
2,2023-07-26 18:00:00,28,86,26,3,35,14,29,27,6,陰陣雨。降雨機率 90%。溫度攝氏27至31度。舒適至悶熱。偏西風 風速2級(每秒3公尺)。相對濕度86%。,30,31,偏西風,26,鳥松區
3,2023-07-27 06:00:00,28,86,26,10,33,14,28,27,0,陰陣雨。降雨機率 100%。溫度攝氏27至30度。舒適至悶熱。東北風 風速5級(每秒10公尺)。相對濕度86%。,27,30,東北風,26,鳥松區
4,2023-07-27 18:00:00,27,81,25,>= 11,27,14,27,26,7,陰陣雨。降雨機率 90%。溫度攝氏26至28度。舒適至悶熱。東南風 風速>= 6級(每秒15公尺)。相對濕度81%。,24,28,東南風,23,鳥松區
5,2023-07-28 06:00:00,30,81,25,>= 11,31,10,30,26,0,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏26至31度。舒適至悶熱。偏南風 風速>= 6級(每秒11公尺)。相對濕度81%。,24,31,偏南風,26,鳥松區
6,2023-07-28 18:00:00,28,68,24,9,30,08,27,26,9,多雲短暫陣雨。降雨機率 60%。溫度攝氏26至29度。舒適至悶熱。偏南風 風速5級(每秒9公尺)。相對濕度68%。,25,29,偏南風,21,鳥松區
7,2023-07-29 06:00:00,31,74,24,3,39,08,31,26,0,多雲短暫陣雨。溫度攝氏26至34度。舒適至易中暑。偏南風 風速2級(每秒3公尺)。相對濕度74%。,26,34,偏南風,26,鳥松區
8,2023-07-29 18:00:00,28,86,25,2,36,09,29,26,8,多雲時陰短暫陣雨。溫度攝氏26至31度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度86%。,30,31,偏北風,25,鳥松區
9,2023-07-30 06:00:00,31,80,25,2,41,09,32,26,0,多雲時陰短暫陣雨。溫度攝氏26至34度。舒適至易中暑。西北風 風速2級(每秒2公尺)。相對濕度80%。,30,34,西北風,27,鳥松區
10,2023-07-30 18:00:00,28,86,24,1,36,08,29,26,9,多雲短暫陣雨。溫度攝氏26至31度。舒適至悶熱。東北風 風速<= 1級(每秒1公尺)。相對濕度86%。,29,31,東北風,25,鳥松區
11,2023-07-31 06:00:00,31,71,24,2,39,08,30,26,0,多雲短暫陣雨。溫度攝氏26至34度。舒適至悶熱。偏北風 風速2級(每秒2公尺)。相對濕度71%。,29,34,偏北風,25,鳥松區
12,2023-07-31 18:00:00,28,86,24,1,36,08,28,26,9,多雲短暫陣雨。溫度攝氏26至31度。舒適至悶熱。偏南風 風速<= 1級(每秒1公尺)。相對濕度86%。,30,31,偏南風,25,鳥松區
13,2023-08-01 06:00:00,31,72,24,2,39,08,30,26,0,多雲短暫陣雨。溫度攝氏26至34度。舒適至悶熱。西北風 風速2級(每秒2公尺)。相對濕度72%。,30,34,西北風,25,鳥松區
14,2023-08-01 18:00:00,28,86,25,2,35,10,28,26,,陰時多雲短暫陣雨。溫度攝氏26至31度。舒適至悶熱。西北風 風速2級(每秒2公尺)。相對濕度86%。,30,31,西北風,25,鳥松區
