,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,01,37,31,76,29,晴。降雨機率 10%。溫度攝氏31度。悶熱。偏東風 平均風速1-2級(每秒2公尺)。相對濕度76%。,2,偏東風,26,三灣鄉
1,2023-07-25 21:00:00,04,33,28,79,27,多雲。降雨機率 10%。溫度攝氏28度。舒適。東南風 平均風速1-2級(每秒2公尺)。相對濕度79%。,2,東南風,24,三灣鄉
2,2023-07-26 00:00:00,04,31,27,87,26,多雲。降雨機率 20%。溫度攝氏27度。舒適。東南風 平均風速1-2級(每秒2公尺)。相對濕度87%。,2,東南風,25,三灣鄉
3,2023-07-26 03:00:00,04,30,26,88,25,多雲。降雨機率 20%。溫度攝氏26度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度88%。,1,偏南風,24,三灣鄉
4,2023-07-26 06:00:00,01,29,26,80,24,晴。降雨機率 20%。溫度攝氏26度。舒適。偏東風 平均風速1-2級(每秒3公尺)。相對濕度80%。,3,偏東風,22,三灣鄉
5,2023-07-26 09:00:00,04,35,32,64,28,多雲。降雨機率 20%。溫度攝氏32度。悶熱。東北風 平均風速2-3級(每秒4公尺)。相對濕度64%。,4,東北風,24,三灣鄉
6,2023-07-26 12:00:00,07,38,35,56,30,陰。降雨機率 20%。溫度攝氏35度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度56%。,3,東北風,25,三灣鄉
7,2023-07-26 15:00:00,07,39,34,64,30,陰。降雨機率 20%。溫度攝氏34度。悶熱。偏東風 平均風速1-2級(每秒3公尺)。相對濕度64%。,3,偏東風,26,三灣鄉
8,2023-07-26 18:00:00,07,37,32,79,30,陰。降雨機率 20%。溫度攝氏32度。悶熱。東南風 平均風速2-3級(每秒4公尺)。相對濕度79%。,4,東南風,27,三灣鄉
9,2023-07-26 21:00:00,07,32,29,77,27,陰。降雨機率 20%。溫度攝氏29度。舒適。東南風 平均風速1-2級(每秒3公尺)。相對濕度77%。,3,東南風,24,三灣鄉
10,2023-07-27 00:00:00,08,31,28,81,26,短暫陣雨。降雨機率 30%。溫度攝氏28度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度81%。,2,偏北風,24,三灣鄉
11,2023-07-27 03:00:00,08,31,27,91,26,短暫陣雨。降雨機率 30%。溫度攝氏27度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度91%。,2,偏東風,25,三灣鄉
12,2023-07-27 06:00:00,08,30,26,87,25,短暫陣雨。降雨機率 30%。溫度攝氏26度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度87%。,2,偏北風,24,三灣鄉
13,2023-07-27 09:00:00,08,36,31,71,28,短暫陣雨。降雨機率 30%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒3公尺)。相對濕度71%。,3,偏北風,25,三灣鄉
14,2023-07-27 12:00:00,08,39,34,67,30,短暫陣雨。降雨機率 70%。溫度攝氏34度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度67%。,2,西北風,27,三灣鄉
15,2023-07-27 15:00:00,08,39,33,76,31,短暫陣雨。降雨機率 70%。溫度攝氏33度。悶熱。西北風 平均風速1-2級(每秒3公尺)。相對濕度76%。,3,西北風,28,三灣鄉
16,2023-07-27 18:00:00,08,36,31,87,29,短暫陣雨。降雨機率 60%。溫度攝氏31度。悶熱。西南風 平均風速<= 1級(每秒1公尺)。相對濕度87%。,1,西南風,28,三灣鄉
17,2023-07-27 21:00:00,08,34,28,94,27,短暫陣雨。降雨機率 60%。溫度攝氏28度。悶熱。西南風 平均風速<= 1級(每秒1公尺)。相對濕度94%。,1,西南風,27,三灣鄉
18,2023-07-28 00:00:00,08,32,27,93,26,短暫陣雨。降雨機率 50%。溫度攝氏27度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度93%。,1,東北風,26,三灣鄉
19,2023-07-28 03:00:00,08,30,26,93,25,短暫陣雨。降雨機率 50%。溫度攝氏26度。舒適。西南風 平均風速<= 1級(每秒1公尺)。相對濕度93%。,1,西南風,25,三灣鄉
20,2023-07-28 06:00:00,08,29,25,90,25,短暫陣雨。降雨機率 50%。溫度攝氏25度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度90%。,2,東北風,24,三灣鄉
21,2023-07-28 09:00:00,08,33,29,81,27,短暫陣雨。降雨機率 50%。溫度攝氏29度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度81%。,2,偏北風,25,三灣鄉
22,2023-07-28 12:00:00,08,36,31,78,29,短暫陣雨。降雨機率 40%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度78%。,2,偏北風,27,三灣鄉
23,2023-07-28 15:00:00,08,35,30,81,29,短暫陣雨。降雨機率 40%。溫度攝氏30度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度81%。,2,西北風,27,三灣鄉
24,2023-07-28 18:00:00,08,34,29,90,28,短暫陣雨。降雨機率 30%。溫度攝氏29度。悶熱。東南風 平均風速<= 1級(每秒1公尺)。相對濕度90%。,1,東南風,27,三灣鄉
25,2023-07-28 21:00:00,04,32,27,93,26,多雲。降雨機率 30%。溫度攝氏27度。舒適。偏南風 平均風速1-2級(每秒2公尺)。相對濕度93%。,2,偏南風,25,三灣鄉
26,2023-07-29 00:00:00,04,30,26,94,25,多雲。降雨機率 0%。溫度攝氏26度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度94%。,1,偏東風,25,三灣鄉
27,2023-07-29 03:00:00,04,29,25,89,25,多雲。降雨機率 0%。溫度攝氏25度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度89%。,1,偏東風,23,三灣鄉
28,2023-07-29 06:00:00,08,28,25,78,23,短暫陣雨。降雨機率 30%。溫度攝氏25度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度78%。,1,東北風,21,三灣鄉
29,2023-07-29 09:00:00,08,35,30,71,27,短暫陣雨。降雨機率 30%。溫度攝氏30度。悶熱。東北風 平均風速<= 1級(每秒1公尺)。相對濕度71%。,1,東北風,24,三灣鄉
30,2023-07-29 12:00:00,15,38,33,73,30,午後短暫雷陣雨。降雨機率 80%。溫度攝氏33度。悶熱。東北風 平均風速<= 1級(每秒1公尺)。相對濕度73%。,1,東北風,27,三灣鄉
