,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,33,29,80,27,多雲。降雨機率 10%。溫度攝氏29度。悶熱。東南風 平均風速<= 1級(每秒1公尺)。相對濕度80%。,1,東南風,25,三義鄉
1,2023-07-25 21:00:00,04,31,26,84,25,多雲。降雨機率 10%。溫度攝氏26度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度84%。,1,東南風,24,三義鄉
2,2023-07-26 00:00:00,04,30,26,81,25,多雲。降雨機率 20%。溫度攝氏26度。舒適。偏南風 平均風速1-2級(每秒2公尺)。相對濕度81%。,2,偏南風,22,三義鄉
3,2023-07-26 03:00:00,04,28,25,79,24,多雲。降雨機率 20%。溫度攝氏25度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度79%。,1,東南風,21,三義鄉
4,2023-07-26 06:00:00,01,29,25,79,24,晴。降雨機率 20%。溫度攝氏25度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度79%。,2,偏北風,21,三義鄉
5,2023-07-26 09:00:00,04,35,31,69,28,多雲。降雨機率 20%。溫度攝氏31度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度69%。,2,西南風,25,三義鄉
6,2023-07-26 12:00:00,04,38,33,65,30,多雲。降雨機率 20%。溫度攝氏33度。悶熱。西北風 平均風速<= 1級(每秒1公尺)。相對濕度65%。,1,西北風,26,三義鄉
7,2023-07-26 15:00:00,07,39,33,73,30,陰。降雨機率 20%。溫度攝氏33度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度73%。,2,西北風,28,三義鄉
8,2023-07-26 18:00:00,07,35,30,81,28,陰。降雨機率 20%。溫度攝氏30度。悶熱。偏南風 平均風速1-2級(每秒3公尺)。相對濕度81%。,3,偏南風,27,三義鄉
9,2023-07-26 21:00:00,07,31,27,83,26,陰。降雨機率 20%。溫度攝氏27度。舒適。偏南風 平均風速1-2級(每秒2公尺)。相對濕度83%。,2,偏南風,24,三義鄉
10,2023-07-27 00:00:00,04,30,27,85,26,多雲。降雨機率 30%。溫度攝氏27度。舒適。偏南風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,偏南風,24,三義鄉
11,2023-07-27 03:00:00,08,30,26,91,25,短暫陣雨。降雨機率 30%。溫度攝氏26度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度91%。,2,東北風,24,三義鄉
12,2023-07-27 06:00:00,08,29,26,86,25,短暫陣雨。降雨機率 50%。溫度攝氏26度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,東北風,23,三義鄉
13,2023-07-27 09:00:00,08,34,30,73,28,短暫陣雨。降雨機率 50%。溫度攝氏30度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度73%。,2,偏北風,25,三義鄉
14,2023-07-27 12:00:00,08,37,32,71,29,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。西北風 平均風速1-2級(每秒2公尺)。相對濕度71%。,2,西北風,26,三義鄉
15,2023-07-27 15:00:00,08,37,32,76,29,短暫陣雨。降雨機率 70%。溫度攝氏32度。悶熱。西南風 平均風速2-3級(每秒4公尺)。相對濕度76%。,4,西南風,27,三義鄉
16,2023-07-27 18:00:00,08,33,29,84,28,短暫陣雨。降雨機率 70%。溫度攝氏29度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度84%。,2,偏南風,26,三義鄉
17,2023-07-27 21:00:00,08,31,27,91,26,短暫陣雨。降雨機率 70%。溫度攝氏27度。舒適。東南風 平均風速1-2級(每秒3公尺)。相對濕度91%。,3,東南風,25,三義鄉
18,2023-07-28 00:00:00,08,29,26,91,25,短暫陣雨。降雨機率 60%。溫度攝氏26度。舒適。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度91%。,1,偏北風,24,三義鄉
19,2023-07-28 03:00:00,08,29,25,90,25,短暫陣雨。降雨機率 60%。溫度攝氏25度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度90%。,1,東北風,24,三義鄉
20,2023-07-28 06:00:00,08,30,25,90,24,短暫陣雨。降雨機率 50%。溫度攝氏25度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度90%。,2,東北風,23,三義鄉
21,2023-07-28 09:00:00,08,32,28,82,26,短暫陣雨。降雨機率 50%。溫度攝氏28度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度82%。,2,東北風,24,三義鄉
22,2023-07-28 12:00:00,08,33,29,73,27,短暫陣雨。降雨機率 50%。溫度攝氏29度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度73%。,2,偏北風,23,三義鄉
23,2023-07-28 15:00:00,08,33,29,76,27,短暫陣雨。降雨機率 50%。溫度攝氏29度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度76%。,2,偏北風,24,三義鄉
24,2023-07-28 18:00:00,08,31,27,82,26,短暫陣雨。降雨機率 30%。溫度攝氏27度。舒適。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度82%。,1,偏北風,24,三義鄉
25,2023-07-28 21:00:00,04,29,25,86,25,多雲。降雨機率 30%。溫度攝氏25度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度86%。,1,東南風,23,三義鄉
26,2023-07-29 00:00:00,04,29,25,88,24,多雲。降雨機率 0%。溫度攝氏25度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度88%。,1,東南風,23,三義鄉
27,2023-07-29 03:00:00,04,28,25,85,24,多雲。降雨機率 0%。溫度攝氏25度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度85%。,1,東北風,22,三義鄉
28,2023-07-29 06:00:00,08,28,24,79,23,短暫陣雨。降雨機率 30%。溫度攝氏24度。舒適。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度79%。,1,偏北風,21,三義鄉
29,2023-07-29 09:00:00,08,32,28,74,26,短暫陣雨。降雨機率 30%。溫度攝氏28度。舒適。西北風 平均風速<= 1級(每秒1公尺)。相對濕度74%。,1,西北風,23,三義鄉
30,2023-07-29 12:00:00,15,35,30,73,27,午後短暫雷陣雨。降雨機率 80%。溫度攝氏30度。悶熱。西北風 平均風速<= 1級(每秒1公尺)。相對濕度73%。,1,西北風,25,三義鄉
31,2023-07-29 15:00:00,15,35,30,78,28,午後短暫雷陣雨。降雨機率 80%。溫度攝氏30度。悶熱。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度78%。,1,偏北風,25,三義鄉
