,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,01,37,31,77,29,晴。降雨機率 10%。溫度攝氏31度。悶熱。東南風 平均風速<= 1級(每秒1公尺)。相對濕度77%。,1,東南風,27,公館鄉
1,2023-07-25 21:00:00,04,33,28,89,27,多雲。降雨機率 10%。溫度攝氏28度。悶熱。東南風 平均風速<= 1級(每秒1公尺)。相對濕度89%。,1,東南風,26,公館鄉
2,2023-07-26 00:00:00,01,32,27,86,26,晴。降雨機率 20%。溫度攝氏27度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度86%。,1,東南風,24,公館鄉
3,2023-07-26 03:00:00,04,30,26,88,25,多雲。降雨機率 20%。溫度攝氏26度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度88%。,1,偏東風,24,公館鄉
4,2023-07-26 06:00:00,01,30,26,79,24,晴。降雨機率 20%。溫度攝氏26度。舒適。偏西風 平均風速1-2級(每秒2公尺)。相對濕度79%。,2,偏西風,22,公館鄉
5,2023-07-26 09:00:00,04,38,33,60,29,多雲。降雨機率 20%。溫度攝氏33度。悶熱。偏西風 平均風速1-2級(每秒2公尺)。相對濕度60%。,2,偏西風,25,公館鄉
6,2023-07-26 12:00:00,04,42,36,61,31,多雲。降雨機率 20%。溫度攝氏36度。易中暑。偏西風 平均風速1-2級(每秒2公尺)。相對濕度61%。,2,偏西風,27,公館鄉
7,2023-07-26 15:00:00,07,42,36,68,32,陰。降雨機率 20%。溫度攝氏36度。易中暑。偏西風 平均風速1-2級(每秒2公尺)。相對濕度68%。,2,偏西風,29,公館鄉
8,2023-07-26 18:00:00,07,38,32,79,30,陰。降雨機率 20%。溫度攝氏32度。悶熱。偏南風 平均風速1-2級(每秒3公尺)。相對濕度79%。,3,偏南風,28,公館鄉
9,2023-07-26 21:00:00,07,33,29,81,27,陰。降雨機率 20%。溫度攝氏29度。悶熱。偏南風 平均風速1-2級(每秒3公尺)。相對濕度81%。,3,偏南風,25,公館鄉
10,2023-07-27 00:00:00,04,31,28,80,26,多雲。降雨機率 30%。溫度攝氏28度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度80%。,2,偏北風,24,公館鄉
11,2023-07-27 03:00:00,08,31,27,88,26,短暫陣雨。降雨機率 30%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度88%。,2,東北風,25,公館鄉
12,2023-07-27 06:00:00,08,31,27,87,26,短暫陣雨。降雨機率 40%。溫度攝氏27度。舒適。偏北風 平均風速1-2級(每秒2公尺)。相對濕度87%。,2,偏北風,24,公館鄉
13,2023-07-27 09:00:00,08,38,33,69,29,短暫陣雨。降雨機率 40%。溫度攝氏33度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度69%。,2,偏北風,26,公館鄉
14,2023-07-27 12:00:00,08,41,35,68,31,短暫陣雨。降雨機率 60%。溫度攝氏35度。易中暑。西北風 平均風速1-2級(每秒2公尺)。相對濕度68%。,2,西北風,28,公館鄉
15,2023-07-27 15:00:00,08,41,34,77,32,短暫陣雨。降雨機率 60%。溫度攝氏34度。易中暑。西南風 平均風速1-2級(每秒3公尺)。相對濕度77%。,3,西南風,30,公館鄉
16,2023-07-27 18:00:00,08,37,31,86,30,短暫陣雨。降雨機率 70%。溫度攝氏31度。悶熱。偏南風 平均風速1-2級(每秒2公尺)。相對濕度86%。,2,偏南風,29,公館鄉
17,2023-07-27 21:00:00,08,33,28,92,27,短暫陣雨。降雨機率 70%。溫度攝氏28度。悶熱。東南風 平均風速1-2級(每秒3公尺)。相對濕度92%。,3,東南風,27,公館鄉
18,2023-07-28 00:00:00,08,31,27,93,27,短暫陣雨。降雨機率 50%。溫度攝氏27度。舒適。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度93%。,1,偏北風,26,公館鄉
19,2023-07-28 03:00:00,08,31,26,93,26,短暫陣雨。降雨機率 50%。溫度攝氏26度。舒適。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度93%。,1,偏北風,25,公館鄉
20,2023-07-28 06:00:00,08,31,26,88,25,短暫陣雨。降雨機率 60%。溫度攝氏26度。舒適。東北風 平均風速1-2級(每秒3公尺)。相對濕度88%。,3,東北風,24,公館鄉
21,2023-07-28 09:00:00,08,35,30,78,28,短暫陣雨。降雨機率 60%。溫度攝氏30度。悶熱。東北風 平均風速1-2級(每秒3公尺)。相對濕度78%。,3,東北風,26,公館鄉
22,2023-07-28 12:00:00,08,37,32,77,30,短暫陣雨。降雨機率 40%。溫度攝氏32度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度77%。,2,偏北風,27,公館鄉
23,2023-07-28 15:00:00,08,37,32,75,29,短暫陣雨。降雨機率 40%。溫度攝氏32度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度75%。,2,偏北風,27,公館鄉
24,2023-07-28 18:00:00,08,34,29,84,28,短暫陣雨。降雨機率 30%。溫度攝氏29度。悶熱。東北風 平均風速<= 1級(每秒1公尺)。相對濕度84%。,1,東北風,26,公館鄉
25,2023-07-28 21:00:00,04,32,27,92,26,多雲。降雨機率 30%。溫度攝氏27度。舒適。偏南風 平均風速<= 1級(每秒1公尺)。相對濕度92%。,1,偏南風,25,公館鄉
26,2023-07-29 00:00:00,04,31,26,93,26,多雲。降雨機率 0%。溫度攝氏26度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度93%。,1,偏東風,25,公館鄉
27,2023-07-29 03:00:00,04,30,25,88,25,多雲。降雨機率 0%。溫度攝氏25度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度88%。,1,東北風,23,公館鄉
28,2023-07-29 06:00:00,08,29,25,78,24,短暫陣雨。降雨機率 30%。溫度攝氏25度。舒適。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度78%。,1,偏北風,21,公館鄉
29,2023-07-29 09:00:00,08,37,31,72,29,短暫陣雨。降雨機率 30%。溫度攝氏31度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度72%。,2,偏北風,26,公館鄉
30,2023-07-29 12:00:00,15,40,34,72,31,午後短暫雷陣雨。降雨機率 80%。溫度攝氏34度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度72%。,2,偏北風,28,公館鄉
31,2023-07-29 15:00:00,15,39,33,78,31,午後短暫雷陣雨。降雨機率 80%。溫度攝氏33度。悶熱。偏北風 平均風速1-2級(每秒2公尺)。相對濕度78%。,2,偏北風,29,公館鄉
