,time,Wx,AT,T,RH,CI,WeatherDescription,WS,WD,Td,District
0,2023-07-25 18:00:00,04,35,30,78,28,多雲。降雨機率 10%。溫度攝氏30度。悶熱。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度78%。,1,偏東風,26,卓蘭鎮
1,2023-07-25 21:00:00,07,32,28,86,27,陰。降雨機率 10%。溫度攝氏28度。舒適。偏東風 平均風速<= 1級(每秒1公尺)。相對濕度86%。,1,偏東風,25,卓蘭鎮
2,2023-07-26 00:00:00,07,32,27,88,26,陰。降雨機率 20%。溫度攝氏27度。舒適。東南風 平均風速<= 1級(每秒1公尺)。相對濕度88%。,1,東南風,25,卓蘭鎮
3,2023-07-26 03:00:00,07,30,26,85,25,陰。降雨機率 20%。溫度攝氏26度。舒適。偏東風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,偏東風,23,卓蘭鎮
4,2023-07-26 06:00:00,04,28,25,77,24,多雲。降雨機率 20%。溫度攝氏25度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度77%。,1,東北風,21,卓蘭鎮
5,2023-07-26 09:00:00,04,37,32,66,28,多雲。降雨機率 20%。溫度攝氏32度。悶熱。西南風 平均風速1-2級(每秒2公尺)。相對濕度66%。,2,西南風,25,卓蘭鎮
6,2023-07-26 12:00:00,04,41,35,65,31,多雲。降雨機率 20%。溫度攝氏35度。易中暑。偏北風 平均風速<= 1級(每秒1公尺)。相對濕度65%。,1,偏北風,28,卓蘭鎮
7,2023-07-26 15:00:00,07,42,34,74,31,陰。降雨機率 20%。溫度攝氏34度。易中暑。偏北風 平均風速1-2級(每秒2公尺)。相對濕度74%。,2,偏北風,29,卓蘭鎮
8,2023-07-26 18:00:00,07,37,32,81,30,陰。降雨機率 20%。溫度攝氏32度。悶熱。東南風 平均風速1-2級(每秒2公尺)。相對濕度81%。,2,東南風,28,卓蘭鎮
9,2023-07-26 21:00:00,07,33,29,85,27,陰。降雨機率 20%。溫度攝氏29度。悶熱。東南風 平均風速1-2級(每秒2公尺)。相對濕度85%。,2,東南風,26,卓蘭鎮
10,2023-07-27 00:00:00,08,32,28,90,27,短暫陣雨。降雨機率 30%。溫度攝氏28度。舒適。東南風 平均風速1-2級(每秒3公尺)。相對濕度90%。,3,東南風,26,卓蘭鎮
11,2023-07-27 03:00:00,08,31,27,92,26,短暫陣雨。降雨機率 30%。溫度攝氏27度。舒適。東北風 平均風速1-2級(每秒2公尺)。相對濕度92%。,2,東北風,25,卓蘭鎮
12,2023-07-27 06:00:00,08,30,26,86,25,短暫陣雨。降雨機率 60%。溫度攝氏26度。舒適。東北風 平均風速<= 1級(每秒1公尺)。相對濕度86%。,1,東北風,24,卓蘭鎮
13,2023-07-27 09:00:00,08,36,31,68,28,短暫陣雨。降雨機率 60%。溫度攝氏31度。悶熱。東北風 平均風速1-2級(每秒2公尺)。相對濕度68%。,2,東北風,25,卓蘭鎮
